1.119051161, Sport: ,Baseball, Time: ,Sat Jun 06 02:40:00 CEST 2015, Time: ,Sat Jun 06 02:40:00 CEST 2015, Event: ,MIA @ COL, Favorite: ,Colorado (E Butler), 8587372   size:287.0,Price: ,1.93,Miami (T Koehler), 6720895   size:422.96,Price: ,2.02,xxxxxx
1.119008778, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Northamptonshire v Worcestershire, Favorite: ,Northamptonshire, 475559   size:6.48,Price: ,1.79,Worcestershire, 31372   size:10.96,Price: ,2.24,xxxxxx
1.119083958, Sport: ,Snooker, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Woollaston v Yuelong, Favorite: ,Ben Woollaston, 2293306   size:20.81,Price: ,1.63,Zhou Yuelong, 6185914   size:20.27,Price: ,2.48,okokokokokok
1.119047979, Sport: ,Basketball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Czech Republic (W) v Belarus (W), Favorite: ,Czech Republic (W), 6469566   size:1500.44,Price: ,1.48,Belarus (W), 6427238   size:56.07,Price: ,2.52,xxxxxx
1.119061902, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Wetzlar v Frisch Auf Goppingen, Favorite: ,Wetzlar, 2507302   size:4.52,Price: ,1.97,Frisch auf Goppingen, 536476   size:3.67,Price: ,2.42,Draw, 330157   size:20.05,Price: ,8.2,okokokokokok
1.119008774, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Glamorgan v Middlesex, Favorite: ,Middlesex, 31378   size:6.93,Price: ,1.91,Glamorgan, 169   size:7.2,Price: ,1.99,xxxxxx
1.119083998, Sport: ,Snooker, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Carter v K Wilson, Favorite: ,Allister Carter, 2293310   size:88.75,Price: ,1.42,Kyren Wilson, 5119461   size:13.1,Price: ,3.05,okokokokok
1.118839164, Sport: ,Basketball, Time: ,Sat Jun 06 01:00:00 CEST 2015, Time: ,Sat Jun 06 01:00:00 CEST 2015, Event: ,Washington @ Connecticut, Favorite: ,Washington, 13105   size:343.9,Price: ,1.4,Connecticut, 332194   size:5.37,Price: ,3.15,ok
1.118839169, Sport: ,Basketball, Time: ,Sat Jun 06 01:30:00 CEST 2015, Time: ,Sat Jun 06 01:30:00 CEST 2015, Event: ,Atlanta @ New York, Favorite: ,Atlanta, 13114   size:2.65,Price: ,1.39,New York, 13106   size:2.63,Price: ,3.3,xxxxxx
1.119046533, Sport: ,Basketball, Time: ,Fri Jun 05 21:30:00 CEST 2015, Time: ,Fri Jun 05 21:30:00 CEST 2015, Event: ,Barcelona v Unicaja, Favorite: ,Barcelona, 266269   size:178.9,Price: ,1.22,Unicaja, 272998   size:12.0,Price: ,5.0,okokokokokok
1.119044393, Sport: ,Basketball, Time: ,Sat Jun 06 02:00:00 CEST 2015, Time: ,Sat Jun 06 02:00:00 CEST 2015, Event: ,San Martin v La Union, Favorite: ,San Martin, 8861781   size:6.17,Price: ,1.44,La Union, 6343998   size:15.37,Price: ,3.0,okokokokokok
1.119044394, Sport: ,Basketball, Time: ,Sat Jun 06 03:00:00 CEST 2015, Time: ,Sat Jun 06 03:00:00 CEST 2015, Event: ,Quimsa v Atenas, Favorite: ,Quimsa, 6243645   size:721.18,Price: ,1.19,Atenas, 6719082   size:4.05,Price: ,5.2,okokokokokok
1.119051077, Sport: ,Baseball, Time: ,Sat Jun 06 01:05:00 CEST 2015, Time: ,Sat Jun 06 01:05:00 CEST 2015, Event: ,SF @ PHI, Favorite: ,San Francisco (T Lincecum), 2403237   size:280.23,Price: ,1.79,Philadelphia (J Williams), 8769955   size:5.0,Price: ,2.2,okokokokokok
1.119051115, Sport: ,Baseball, Time: ,Sat Jun 06 01:10:00 CEST 2015, Time: ,Sat Jun 06 01:10:00 CEST 2015, Event: ,SD @ CIN, Favorite: ,Cincinnati (R Iglesias), 9395514   size:504.0,Price: ,1.9,San Diego (T Ross), 7184181   size:110.0,Price: ,2.02,xxxxxx
1.119051060, Sport: ,Baseball, Time: ,Sat Jun 06 01:05:00 CEST 2015, Time: ,Sat Jun 06 01:05:00 CEST 2015, Event: ,CHC @ WSH, Favorite: ,Washington (T Roark), 7637263   size:312.99,Price: ,1.77,Chicago Cubs (T Wada), 8684321   size:91.0,Price: ,2.22,ok
