1.119101821, Sport: ,Tennis, Time: ,Mon Jun 08 13:00:00 CEST 2015, Time: ,Mon Jun 08 13:00:00 CEST 2015, Event: ,Bautista Ag/Gimeno-Trav v Nestor/Paes, Favorite: ,Nestor/Paes, 7592382   size:2.55,Price: ,1.2,Bautista Ag/Gimeno-Trav, 9566105   size:2.55,Price: ,3.95,okokokok
1.119107529, Sport: ,Tennis, Time: ,Mon Jun 08 12:00:00 CEST 2015, Time: ,Mon Jun 08 12:00:00 CEST 2015, Event: ,Beygelzimer v Govortsova, Favorite: ,Olga Govortsova, 2415575   size:3.6,Price: ,1.53,Yuliya Beygelzimer, 3674505   size:48.63,Price: ,2.66,okokokok
1.119110101, Sport: ,Tennis, Time: ,Tue Jun 09 04:00:00 CEST 2015, Time: ,Tue Jun 09 04:00:00 CEST 2015, Event: ,Hisami v Okadaue, Favorite: ,Kanae Hisami, 7657213   size:85.9,Price: ,1.07,Chiaki Okadaue, 7657219   size:75.12,Price: ,1.08,xxxx
1.119103927, Sport: ,Tennis, Time: ,Mon Jun 08 12:30:00 CEST 2015, Time: ,Mon Jun 08 12:30:00 CEST 2015, Event: ,Kavcic v R Haase, Favorite: ,Robin Haase, 2309796   size:149.45,Price: ,1.31,Blaz Kavcic, 2863465   size:9.31,Price: ,3.95,okokokok
1.119108788, Sport: ,Tennis, Time: ,Mon Jun 08 16:15:00 CEST 2015, Time: ,Mon Jun 08 16:15:00 CEST 2015, Event: ,Lama v Clezar, Favorite: ,Guilherme Clezar, 5304142   size:5.84,Price: ,1.37,Gonzalo Lama, 7032057   size:2.93,Price: ,2.72,okokokok
1.119044398, Sport: ,Basketball, Time: ,Tue Jun 09 02:30:00 CEST 2015, Time: ,Tue Jun 09 02:30:00 CEST 2015, Event: ,Atenas v Quimsa, Favorite: ,Quimsa, 6243645   size:38.39,Price: ,1.81,Atenas, 6719082   size:3.84,Price: ,2.08,xxxx
1.119109952, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Chiudinelli v P Herbert, Favorite: ,Pierre-Hugues Herbert, 8266399   size:4.91,Price: ,1.55,Marco Chiudinelli, 2263632   size:33.23,Price: ,2.7,xxx
1.119044399, Sport: ,Basketball, Time: ,Tue Jun 09 03:00:00 CEST 2015, Time: ,Tue Jun 09 03:00:00 CEST 2015, Event: ,La Union v San Martin, Favorite: ,La Union, 6343998   size:428.6,Price: ,1.5,San Martin, 8861781   size:3.31,Price: ,2.72,ok
1.119107978, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,T Monteiro v Munoz-De La Nava, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:140.48,Price: ,1.36,Thiago Monteiro, 8326656   size:21.21,Price: ,3.25,okokokok
1.119110137, Sport: ,Tennis, Time: ,Tue Jun 09 04:00:00 CEST 2015, Time: ,Tue Jun 09 04:00:00 CEST 2015, Event: ,Albanese v M Inoue, Favorite: ,Miyabi Inoue, 8839053   size:213.4,Price: ,1.07,Lauren Albanese, 2309521   size:186.64,Price: ,1.08,okokokok
1.119109838, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,Sugita v M Pavic, Favorite: ,Yuichi Sugita, 3374117   size:139.35,Price: ,1.8,Mate Pavic, 5704638   size:274.92,Price: ,2.16,xxxx
1.119106645, Sport: ,Basketball, Time: ,Mon Jun 08 20:45:00 CEST 2015, Time: ,Mon Jun 08 20:45:00 CEST 2015, Event: ,Sassari v Milano, Favorite: ,Milano, 604579   size:5.48,Price: ,1.46,Sassari, 5838462   size:9.59,Price: ,2.14,okokokok
1.119104865, Sport: ,Tennis, Time: ,Mon Jun 08 16:30:00 CEST 2015, Time: ,Mon Jun 08 16:30:00 CEST 2015, Event: ,Konta v Rybarikova, Favorite: ,Johanna Konta, 5596561   size:4.81,Price: ,1.77,Magdalena Rybarikova, 2548763   size:35.51,Price: ,2.18,okokokok
1.119107450, Sport: ,Tennis, Time: ,Mon Jun 08 16:30:00 CEST 2015, Time: ,Mon Jun 08 16:30:00 CEST 2015, Event: ,Chuang/Savchuk v Dabrowski/Rosolska, Favorite: ,Dabrowski/Rosolska, 7766530   size:5.0,Price: ,1.03,xxxx
1.119053255, Sport: ,Baseball, Time: ,Tue Jun 09 01:07:00 CEST 2015, Time: ,Tue Jun 09 01:07:00 CEST 2015, Event: ,MIA @ TOR, Favorite: ,Toronto (M Estrada), 9458890   size:463.99,Price: ,1.63,Miami (B Hand), 6557934   size:5.0,Price: ,2.5,okokokok
1.119104382, Sport: ,Tennis, Time: ,Mon Jun 08 14:45:00 CEST 2015, Time: ,Mon Jun 08 14:45:00 CEST 2015, Event: ,Erakovic v C Witthoeft, Favorite: ,Marina Erakovic, 2250859   size:190.18,Price: ,1.68,Carina Witthoeft, 5408907   size:19.35,Price: ,2.42,okokokok
1.119108784, Sport: ,Tennis, Time: ,Mon Jun 08 15:45:00 CEST 2015, Time: ,Mon Jun 08 15:45:00 CEST 2015, Event: ,Beretta v Londero, Favorite: ,Juan Ignacio Londero, 7430086   size:2.55,Price: ,1.42,Duilio Beretta, 8326761   size:3.57,Price: ,2.52,xxxx
1.119104462, Sport: ,Tennis, Time: ,Mon Jun 08 14:15:00 CEST 2015, Time: ,Mon Jun 08 14:15:00 CEST 2015, Event: ,Nara v Flipkens, Favorite: ,Kirsten Flipkens, 2264530   size:152.34,Price: ,1.48,Kurumi Nara, 3375664   size:4.97,Price: ,3.0,xxx
1.119110123, Sport: ,Tennis, Time: ,Tue Jun 09 04:00:00 CEST 2015, Time: ,Tue Jun 09 04:00:00 CEST 2015, Event: ,Luangnam v Minokoshi, Favorite: ,Nudnida Luangnam, 2301147   size:106.7,Price: ,1.07,Mai Minokoshi, 7657300   size:93.32,Price: ,1.08,x
1.119107420, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Dutra Silva v Uchiyama, Favorite: ,Rogerio Dutra Silva, 2301068   size:2.55,Price: ,1.4,Yasutaka Uchiyama, 5858048   size:3.31,Price: ,2.72,ok
