1.119730537, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,CD Ronda v Linares Deportivo, Favorite: ,Linares Deportivo, 7977266   size:9.63,Price: ,1.48,The Draw, 58805   size:58.55,Price: ,3.6,CD Ronda, 6962220   size:14.43,Price: ,5.6,
1.119673607, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,PAOK v Spartak Trnava, Favorite: ,PAOK, 232095   size:552.45,Price: ,1.32,The Draw, 58805   size:50.98,Price: ,6.0,Spartak Trnava, 427643   size:23.78,Price: ,12.0,
1.119672527, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,Apollon Limassol v FK Qabala, Favorite: ,Apollon Limassol, 46976   size:10.34,Price: ,1.69,The Draw, 58805   size:3.29,Price: ,3.75,FK Qabala, 6586894   size:37.77,Price: ,6.8,
1.119730312, Sport: ,Soccer, Time: ,Thu Jul 30 19:00:00 CEST 2015, Time: ,Thu Jul 30 19:00:00 CEST 2015, Event: ,Benfica B v Wydad Casablanca, Favorite: ,Benfica B, 6563318   size:111.01,Price: ,2.24,Wydad Casablanca, 4018643   size:2.72,Price: ,2.58,The Draw, 58805   size:2.18,Price: ,3.3,
1.119622127, Sport: ,Soccer, Time: ,Thu Jul 30 19:30:00 CEST 2015, Time: ,Thu Jul 30 19:30:00 CEST 2015, Event: ,Kortedala IF v Lindome, Favorite: ,Lindome, 3804864   size:3.5,Price: ,1.95,Kortedala IF, 9371569   size:4.26,Price: ,2.88,The Draw, 58805   size:4.39,Price: ,3.7,
1.119672429, Sport: ,Soccer, Time: ,Thu Jul 30 19:30:00 CEST 2015, Time: ,Thu Jul 30 19:30:00 CEST 2015, Event: ,AZ Alkmaar v Basaksehir, Favorite: ,Az Alkmaar, 3631356   size:107.92,Price: ,2.38,Basaksehir, 10071088   size:250.11,Price: ,3.2,The Draw, 58805   size:734.23,Price: ,3.55,
1.119673410, Sport: ,Soccer, Time: ,Thu Jul 30 20:00:00 CEST 2015, Time: ,Thu Jul 30 20:00:00 CEST 2015, Event: ,Targu Mures v St Etienne, Favorite: ,St Etienne, 309689   size:9.0,Price: ,2.12,The Draw, 58805   size:8.92,Price: ,3.3,Targu Mures, 3413079   size:41.71,Price: ,4.3,
1.119753742, Sport: ,Tennis, Time: ,Thu Jul 30 20:00:00 CEST 2015, Time: ,Thu Jul 30 20:00:00 CEST 2015, Event: ,Minella/Torr”-Flor v Beck/Siegemund, Favorite: ,Minella/Torr”-Flor, 10080569   size:2.55,Price: ,1.7,Beck/Siegemund, 10080574   size:5.93,Price: ,2.1,
1.119672919, Sport: ,Soccer, Time: ,Thu Jul 30 20:00:00 CEST 2015, Time: ,Thu Jul 30 20:00:00 CEST 2015, Event: ,Brondby v Omonia, Favorite: ,Brondby, 28223   size:13.16,Price: ,1.89,The Draw, 58805   size:11.72,Price: ,3.5,Omonia, 1209587   size:90.94,Price: ,5.1,
1.119731357, Sport: ,Soccer, Time: ,Thu Jul 30 20:30:00 CEST 2015, Time: ,Thu Jul 30 20:30:00 CEST 2015, Event: ,Santiago Morning v Union Espanola, Favorite: ,Union Espanola, 1388376   size:2.13,Price: ,2.34,The Draw, 58805   size:6.61,Price: ,3.05,Santiago Morning, 5129870   size:4.02,Price: ,3.35,
