1.119226110, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Pavic v de Bakker, Favorite: ,Thiemo De Bakker, 9132669   size:140.5,Price: ,1.52,Ante Pavic, 5224080   size:53.21,Price: ,2.48,ok
1.119226097, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Novikov v Mathieu, Favorite: ,Paul-Henri Mathieu, 8259186   size:6.41,Price: ,1.25,Dennis Novikov, 6217982   size:5.93,Price: ,3.9,ok
1.119226010, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Melzer v Melzer, Favorite: ,Jurgen Melzer, 2256472   size:12.95,Price: ,1.18,Gerald Melzer, 4876705   size:16.77,Price: ,5.2,ok
1.119227043, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Carballes Baena v Sijsling, Favorite: ,Igor Sijsling, 2370190   size:38.21,Price: ,1.22,Roberto Carballes Baena, 7185192   size:82.07,Price: ,4.5,ok
1.119215787, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Schwartzman v Bedene, Favorite: ,Aljaz Bedene, 5706996   size:112.47,Price: ,1.31,Diego Schwartzman, 8736474   size:19.0,Price: ,3.95,ok
1.119217900, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Dart v Cibulkova, Favorite: ,Dominika Cibulkova, 2301145   size:860.45,Price: ,1.29,Harriet Dart, 8595916   size:8.05,Price: ,3.85,ok
1.119217901, Sport: ,Tennis, Time: ,Mon Jun 22 13:30:00 CEST 2015, Time: ,Mon Jun 22 13:30:00 CEST 2015, Event: ,Lepchenko v Watson, Favorite: ,Heather Watson, 4174997   size:30.52,Price: ,1.71,Varvara Lepchenko, 2263576   size:18.07,Price: ,2.34,ok
1.119225517, Sport: ,Tennis, Time: ,Mon Jun 22 13:00:00 CEST 2015, Time: ,Mon Jun 22 13:00:00 CEST 2015, Event: ,Brengle v Hercog, Favorite: ,Polona Hercog, 2548781   size:8.92,Price: ,1.79,Madison Brengle, 2263603   size:57.2,Price: ,2.22,ok
1.119161588, Sport: ,Cricket, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Yorkshire v Nottinghamshire, Favorite: ,Yorkshire, 655   size:5.7,Price: ,2.02,The Draw, 60443   size:2.55,Price: ,2.68,Nottinghamshire, 2780   size:2.32,Price: ,3.45,ok
1.119226109, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Khachanov v Kravchuk, Favorite: ,Konstantin Kravchuk, 5011822   size:717.07,Price: ,1.4,Karen Khachanov, 7659623   size:5.99,Price: ,2.96,ok
1.119225931, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Copil v Jung, Favorite: ,Marius Copil, 4195870   size:98.99,Price: ,1.28,Jason Jung, 7048850   size:21.0,Price: ,4.2,ok
1.119222400, Sport: ,Tennis, Time: ,Mon Jun 22 13:00:00 CEST 2015, Time: ,Mon Jun 22 13:00:00 CEST 2015, Event: ,Saez v Baldi, Favorite: ,Juan Carlos Saez, 8258302   size:8.78,Price: ,1.1,Filippo Baldi, 8476503   size:59.97,Price: ,1.49,ok
1.119225940, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Falla v Daniel, Favorite: ,Alejandro Falla, 2284300   size:152.05,Price: ,1.22,Taro Daniel, 8173434   size:13.0,Price: ,5.5,ok
1.119225935, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Kuznetsov v Gabb, Favorite: ,Andrey Kuznetsov, 4257454   size:2.79,Price: ,1.09,Richard Gabb, 7364197   size:9.93,Price: ,8.8,ok
1.119226064, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Evans v Pospisil, Favorite: ,Daniel Evans, 3103121   size:2.55,Price: ,1.27,Jaroslav Pospisil, 3126145   size:61.99,Price: ,4.4,ok
1.119226076, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Donati v Bhambri, Favorite: ,Yuki Bhambri, 3772081   size:150.44,Price: ,1.65,Matteo Donati, 8285864   size:110.36,Price: ,2.34,x
