1.119585480, Sport: ,Tennis, Time: ,Mon Jul 20 13:00:00 CEST 2015, Time: ,Mon Jul 20 13:00:00 CEST 2015, Event: ,Friedsam v Koukalova, Favorite: ,Anna-Lena Friedsam, 7593369   size:43.17,Price: ,1.63,Klara Koukalova, 8445700   size:11.78,Price: ,2.52,x
1.119586323, Sport: ,Tennis, Time: ,Mon Jul 20 11:00:00 CEST 2015, Time: ,Mon Jul 20 11:00:00 CEST 2015, Event: ,Savchuk v Yang, Favorite: ,Zhaoxuan Yang, 8172570   size:2.55,Price: ,1.64,Olga Savchuk, 2263617   size:2.78,Price: ,2.32,x
1.119585772, Sport: ,Tennis, Time: ,Mon Jul 20 14:30:00 CEST 2015, Time: ,Mon Jul 20 14:30:00 CEST 2015, Event: ,Goerges/Martic v Molinero/Solovyeva, Favorite: ,Molinero/Solovyeva, 9946222   size:12.59,Price: ,1.11,x
1.119585992, Sport: ,Tennis, Time: ,Mon Jul 20 10:00:00 CEST 2015, Time: ,Mon Jul 20 10:00:00 CEST 2015, Event: ,Martic v Martincova, Favorite: ,Petra Martic, 2346703   size:12.88,Price: ,1.45,Tereza Martincova, 7335514   size:4.87,Price: ,2.64,ok
1.119586358, Sport: ,Tennis, Time: ,Mon Jul 20 12:00:00 CEST 2015, Time: ,Mon Jul 20 12:00:00 CEST 2015, Event: ,Zhu v Tatishvili, Favorite: ,Anna Tatishvili, 2311979   size:3.09,Price: ,1.62,Lin Zhu, 8714569   size:2.11,Price: ,2.36,ok
1.119576201, Sport: ,Tennis, Time: ,Mon Jul 20 14:00:00 CEST 2015, Time: ,Mon Jul 20 14:00:00 CEST 2015, Event: ,Eriksson v Paire, Favorite: ,Benoit Paire, 3911345   size:2.55,Price: ,1.15,Markus Eriksson, 6670613   size:7.0,Price: ,6.2,ok
1.119581489, Sport: ,Soccer, Time: ,Mon Jul 20 07:00:00 CEST 2015, Time: ,Mon Jul 20 07:00:00 CEST 2015, Event: ,Nara Club v Ryutsu Keizai Dragons, Favorite: ,Nara Club, 4233883   size:5.64,Price: ,1.33,The Draw, 58805   size:4.27,Price: ,3.4,Ryutsu Keizai Dragons, 9433232   size:6.74,Price: ,5.1,x
1.119584842, Sport: ,Tennis, Time: ,Mon Jul 20 13:30:00 CEST 2015, Time: ,Mon Jul 20 13:30:00 CEST 2015, Event: ,Rybarikova v Svitolina, Favorite: ,Elina Svitolina, 6324464   size:2.55,Price: ,1.33,Magdalena Rybarikova, 2548763   size:2.89,Price: ,3.35,x
1.119581207, Sport: ,Soccer, Time: ,Mon Jul 20 13:00:00 CEST 2015, Time: ,Mon Jul 20 13:00:00 CEST 2015, Event: ,AS Djibouti v Al Khartoum SC Sudan, Favorite: ,Al Khartoum SC Sudan, 10002755   size:142.63,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,ok
1.119585435, Sport: ,Tennis, Time: ,Mon Jul 20 14:30:00 CEST 2015, Time: ,Mon Jul 20 14:30:00 CEST 2015, Event: ,Allertova v Witthoeft, Favorite: ,Carina Witthoeft, 5408907   size:243.25,Price: ,1.6,Denisa Allertova, 8679183   size:11.79,Price: ,2.38,x
1.119585237, Sport: ,Tennis, Time: ,Mon Jul 20 11:00:00 CEST 2015, Time: ,Mon Jul 20 11:00:00 CEST 2015, Event: ,Robert v Dutra Silva, Favorite: ,Rogerio Dutra Silva, 2301068   size:3.08,Price: ,1.62,Stephane Robert, 4422812   size:5.94,Price: ,2.22,ok
1.119582651, Sport: ,Soccer, Time: ,Mon Jul 20 10:00:00 CEST 2015, Time: ,Mon Jul 20 10:00:00 CEST 2015, Event: ,Amkar Perm (Y) v FK Krasnodar (Y), Favorite: ,Amkar Perm (Y), 9425933   size:4.86,Price: ,2.18,FK Krasnodar (Y), 9045039   size:2.55,Price: ,3.05,The Draw, 58805   size:2.34,Price: ,3.55,x
