1.119784035, Sport: ,Tennis, Time: ,Fri Jul 31 16:00:00 CEST 2015, Time: ,Fri Jul 31 16:00:00 CEST 2015, Event: ,Borecka v Vaidisova, Favorite: ,Nicole Vaidisova, 2256495   size:3.15,Price: ,1.58,Martina Borecka, 9148887   size:4.61,Price: ,2.42,x
1.119784794, Sport: ,Tennis, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,Kudla v D Sela, Favorite: ,Denis Kudla, 4829260   size:284.47,Price: ,1.72,Dudi Sela, 2263685   size:275.88,Price: ,2.28,ok
1.119784395, Sport: ,Tennis, Time: ,Fri Jul 31 19:45:00 CEST 2015, Time: ,Fri Jul 31 19:45:00 CEST 2015, Event: ,Clezar v Millman, Favorite: ,John Millman, 4415206   size:3.42,Price: ,1.46,Guilherme Clezar, 5304142   size:4.99,Price: ,2.92,ok
1.119752221, Sport: ,Soccer, Time: ,Fri Jul 31 16:00:00 CEST 2015, Time: ,Fri Jul 31 16:00:00 CEST 2015, Event: ,Fram Reykjavik U19 v Fredrikstad FK U19, Favorite: ,Fredrikstad FK U19, 10081238   size:2.55,Price: ,1.8,Fram Reykjavik U19, 6827193   size:2.55,Price: ,3.45,The Draw, 58805   size:11.77,Price: ,3.6,ok
1.119752501, Sport: ,Soccer, Time: ,Fri Jul 31 19:00:00 CEST 2015, Time: ,Fri Jul 31 19:00:00 CEST 2015, Event: ,Queretaro U20 v Pachuca U20, Favorite: ,Pachuca U20, 5254053   size:11.98,Price: ,1.08,The Draw, 58805   size:10.96,Price: ,1.29,x
1.119784549, Sport: ,Soccer, Time: ,Fri Jul 31 21:00:00 CEST 2015, Time: ,Fri Jul 31 21:00:00 CEST 2015, Event: ,Bolton v Charlton, Favorite: ,Bolton, 48322   size:16.77,Price: ,2.46,Charlton, 48349   size:60.8,Price: ,3.05,The Draw, 58805   size:113.27,Price: ,3.45,x
1.119750442, Sport: ,Soccer, Time: ,Fri Jul 31 21:30:00 CEST 2015, Time: ,Fri Jul 31 21:30:00 CEST 2015, Event: ,La Roda v Villarreal B, Favorite: ,La Roda, 4923750   size:2.55,Price: ,2.48,Villarreal B, 2522842   size:2.55,Price: ,2.68,The Draw, 58805   size:3.4,Price: ,3.25,ok
1.119770671, Sport: ,Soccer, Time: ,Fri Jul 31 19:00:00 CEST 2015, Time: ,Fri Jul 31 19:00:00 CEST 2015, Event: ,Almirante Brown v Deportivo Espanol, Favorite: ,Almirante Brown, 5359221   size:3.65,Price: ,2.38,Deportivo Espanol, 9218811   size:4.74,Price: ,3.2,The Draw, 58805   size:33.01,Price: ,3.35,ok
1.119753033, Sport: ,Tennis, Time: ,Fri Jul 31 15:00:00 CEST 2015, Time: ,Fri Jul 31 15:00:00 CEST 2015, Event: ,Andujar v Bellucci, Favorite: ,Thomaz Bellucci, 2830908   size:742.42,Price: ,1.66,Pablo Andujar, 2303153   size:329.52,Price: ,2.48,ok
1.119632254, Sport: ,Soccer, Time: ,Fri Jul 31 19:00:00 CEST 2015, Time: ,Fri Jul 31 19:00:00 CEST 2015, Event: ,Jahn Regensburg v Schweinfurt, Favorite: ,Jahn Regensburg, 4855758   size:5.33,Price: ,1.38,The Draw, 58805   size:2.09,Price: ,5.2,Schweinfurt, 111723   size:8.7,Price: ,9.2,ok
1.119635648, Sport: ,Soccer, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,Red Star v Creteil, Favorite: ,Red Star, 496950   size:142.3,Price: ,2.26,The Draw, 58805   size:325.69,Price: ,3.25,Creteil, 269793   size:9.64,Price: ,3.9,x
1.119635921, Sport: ,Soccer, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,Auxerre v Brest, Favorite: ,Auxerre, 44800   size:439.47,Price: ,2.5,The Draw, 58805   size:353.06,Price: ,3.05,Brest, 669348   size:78.71,Price: ,3.6,x
1.119633183, Sport: ,Soccer, Time: ,Fri Jul 31 19:00:00 CEST 2015, Time: ,Fri Jul 31 19:00:00 CEST 2015, Event: ,Stuttgart II v Preussen Munster, Favorite: ,Preussen Munster, 3235019   size:340.0,Price: ,2.74,Stuttgart II, 6507690   size:8.53,Price: ,2.8,The Draw, 58805   size:100.83,Price: ,3.4,ok
1.119729771, Sport: ,Soccer, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,Crvena Zvezda v Radnicki Nis, Favorite: ,Crvena Zvezda, 6399   size:7.43,Price: ,1.31,The Draw, 58805   size:6.16,Price: ,5.4,Radnicki Nis, 6555084   size:15.53,Price: ,12.0,x
1.119753918, Sport: ,Tennis, Time: ,Fri Jul 31 18:00:00 CEST 2015, Time: ,Fri Jul 31 18:00:00 CEST 2015, Event: ,Eubanks/Young v Krajicek/Monroe, Favorite: ,Krajicek/Monroe, 8925143   size:2.55,Price: ,1.35,Eubanks/Young, 10079045   size:71.15,Price: ,3.2,x
1.119747198, Sport: ,Soccer, Time: ,Fri Jul 31 19:00:00 CEST 2015, Time: ,Fri Jul 31 19:00:00 CEST 2015, Event: ,MVV Maastricht v Lommel Utd, Favorite: ,MVV Maastricht, 8704630   size:130.29,Price: ,2.44,Lommel Utd, 5741869   size:11.09,Price: ,2.86,The Draw, 58805   size:105.4,Price: ,3.85,x
1.119633463, Sport: ,Soccer, Time: ,Fri Jul 31 20:45:00 CEST 2015, Time: ,Fri Jul 31 20:45:00 CEST 2015, Event: ,Derry v Longford, Favorite: ,Derry, 184326   size:464.06,Price: ,2.06,The Draw, 58805   size:41.93,Price: ,3.6,Longford, 184330   size:109.22,Price: ,4.1,ok
1.119784780, Sport: ,Tennis, Time: ,Fri Jul 31 18:30:00 CEST 2015, Time: ,Fri Jul 31 18:30:00 CEST 2015, Event: ,Beck/Siegemund v Irigoyen/Kania, Favorite: ,Beck/Siegemund, 10080574   size:143.04,Price: ,1.74,Irigoyen/Kania, 10080585   size:9.18,Price: ,1.97,ok
1.119669389, Sport: ,Cricket, Time: ,Fri Jul 31 15:00:00 CEST 2015, Time: ,Fri Jul 31 15:00:00 CEST 2015, Event: ,Derbyshire v Northamptonshire, Favorite: ,Northamptonshire, 475559   size:5.0,Price: ,1.82,Derbyshire, 31375   size:24.18,Price: ,2.12,x
1.119752277, Sport: ,Soccer, Time: ,Fri Jul 31 16:00:00 CEST 2015, Time: ,Fri Jul 31 16:00:00 CEST 2015, Event: ,Lyngby BK U19 v NK Zrinjski Mostar U19, Favorite: ,Lyngby BK U19, 6432438   size:7.44,Price: ,1.58,The Draw, 58805   size:2.55,Price: ,4.2,NK Zrinjski Mostar U19, 10081246   size:2.55,Price: ,4.9,x
1.119752951, Sport: ,Soccer, Time: ,Fri Jul 31 16:00:00 CEST 2015, Time: ,Fri Jul 31 16:00:00 CEST 2015, Event: ,Olimpik Donetsk U21 v Karpaty U21, Favorite: ,Olimpik Donetsk U21, 10092763   size:6.25,Price: ,1.11,The Draw, 58805   size:11.58,Price: ,1.29,Karpaty U21, 10092764   size:50.59,Price: ,1.38,ok
1.119748613, Sport: ,Soccer, Time: ,Fri Jul 31 20:30:00 CEST 2015, Time: ,Fri Jul 31 20:30:00 CEST 2015, Event: ,Torquay v Exeter, Favorite: ,Exeter, 66243   size:9.0,Price: ,2.46,Torquay, 50808   size:77.71,Price: ,2.98,The Draw, 58805   size:7.68,Price: ,3.55,x
1.119631834, Sport: ,Soccer, Time: ,Fri Jul 31 17:00:00 CEST 2015, Time: ,Fri Jul 31 17:00:00 CEST 2015, Event: ,FC Kontu v Spartak Helsinki, Favorite: ,FC Kontu, 502399   size:4.37,Price: ,1.46,The Draw, 58805   size:8.62,Price: ,4.3,Spartak Helsinki, 8577443   size:7.11,Price: ,5.0,ok
