1.119669392, Sport: ,Cricket, Time: ,Fri Jul 31 15:00:00 CEST 2015, Time: ,Fri Jul 31 15:00:00 CEST 2015, Event: ,Glamorgan v Essex, Favorite: ,Essex, 31376   size:16.15,Price: ,1.65,Glamorgan, 169   size:2.77,Price: ,2.36,x
1.119737007, Sport: ,Tennis, Time: ,Fri Jul 31 12:30:00 CEST 2015, Time: ,Fri Jul 31 12:30:00 CEST 2015, Event: ,N Han v Lu, Favorite: ,Na-Lae Han, 8842650   size:127.9,Price: ,1.61,Jia-Jing Lu, 9002321   size:2.55,Price: ,2.34,x
1.119768882, Sport: ,Tennis, Time: ,Fri Jul 31 13:00:00 CEST 2015, Time: ,Fri Jul 31 13:00:00 CEST 2015, Event: ,J Jankovic v Y Duan, Favorite: ,Jelena Jankovic, 2252607   size:95.62,Price: ,1.22,Ying-Ying Duan, 8243878   size:66.7,Price: ,5.1,ok
1.119752614, Sport: ,Soccer, Time: ,Fri Jul 31 13:00:00 CEST 2015, Time: ,Fri Jul 31 13:00:00 CEST 2015, Event: ,CSKA Moscow (Y) v Anzhi Makhachkala (Y), Favorite: ,CSKA Moscow (Y), 5386432   size:2.74,Price: ,1.81,Anzhi Makhachkala (Y), 5460247   size:2.55,Price: ,2.56,The Draw, 58805   size:2.85,Price: ,3.8,x
1.119753312, Sport: ,Tennis, Time: ,Fri Jul 31 10:30:00 CEST 2015, Time: ,Fri Jul 31 10:30:00 CEST 2015, Event: ,Giraldo v Fel Lopez, Favorite: ,Santiago Giraldo, 2415499   size:5.27,Price: ,1.73,Feliciano Lopez, 2265109   size:36.4,Price: ,2.34,x
1.119753199, Sport: ,Tennis, Time: ,Fri Jul 31 11:30:00 CEST 2015, Time: ,Fri Jul 31 11:30:00 CEST 2015, Event: ,Pouille v Paire, Favorite: ,Benoit Paire, 3911345   size:289.59,Price: ,1.39,Lucas Pouille, 7031400   size:268.21,Price: ,3.45,x
1.119754003, Sport: ,Tennis, Time: ,Fri Jul 31 08:30:00 CEST 2015, Time: ,Fri Jul 31 08:30:00 CEST 2015, Event: ,Y Mertens v Kravchuk, Favorite: ,Konstantin Kravchuk, 5011822   size:13.48,Price: ,1.67,Yannick Mertens, 4521608   size:11.97,Price: ,2.36,ok
1.119713090, Sport: ,Ice Hockey, Time: ,Fri Jul 31 13:00:00 CEST 2015, Time: ,Fri Jul 31 13:00:00 CEST 2015, Event: ,CSKA Moscow v Sochi, Favorite: ,Tie, 60104   size:102.85,Price: ,1.01,x
1.119740568, Sport: ,Tennis, Time: ,Fri Jul 31 13:00:00 CEST 2015, Time: ,Fri Jul 31 13:00:00 CEST 2015, Event: ,Krejcikova v Bertens, Favorite: ,Kiki Bertens, 5611697   size:9.04,Price: ,1.61,Barbora Krejcikova, 8784972   size:4.7,Price: ,2.32,ok
1.119753033, Sport: ,Tennis, Time: ,Fri Jul 31 15:00:00 CEST 2015, Time: ,Fri Jul 31 15:00:00 CEST 2015, Event: ,Andujar v Bellucci, Favorite: ,Thomaz Bellucci, 2830908   size:109.08,Price: ,1.66,Pablo Andujar, 2303153   size:128.7,Price: ,2.42,ok
1.119760403, Sport: ,Tennis, Time: ,Fri Jul 31 09:00:00 CEST 2015, Time: ,Fri Jul 31 09:00:00 CEST 2015, Event: ,Rodina v M Gasparyan, Favorite: ,Margarita Gasparyan, 6750186   size:30.42,Price: ,1.63,Evgeniya Rodina, 2415530   size:38.23,Price: ,2.52,ok
1.119751997, Sport: ,Soccer, Time: ,Fri Jul 31 09:30:00 CEST 2015, Time: ,Fri Jul 31 09:30:00 CEST 2015, Event: ,Rewa FC v Ba FC, Favorite: ,Rewa FC, 9461599   size:5.93,Price: ,1.24,Ba FC, 9419989   size:5.93,Price: ,1.27,The Draw, 58805   size:10.0,Price: ,3.2,x
1.119765031, Sport: ,Tennis, Time: ,Fri Jul 31 12:15:00 CEST 2015, Time: ,Fri Jul 31 12:15:00 CEST 2015, Event: ,Carreno Busta v D Thiem, Favorite: ,Dominic Thiem, 5720747   size:535.06,Price: ,1.44,Pablo Carreno Busta, 5479878   size:5.0,Price: ,3.15,ok
1.119736518, Sport: ,Volleyball, Time: ,Fri Jul 31 14:30:00 CEST 2015, Time: ,Fri Jul 31 14:30:00 CEST 2015, Event: ,Qatar v Australia, Favorite: ,Australia, 2175252   size:1073.08,Price: ,1.01,Qatar, 4210317   size:18.0,Price: ,1.17,x
