1.118987683, Sport: ,Basketball, Time: ,Fri Jun 05 03:00:00 CEST 2015, Time: ,Fri Jun 05 03:00:00 CEST 2015, Event: ,Cleveland @ Golden State, Favorite: ,Golden State, 13126   size:4270.4,Price: ,1.47,Cleveland, 13112   size:1747.81,Price: ,3.05,okok
1.119076416, Sport: ,Tennis, Time: ,Fri Jun 05 13:30:00 CEST 2015, Time: ,Fri Jun 05 13:30:00 CEST 2015, Event: ,Friedsam v Pegula, Favorite: ,Anna-Lena Friedsam, 7593369   size:2.55,Price: ,1.14,Jessica Pegula, 6215852   size:2.55,Price: ,1.52,xx
1.118948146, Sport: ,Basketball, Time: ,Fri Jun 05 20:50:00 CEST 2015, Time: ,Fri Jun 05 20:50:00 CEST 2015, Event: ,Nancy v Limoges, Favorite: ,Limoges, 3817200   size:2.55,Price: ,1.64,Nancy, 1293966   size:233.86,Price: ,2.32,okok
1.119025946, Sport: ,Basketball, Time: ,Fri Jun 05 20:45:00 CEST 2015, Time: ,Fri Jun 05 20:45:00 CEST 2015, Event: ,Reggio Emilia v Venezia, Favorite: ,Reggio Emilia, 958950   size:5.78,Price: ,1.67,Venezia, 5878119   size:25.75,Price: ,2.24,okok
1.119074510, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Kudryavtseva v Kontaveit, Favorite: ,Anett Kontaveit, 5300737   size:207.14,Price: ,1.07,Alla Kudryavtseva, 2263696   size:181.2,Price: ,1.08,okok
1.119066387, Sport: ,Tennis, Time: ,Fri Jun 05 04:00:00 CEST 2015, Time: ,Fri Jun 05 04:00:00 CEST 2015, Event: ,Ehara v Ji Nam, Favorite: ,Ji Sung Nam, 7688602   size:2.55,Price: ,1.64,Hiroyasu Ehara, 5858044   size:2.55,Price: ,2.42,xx
1.119076410, Sport: ,Tennis, Time: ,Fri Jun 05 13:30:00 CEST 2015, Time: ,Fri Jun 05 13:30:00 CEST 2015, Event: ,Martincova v Mar Sanchez, Favorite: ,Maria Sanchez, 5374654   size:2.55,Price: ,1.22,Tereza Martincova, 7335514   size:2.55,Price: ,1.27,ok
1.119078998, Sport: ,Tennis, Time: ,Fri Jun 05 16:00:00 CEST 2015, Time: ,Fri Jun 05 16:00:00 CEST 2015, Event: ,P Lorenzi v Jarry, Favorite: ,Nicolas Jarry, 8260515   size:207.76,Price: ,1.07,x
1.119051013, Sport: ,Basketball, Time: ,Fri Jun 05 13:00:00 CEST 2015, Time: ,Fri Jun 05 13:00:00 CEST 2015, Event: ,NLEX Road Warriors v San Miguel Beermen, Favorite: ,San Miguel Beermen, 3803247   size:352.41,Price: ,1.28,NLEX Road Warriors, 8911710   size:99.42,Price: ,3.75,okok
1.119051534, Sport: ,Tennis, Time: ,Fri Jun 05 13:00:00 CEST 2015, Time: ,Fri Jun 05 13:00:00 CEST 2015, Event: ,Tsonga v S Wawrinka, Favorite: ,Stanislas Wawrinka, 2257309   size:2632.62,Price: ,1.44,Jo-Wilfried Tsonga, 4190307   size:1231.9,Price: ,3.2,okok
