1.119110327, Sport: ,Tennis, Time: ,Mon Jun 08 13:45:00 CEST 2015, Time: ,Mon Jun 08 13:45:00 CEST 2015, Event: ,Smethurst v Kudla, Favorite: ,Denis Kudla, 4829260   size:5.84,Price: ,1.23,Daniel Smethurst, 7364223   size:6.99,Price: ,4.3,ok
1.119104377, Sport: ,Tennis, Time: ,Mon Jun 08 14:30:00 CEST 2015, Time: ,Mon Jun 08 14:30:00 CEST 2015, Event: ,Dodin v M Krajicek, Favorite: ,Michaella Krajicek, 2256452   size:46.61,Price: ,1.95,Oceane Dodin, 7289631   size:102.0,Price: ,1.96,okokokok
1.119107489, Sport: ,Tennis, Time: ,Mon Jun 08 18:00:00 CEST 2015, Time: ,Mon Jun 08 18:00:00 CEST 2015, Event: ,Kops-Jones/Spears v Liang/Wang, Favorite: ,Kops-Jones/Spears, 3636565   size:12.56,Price: ,1.33,Liang/Wang, 9128675   size:9.47,Price: ,2.46,okokokok
1.119107207, Sport: ,Tennis, Time: ,Mon Jun 08 16:00:00 CEST 2015, Time: ,Mon Jun 08 16:00:00 CEST 2015, Event: ,Bogdan/Hrdinova v Bertens/Larsson, Favorite: ,Bertens/Larsson, 7612543   size:4.55,Price: ,1.76,Bogdan/Hrdinova, 9493882   size:10.19,Price: ,1.84,okokokok
1.119053288, Sport: ,Baseball, Time: ,Tue Jun 09 02:10:00 CEST 2015, Time: ,Tue Jun 09 02:10:00 CEST 2015, Event: ,KC @ MIN, Favorite: ,Minnesota (P Hughes), 8436206   size:2.6,Price: ,1.92,Kansas City (J Vargas), 8432621   size:15.79,Price: ,1.98,xxxx
1.119100531, Sport: ,Tennis, Time: ,Mon Jun 08 14:45:00 CEST 2015, Time: ,Mon Jun 08 14:45:00 CEST 2015, Event: ,Dolgopolov v Kohlschreiber, Favorite: ,Philipp Kohlschreiber, 2257302   size:3680.76,Price: ,1.5,Alexandr Dolgopolov, 4720522   size:50.8,Price: ,2.86,okokokok
1.119053247, Sport: ,Baseball, Time: ,Tue Jun 09 01:05:00 CEST 2015, Time: ,Tue Jun 09 01:05:00 CEST 2015, Event: ,MIL @ PIT, Favorite: ,Pittsburgh (A Burnett), 6327266   size:5.0,Price: ,1.66,Milwaukee (J Nelson), 7720203   size:112.0,Price: ,2.46,xxxx
1.119100254, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Kudryavtsev v R Olivo, Favorite: ,Renzo Olivo, 4822931   size:40.27,Price: ,1.68,Alexander Kudryavtsev, 5908538   size:31.44,Price: ,2.34,okokokok
1.119105581, Sport: ,Tennis, Time: ,Mon Jun 08 16:30:00 CEST 2015, Time: ,Mon Jun 08 16:30:00 CEST 2015, Event: ,V Pospisil v Matosevic, Favorite: ,Vasek Pospisil, 4903598   size:10.0,Price: ,1.75,Marinko Matosevic, 4423909   size:20.0,Price: ,2.28,okokokok
1.119035339, Sport: ,Ice Hockey, Time: ,Tue Jun 09 02:05:00 CEST 2015, Time: ,Tue Jun 09 02:05:00 CEST 2015, Event: ,Tampa Bay @ Chicago, Favorite: ,Chicago, 2109831   size:18.76,Price: ,2.14,Tampa Bay, 2109715   size:5.39,Price: ,3.3,Tie, 60104   size:154.35,Price: ,3.85,xxxx
