1.119503150, Sport: ,Soccer, Time: ,Sun Jul 19 23:00:00 CEST 2015, Time: ,Sun Jul 19 23:00:00 CEST 2015, Event: ,Jaguares de Cordoba v Atletico Huila, Favorite: ,Atletico Huila, 4880434   size:278.73,Price: ,2.78,Jaguares de Cordoba, 7055314   size:12.96,Price: ,2.96,The Draw, 58805   size:13.4,Price: ,3.2,x
1.119503431, Sport: ,Soccer, Time: ,Mon Jul 20 03:00:00 CEST 2015, Time: ,Mon Jul 20 03:00:00 CEST 2015, Event: ,Santa Fe v Cucuta Deportivo, Favorite: ,Santa Fe, 4908158   size:23.57,Price: ,1.28,The Draw, 58805   size:6.55,Price: ,5.4,Cucuta Deportivo, 2301978   size:12.69,Price: ,14.0,ok
1.119502583, Sport: ,Soccer, Time: ,Sun Jul 19 22:10:00 CEST 2015, Time: ,Sun Jul 19 22:10:00 CEST 2015, Event: ,Gimnasia Mendoza v Santamarina, Favorite: ,Santamarina, 5985057   size:2.12,Price: ,2.38,The Draw, 58805   size:6.91,Price: ,2.98,Gimnasia Mendoza, 9229725   size:127.0,Price: ,3.75,x
1.119585008, Sport: ,Handball, Time: ,Sun Jul 19 23:30:00 CEST 2015, Time: ,Sun Jul 19 23:30:00 CEST 2015, Event: ,Brazil U21 v Japan U21, Favorite: ,Draw, 330157   size:103.24,Price: ,1.01,x
1.119573956, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Villa Nova v Duque de Caxias, Favorite: ,Duque de Caxias, 2763327   size:142.62,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,ok
1.119568091, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,San Martin de Tucuman v Andino Sport Club, Favorite: ,Andino Sport Club, 9339142   size:143.89,Price: ,1.06,San Martin de Tucuman, 7097927   size:2.05,Price: ,1.33,The Draw, 58805   size:7.73,Price: ,3.05,x
1.119571451, Sport: ,Soccer, Time: ,Mon Jul 20 00:00:00 CEST 2015, Time: ,Mon Jul 20 00:00:00 CEST 2015, Event: ,America RN v Confianca, Favorite: ,America RN, 4701920   size:3.63,Price: ,1.55,The Draw, 58805   size:2.63,Price: ,3.6,Confianca, 3806543   size:4.49,Price: ,5.7,ok
1.119572586, Sport: ,Soccer, Time: ,Sun Jul 19 23:00:00 CEST 2015, Time: ,Sun Jul 19 23:00:00 CEST 2015, Event: ,Gualaceo v Olmedo, Favorite: ,Olmedo, 1070495   size:2.42,Price: ,2.02,Gualaceo, 9650875   size:6.62,Price: ,3.25,The Draw, 58805   size:6.48,Price: ,3.3,x
1.119497637, Sport: ,Baseball, Time: ,Sun Jul 19 20:15:00 CEST 2015, Time: ,Sun Jul 19 20:15:00 CEST 2015, Event: ,NYM @ STL, Favorite: ,St Louis (T Cooney), 9445285   size:313.75,Price: ,1.7,New York Mets (J Niese), 3313642   size:106.34,Price: ,2.38,x
1.119452409, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Palmeiras v Santos, Favorite: ,Palmeiras, 189952   size:94.22,Price: ,1.75,The Draw, 58805   size:273.73,Price: ,3.9,Santos, 198127   size:69.15,Price: ,5.7,ok
