1.119282186, Sport: ,Tennis, Time: ,Wed Jul 01 17:00:00 CEST 2015, Time: ,Wed Jul 01 17:00:00 CEST 2015, Event: ,Gajdosova/Tomljanovic v Chan/Zheng, Favorite: ,Chan/Zheng, 8461906   size:4.43,Price: ,1.42,Gajdosova/Tomljanovic, 8189271   size:3.97,Price: ,2.58,x
1.119279013, Sport: ,Tennis, Time: ,Wed Jul 01 15:30:00 CEST 2015, Time: ,Wed Jul 01 15:30:00 CEST 2015, Event: ,Mannarino/Pouille v Kubot/Mirnyi, Favorite: ,Kubot/Mirnyi, 9666217   size:4.35,Price: ,1.22,Mannarino/Pouille, 9683104   size:7.26,Price: ,3.6,ok
1.119257247, Sport: ,Soccer, Time: ,Wed Jul 01 22:00:00 CEST 2015, Time: ,Wed Jul 01 22:00:00 CEST 2015, Event: ,Arab Contractors v Al Nasr (EGY), Favorite: ,Arab Contractors, 5170862   size:4.78,Price: ,1.62,The Draw, 58805   size:2.76,Price: ,3.35,Al Nasr (EGY), 8849333   size:43.24,Price: ,5.0,x
1.119318547, Sport: ,Tennis, Time: ,Wed Jul 01 12:30:00 CEST 2015, Time: ,Wed Jul 01 12:30:00 CEST 2015, Event: ,P Herbert v Tomic, Favorite: ,Bernard Tomic, 3588868   size:6730.36,Price: ,1.2,Pierre-Hugues Herbert, 8266399   size:82.36,Price: ,5.7,ok
1.119329170, Sport: ,Tennis, Time: ,Wed Jul 01 18:00:00 CEST 2015, Time: ,Wed Jul 01 18:00:00 CEST 2015, Event: ,Halbauer v Profit, Favorite: ,Elizabeth Profit, 9028626   size:11.17,Price: ,1.08,x
1.119329172, Sport: ,Tennis, Time: ,Wed Jul 01 19:00:00 CEST 2015, Time: ,Wed Jul 01 19:00:00 CEST 2015, Event: ,Fuentes v Marand, Favorite: ,Sanaz Marand, 7168237   size:4.34,Price: ,1.22,Camila Fuentes, 8427393   size:15.03,Price: ,3.2,ok
1.119329173, Sport: ,Tennis, Time: ,Wed Jul 01 19:00:00 CEST 2015, Time: ,Wed Jul 01 19:00:00 CEST 2015, Event: ,Anderson v Muhammad, Favorite: ,Asia Muhammad, 3288385   size:4.18,Price: ,1.27,Robin Anderson, 8947134   size:17.98,Price: ,2.78,x
1.119257387, Sport: ,Soccer, Time: ,Wed Jul 01 22:00:00 CEST 2015, Time: ,Wed Jul 01 22:00:00 CEST 2015, Event: ,ENPPI v Petrojet, Favorite: ,ENPPI, 5259327   size:27.47,Price: ,1.98,The Draw, 58805   size:72.05,Price: ,3.45,Petrojet, 5168594   size:43.16,Price: ,4.2,ok
1.119329174, Sport: ,Tennis, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,Carruthers v Mckenzie, Favorite: ,Steffi Carruthers, 9627079   size:2.91,Price: ,1.82,Kylie McKenzie, 9484316   size:2.88,Price: ,1.84,x
1.119279081, Sport: ,Tennis, Time: ,Wed Jul 01 12:30:00 CEST 2015, Time: ,Wed Jul 01 12:30:00 CEST 2015, Event: ,Marray/Nielsen v Martin/Raja, Favorite: ,Marray/Nielsen, 6480367   size:10.13,Price: ,1.45,Martin/Raja, 8892024   size:44.69,Price: ,2.86,ok
1.119324356, Sport: ,Tennis, Time: ,Wed Jul 01 15:00:00 CEST 2015, Time: ,Wed Jul 01 15:00:00 CEST 2015, Event: ,Knapp/Vinci v Chan/Melichar, Favorite: ,Knapp/Vinci, 8475727   size:10.81,Price: ,1.44,Chan/Melichar, 9752890   size:4.98,Price: ,2.52,ok
