1.119899900, Sport: ,Tennis, Time: ,Fri Aug 07 16:00:00 CEST 2015, Time: ,Fri Aug 07 16:00:00 CEST 2015, Event: ,Albot v Pavlasek, Favorite: ,Adam Pavlasek, 8494652   size:3.72,Price: ,1.73,Radu Albot, 6603898   size:18.76,Price: ,2.26,
1.119871573, Sport: ,Soccer, Time: ,Fri Aug 07 18:00:00 CEST 2015, Time: ,Fri Aug 07 18:00:00 CEST 2015, Event: ,NK Dugopolje v NK Imotski, Favorite: ,NK Dugopolje, 7154508   size:3.39,Price: ,2.44,NK Imotski, 7186809   size:2.49,Price: ,2.58,The Draw, 58805   size:2.72,Price: ,3.05,x
1.119910426, Sport: ,Snooker, Time: ,Fri Aug 07 15:30:00 CEST 2015, Time: ,Fri Aug 07 15:30:00 CEST 2015, Event: ,Mark King v Joel Walker, Favorite: ,Joel Walker, 5760963   size:0.0,Price: ,0.0,x
1.119768474, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,Sochaux v Metz, Favorite: ,Sochaux, 44796   size:512.27,Price: ,2.56,The Draw, 58805   size:310.38,Price: ,3.05,Metz, 44795   size:567.1,Price: ,3.3,x
1.119766173, Sport: ,Soccer, Time: ,Fri Aug 07 18:30:00 CEST 2015, Time: ,Fri Aug 07 18:30:00 CEST 2015, Event: ,St Polten v FC Wacker Innsbruck, Favorite: ,St Polten, 1088499   size:26.12,Price: ,2.02,The Draw, 58805   size:44.93,Price: ,3.5,FC Wacker Innsbruck, 2469752   size:59.88,Price: ,4.2,x
1.119765082, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Jammerbught FC v Aarhus Fremad, Favorite: ,Jammerbught FC, 7441343   size:3.97,Price: ,1.67,Aarhus Fremad, 895064   size:6.88,Price: ,2.9,The Draw, 58805   size:11.81,Price: ,3.0,ok
1.119766453, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Skive v FC Vestsjaelland, Favorite: ,FC Vestsjaelland, 3235291   size:15.96,Price: ,2.44,Skive, 151005   size:255.61,Price: ,3.2,The Draw, 58805   size:401.65,Price: ,3.25,x
1.119765086, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Thisted v Skovbakken, Favorite: ,Thisted, 920044   size:3.23,Price: ,1.61,The Draw, 58805   size:2.84,Price: ,3.7,Skovbakken, 3235292   size:3.61,Price: ,4.6,x
1.119910144, Sport: ,Tennis, Time: ,Fri Aug 07 21:00:00 CEST 2015, Time: ,Fri Aug 07 21:00:00 CEST 2015, Event: ,A Zverev v Ma Cilic, Favorite: ,Marin Cilic, 2263681   size:105.86,Price: ,1.24,Alexander Zverev, 7430944   size:70.0,Price: ,4.8,ok
1.119768110, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,Le Havre v AC Ajaccio, Favorite: ,Le Havre, 70446   size:1115.4,Price: ,1.89,The Draw, 58805   size:327.64,Price: ,3.45,AC Ajaccio, 8720753   size:129.58,Price: ,5.3,ok
