1.119161473, Sport: ,Tennis, Time: ,Sun Jun 14 17:15:00 CEST 2015, Time: ,Sun Jun 14 17:15:00 CEST 2015, Event: ,Sakharov v Reinwein, Favorite: ,Gleb Sakharov, 8284520   size:17.58,Price: ,1.26,Sami Reinwein, 7032038   size:8.0,Price: ,3.15,ok
1.119072800, Sport: ,Handball, Time: ,Sun Jun 14 17:45:00 CEST 2015, Time: ,Sun Jun 14 17:45:00 CEST 2015, Event: ,FYROM v Czech Republic, Favorite: ,FYROM, 5376760   size:143.91,Price: ,1.13,Czech Republic, 620375   size:60.71,Price: ,8.2,Draw, 330157   size:40.49,Price: ,11.5,ok
1.119161493, Sport: ,Tennis, Time: ,Sun Jun 14 15:30:00 CEST 2015, Time: ,Sun Jun 14 15:30:00 CEST 2015, Event: ,Reuter v Peliwo, Favorite: ,Filip Peliwo, 7366916   size:13.81,Price: ,1.85,Yannik Reuter, 8461638   size:39.67,Price: ,2.12,ok
1.119135981, Sport: ,Basketball, Time: ,Sun Jun 14 20:05:00 CEST 2015, Time: ,Sun Jun 14 20:05:00 CEST 2015, Event: ,Hapoel Eilat v Maccabi Tel Aviv, Favorite: ,Maccabi Tel Aviv, 266273   size:4.36,Price: ,1.43,Hapoel Eilat, 7758974   size:103.28,Price: ,3.1,x
1.119130053, Sport: ,Baseball, Time: ,Sun Jun 14 19:08:00 CEST 2015, Time: ,Sun Jun 14 19:08:00 CEST 2015, Event: ,CLE @ DET, Favorite: ,Cleveland (C Kluber), 6555494   size:337.0,Price: ,1.77,Detroit (A Simon), 9389893   size:476.0,Price: ,2.18,x
1.119130133, Sport: ,Baseball, Time: ,Sun Jun 14 21:05:00 CEST 2015, Time: ,Sun Jun 14 21:05:00 CEST 2015, Event: ,MIN @ TEX, Favorite: ,Texas (N Martinez), 8443034   size:283.0,Price: ,1.86,Minnesota (P Hughes), 8436206   size:325.0,Price: ,2.1,x
1.118847829, Sport: ,Basketball, Time: ,Sun Jun 14 16:30:00 CEST 2015, Time: ,Sun Jun 14 16:30:00 CEST 2015, Event: ,Great Britain (W) v Serbia (W), Favorite: ,Serbia (W), 6427235   size:259.13,Price: ,1.03,Great Britain (W), 7306786   size:5.0,Price: ,1.08,ok
1.119134843, Sport: ,Handball, Time: ,Sun Jun 14 14:15:00 CEST 2015, Time: ,Sun Jun 14 14:15:00 CEST 2015, Event: ,Slovakia (W) v Spain (W), Favorite: ,Spain (W), 6257933   size:16.78,Price: ,1.27,Slovakia (W), 6257931   size:3.79,Price: ,6.2,Draw, 330157   size:2.7,Price: ,12.5,x
1.118847868, Sport: ,Basketball, Time: ,Sun Jun 14 19:30:00 CEST 2015, Time: ,Sun Jun 14 19:30:00 CEST 2015, Event: ,Romania (W) v France (W), Favorite: ,France (W), 6469563   size:40.13,Price: ,1.02,Romania (W), 6427228   size:5.0,Price: ,1.07,ok
1.119161406, Sport: ,Tennis, Time: ,Sun Jun 14 14:30:00 CEST 2015, Time: ,Sun Jun 14 14:30:00 CEST 2015, Event: ,Mahut v Goffin, Favorite: ,David Goffin, 5224084   size:996.02,Price: ,1.8,Nicolas Mahut, 2257317   size:83.18,Price: ,2.22,x
1.119073089, Sport: ,Handball, Time: ,Sun Jun 14 15:00:00 CEST 2015, Time: ,Sun Jun 14 15:00:00 CEST 2015, Event: ,Belarus v Lithuania, Favorite: ,Belarus, 626084   size:2.67,Price: ,1.08,Lithuania, 1165300   size:3.48,Price: ,9.8,Draw, 330157   size:3.22,Price: ,14.0,ok
1.118847864, Sport: ,Basketball, Time: ,Sun Jun 14 19:00:00 CEST 2015, Time: ,Sun Jun 14 19:00:00 CEST 2015, Event: ,Hungary (W) v Spain (W), Favorite: ,Spain (W), 6427242   size:214.13,Price: ,1.03,Hungary (W), 6427239   size:9.94,Price: ,14.0,ok
