1.119104849, Sport: ,Tennis, Time: ,Tue Jun 09 15:00:00 CEST 2015, Time: ,Tue Jun 09 15:00:00 CEST 2015, Event: ,Lepchenko v Niculescu, Favorite: ,Monica Niculescu, 2309528   size:55.27,Price: ,1.84,Varvara Lepchenko, 2263576   size:59.76,Price: ,2.18,okok
1.119113683, Sport: ,Tennis, Time: ,Tue Jun 09 16:30:00 CEST 2015, Time: ,Tue Jun 09 16:30:00 CEST 2015, Event: ,A Radwanska v Kudryavtseva, Favorite: ,Agnieszka Radwanska, 2263577   size:422.37,Price: ,1.16,Alla Kudryavtseva, 2263696   size:5.0,Price: ,5.9,okok
1.119066769, Sport: ,Basketball, Time: ,Tue Jun 09 10:00:00 CEST 2015, Time: ,Tue Jun 09 10:00:00 CEST 2015, Event: ,Indonesia v East Timor, Favorite: ,Indonesia, 4096289   size:67.85,Price: ,1.05,East Timor, 9555585   size:5.74,Price: ,1.12,okok
1.119110328, Sport: ,Tennis, Time: ,Tue Jun 09 12:00:00 CEST 2015, Time: ,Tue Jun 09 12:00:00 CEST 2015, Event: ,Bolt v McGee, Favorite: ,Alex Bolt, 7283330   size:193.11,Price: ,1.74,James McGee, 7216252   size:17.31,Price: ,2.06,xx
1.119104695, Sport: ,Tennis, Time: ,Tue Jun 09 14:30:00 CEST 2015, Time: ,Tue Jun 09 14:30:00 CEST 2015, Event: ,Ja Jung v Ze Zhang, Favorite: ,Ze Zhang, 5021895   size:5.51,Price: ,1.38,Jason Jung, 7048850   size:5.74,Price: ,3.1,xx
1.119053329, Sport: ,Baseball, Time: ,Wed Jun 10 01:05:00 CEST 2015, Time: ,Wed Jun 10 01:05:00 CEST 2015, Event: ,WSH @ NYY, Favorite: ,NY Yankees (M Tanaka), 8439277   size:95.0,Price: ,1.88,Washington (M Scherzer), 9378791   size:271.0,Price: ,2.06,okok
1.118925236, Sport: ,Basketball, Time: ,Wed Jun 10 01:00:00 CEST 2015, Time: ,Wed Jun 10 01:00:00 CEST 2015, Event: ,Indiana @ New York, Favorite: ,New York, 13106   size:5.33,Price: ,1.5,Indiana, 13116   size:5.74,Price: ,2.74,okok
1.119116704, Sport: ,Tennis, Time: ,Tue Jun 09 12:00:00 CEST 2015, Time: ,Tue Jun 09 12:00:00 CEST 2015, Event: ,Sirotkina v Kalinina, Favorite: ,Anhelina Kalinina, 8907168   size:6.13,Price: ,1.44,Marta Sirotkina, 5813162   size:6.18,Price: ,2.88,xx
1.119053321, Sport: ,Baseball, Time: ,Wed Jun 10 01:05:00 CEST 2015, Time: ,Wed Jun 10 01:05:00 CEST 2015, Event: ,MIL @ PIT, Favorite: ,Pittsburgh (F Liriano), 7267454   size:475.01,Price: ,1.47,Milwaukee (T Jungmann), 9573008   size:275.0,Price: ,2.92,xx
1.119100254, Sport: ,Tennis, Time: ,Tue Jun 09 13:00:00 CEST 2015, Time: ,Tue Jun 09 13:00:00 CEST 2015, Event: ,Kudryavtsev v R Olivo, Favorite: ,Renzo Olivo, 4822931   size:7.78,Price: ,1.69,Alexander Kudryavtsev, 5908538   size:5.74,Price: ,2.26,okok
1.119100770, Sport: ,Tennis, Time: ,Tue Jun 09 14:30:00 CEST 2015, Time: ,Tue Jun 09 14:30:00 CEST 2015, Event: ,B Becker v Seppi, Favorite: ,Benjamin Becker, 2249398   size:23.66,Price: ,1.84,Andreas Seppi, 2257535   size:588.27,Price: ,2.1,xx
1.119104691, Sport: ,Tennis, Time: ,Tue Jun 09 16:15:00 CEST 2015, Time: ,Tue Jun 09 16:15:00 CEST 2015, Event: ,R Harrison v L Broady, Favorite: ,Ryan Harrison, 2923247   size:5.7,Price: ,1.55,Liam Broady, 5626816   size:16.96,Price: ,2.6,okok
1.119100373, Sport: ,Tennis, Time: ,Tue Jun 09 12:45:00 CEST 2015, Time: ,Tue Jun 09 12:45:00 CEST 2015, Event: ,M Baghdatis v Rosol, Favorite: ,Marcos Baghdatis, 2256469   size:37.97,Price: ,1.79,Lukas Rosol, 2258415   size:22.24,Price: ,2.22,okok
1.119113719, Sport: ,Tennis, Time: ,Tue Jun 09 12:00:00 CEST 2015, Time: ,Tue Jun 09 12:00:00 CEST 2015, Event: ,Vickery v Q Wang, Favorite: ,Qiang Wang, 6145777   size:113.55,Price: ,1.92,Sachia Vickery, 6596286   size:6.67,Price: ,2.06,xx
1.119104450, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,K Mladenovic v Babos, Favorite: ,Kristina Mladenovic, 3622052   size:27.14,Price: ,1.51,Timea Babos, 4828174   size:35.52,Price: ,2.9,okok
1.119100250, Sport: ,Tennis, Time: ,Tue Jun 09 14:45:00 CEST 2015, Time: ,Tue Jun 09 14:45:00 CEST 2015, Event: ,R Machado v H Zeballos, Favorite: ,Horacio Zeballos, 3506037   size:5.19,Price: ,1.7,Rui Machado, 2969565   size:6.6,Price: ,2.18,okok
