1.119047979, Sport: ,Basketball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Czech Republic (W) v Belarus (W), Favorite: ,Belarus (W), 6427238   size:5.0,Price: ,1.03,okokokokokok
1.119008778, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Northamptonshire v Worcestershire, Favorite: ,Northamptonshire, 475559   size:5.76,Price: ,1.85,Worcestershire, 31372   size:5.43,Price: ,2.08,xxxxxx
1.119076363, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Ebden v Kravchuk, Favorite: ,Matthew Ebden, 4423910   size:8.85,Price: ,1.63,Konstantin Kravchuk, 5011822   size:14.32,Price: ,2.58,xxxxxx
1.119061902, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Wetzlar v Frisch Auf Goppingen, Favorite: ,Wetzlar, 2507302   size:4.5,Price: ,1.97,Frisch auf Goppingen, 536476   size:5.76,Price: ,2.46,Draw, 330157   size:38.82,Price: ,8.2,okokokokokok
1.118839164, Sport: ,Basketball, Time: ,Sat Jun 06 01:00:00 CEST 2015, Time: ,Sat Jun 06 01:00:00 CEST 2015, Event: ,Washington @ Connecticut, Favorite: ,Washington, 13105   size:2.55,Price: ,1.4,Connecticut, 332194   size:5.36,Price: ,3.15,okokokokokok
1.119083998, Sport: ,Snooker, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Carter v K Wilson, Favorite: ,Allister Carter, 2293310   size:5.76,Price: ,1.39,Kyren Wilson, 5119461   size:2.58,Price: ,3.1,okokokokok
1.119008774, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Glamorgan v Middlesex, Favorite: ,Middlesex, 31378   size:4.74,Price: ,1.87,Glamorgan, 169   size:5.0,Price: ,2.02,x
1.118839169, Sport: ,Basketball, Time: ,Sat Jun 06 01:30:00 CEST 2015, Time: ,Sat Jun 06 01:30:00 CEST 2015, Event: ,Atlanta @ New York, Favorite: ,Atlanta, 13114   size:5.28,Price: ,1.38,New York, 13106   size:2.55,Price: ,3.2,xxxxxx
1.119076439, Sport: ,Snooker, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,Brecel v Joyce, Favorite: ,Luca Brecel, 5073722   size:381.9,Price: ,1.57,Mark Joyce, 2278868   size:27.44,Price: ,2.48,xxxxxx
1.119046533, Sport: ,Basketball, Time: ,Fri Jun 05 21:30:00 CEST 2015, Time: ,Fri Jun 05 21:30:00 CEST 2015, Event: ,Barcelona v Unicaja, Favorite: ,Barcelona, 266269   size:3.58,Price: ,1.21,Unicaja, 272998   size:74.44,Price: ,4.7,okokokokokok
