1.122488093, Sport: ,Darts, Time: ,Thu Jan 07 21:30:00 CET 2016, Time: ,Thu Jan 07 21:30:00 CET 2016, Event: ,Deta Hedman v Lorraine Winstanley, Favorite: ,Deta Hedman, 4430722   size:2.55,Price: ,1.29,Lorraine Winstanley, 9122213   size:2.35,Price: ,2.76,ok
1.122415573, Sport: ,Ice Hockey, Time: ,Thu Jan 07 12:00:00 CET 2016, Time: ,Thu Jan 07 12:00:00 CET 2016, Event: ,Avangard v Avtomobilist, Favorite: ,Avangard, 2558172   size:113.41,Price: ,1.72,Avtomobilist, 4138395   size:96.09,Price: ,4.3,Tie, 60104   size:60.99,Price: ,4.6,ok
1.122489987, Sport: ,Soccer, Time: ,Thu Jan 07 17:00:00 CET 2016, Time: ,Thu Jan 07 17:00:00 CET 2016, Event: ,Gauicurus U20 v Sao Raimundo RR U20, Favorite: ,Gauicurus U20, 10694817   size:27.81,Price: ,1.02,Sao Raimundo RR U20, 10681164   size:4.63,Price: ,1.12,The Draw, 58805   size:5.0,Price: ,2.9,x
1.122473576, Sport: ,Volleyball, Time: ,Thu Jan 07 09:00:00 CET 2016, Time: ,Thu Jan 07 09:00:00 CET 2016, Event: ,GS Caltex Kixx v Hyundai Hillstate, Favorite: ,GS Caltex Kixx, 10391693   size:2.7,Price: ,1.03,Hyundai Hillstate, 10391682   size:300.0,Price: ,1.08,x
1.122473252, Sport: ,Basketball, Time: ,Thu Jan 07 20:30:00 CET 2016, Time: ,Thu Jan 07 20:30:00 CET 2016, Event: ,DIKE Napoli (W) v Spartak MR (W), Favorite: ,DIKE Napoli (W), 10466214   size:3.27,Price: ,1.03,Spartak MR (W), 8978715   size:3.27,Price: ,1.03,x
1.122482754, Sport: ,Tennis, Time: ,Thu Jan 07 08:38:00 CET 2016, Time: ,Thu Jan 07 08:38:00 CET 2016, Event: ,A Radwanska v Q Wang, Favorite: ,Agnieszka Radwanska, 2263577   size:6681.32,Price: ,1.03,Qiang Wang, 6145777   size:54.06,Price: ,3.0,ok
1.122459833, Sport: ,Basketball, Time: ,Thu Jan 07 12:00:00 CET 2016, Time: ,Thu Jan 07 12:00:00 CET 2016, Event: ,Rain or Shine v San Miguel Beermen, Favorite: ,San Miguel Beermen, 3803247   size:5.0,Price: ,1.74,Rain Or Shine, 3880438   size:7.2,Price: ,2.22,x
1.122480573, Sport: ,Soccer, Time: ,Thu Jan 07 22:00:00 CET 2016, Time: ,Thu Jan 07 22:00:00 CET 2016, Event: ,Uniao Mogi U20 v Flamengo U20, Favorite: ,Flamengo U20, 6006854   size:2.61,Price: ,1.09,Uniao Mogi U20, 10681267   size:2.65,Price: ,34.0,The Draw, 58805   size:10.82,Price: ,9.6,ok
1.122479389, Sport: ,Soccer, Time: ,Thu Jan 07 17:00:00 CET 2016, Time: ,Thu Jan 07 17:00:00 CET 2016, Event: ,Desportiva Alianca U20 v Sabia FC Caxias U20, Favorite: ,Sabia FC Caxias U20, 10681063   size:189.66,Price: ,1.65,Desportiva Alianca U20, 10681013   size:2.62,Price: ,4.8,The Draw, 58805   size:5.41,Price: ,4.2,ok
1.122480499, Sport: ,Soccer, Time: ,Thu Jan 07 15:30:00 CET 2016, Time: ,Thu Jan 07 15:30:00 CET 2016, Event: ,Twente v Genk, Favorite: ,Twente, 48446   size:6.15,Price: ,2.28,Genk, 14072   size:3.68,Price: ,2.52,The Draw, 58805   size:2.55,Price: ,3.5,ok
1.122473559, Sport: ,Volleyball, Time: ,Thu Jan 07 11:00:00 CET 2016, Time: ,Thu Jan 07 11:00:00 CET 2016, Event: ,Seoul Woori Card Hansae v Suwon Kepco, Favorite: ,Suwon Kepco, 10389011   size:7.42,Price: ,1.33,Seoul Woori Card Hansae, 10391680   size:13.74,Price: ,3.35,x
1.122480425, Sport: ,Soccer, Time: ,Fri Jan 08 00:00:00 CET 2016, Time: ,Fri Jan 08 00:00:00 CET 2016, Event: ,SJ dos Campos U20 v Palmeiras U20, Favorite: ,Palmeiras U20, 5181619   size:3.29,Price: ,1.53,SJ dos Campos U20, 9505821   size:2.5,Price: ,6.8,The Draw, 58805   size:2.88,Price: ,4.0,ok
1.122480203, Sport: ,Soccer, Time: ,Thu Jan 07 19:00:00 CET 2016, Time: ,Thu Jan 07 19:00:00 CET 2016, Event: ,Sao Bernardo FC U20 v Goias EC U20, Favorite: ,Sao Bernardo FC U20, 7279636   size:3.15,Price: ,2.06,Goias EC U20, 5185908   size:2.55,Price: ,3.6,The Draw, 58805   size:2.94,Price: ,3.4,ok
1.122481849, Sport: ,Snooker, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Mark Selby v Mark Williams, Favorite: ,Mark Selby, 2280127   size:2.55,Price: ,1.7,Mark Williams, 2278795   size:2.55,Price: ,2.24,ok
