1.119250074, Sport: ,Soccer, Time: ,Sat Jul 04 21:30:00 CEST 2015, Time: ,Sat Jul 04 21:30:00 CEST 2015, Event: ,Bragantino SP v Santa Cruz PE, Favorite: ,Bragantino SP, 4701919   size:185.75,Price: ,2.42,Santa Cruz PE, 6132724   size:4.67,Price: ,3.3,The Draw, 58805   size:116.87,Price: ,3.45,x
1.119252498, Sport: ,Soccer, Time: ,Sat Jul 04 23:00:00 CEST 2015, Time: ,Sat Jul 04 23:00:00 CEST 2015, Event: ,Carolina Railhawks v Minnesota Utd, Favorite: ,Carolina Railhawks, 3155351   size:4.45,Price: ,2.4,Minnesota Utd, 7533070   size:4.79,Price: ,2.92,The Draw, 58805   size:7.09,Price: ,3.45,ok
1.119329046, Sport: ,Soccer, Time: ,Sat Jul 04 22:00:00 CEST 2015, Time: ,Sat Jul 04 22:00:00 CEST 2015, Event: ,Chile v Argentina, Favorite: ,Argentina, 55212   size:8626.76,Price: ,2.32,Chile, 15300   size:856.93,Price: ,3.45,The Draw, 58805   size:17031.78,Price: ,3.5,x
1.119269290, Sport: ,Soccer, Time: ,Sun Jul 05 03:00:00 CEST 2015, Time: ,Sun Jul 05 03:00:00 CEST 2015, Event: ,Colorado v Vancouver Whitecaps, Favorite: ,Colorado, 171911   size:2.0,Price: ,2.46,Vancouver Whitecaps, 5383053   size:152.25,Price: ,3.2,The Draw, 58805   size:8.4,Price: ,3.4,ok
1.119269613, Sport: ,Soccer, Time: ,Sun Jul 05 04:00:00 CEST 2015, Time: ,Sun Jul 05 04:00:00 CEST 2015, Event: ,Real Salt Lake v Orlando City, Favorite: ,Real Salt Lake, 1101610   size:20.55,Price: ,2.54,Orlando City, 5640226   size:16.43,Price: ,3.1,The Draw, 58805   size:6.42,Price: ,3.45,x
1.119249241, Sport: ,Baseball, Time: ,Sun Jul 05 01:15:00 CEST 2015, Time: ,Sun Jul 05 01:15:00 CEST 2015, Event: ,MIN @ KC, Favorite: ,kansas city (J Blanton), 9657055   size:540.19,Price: ,1.58,Minnesota (M Pelfrey), 7177264   size:92.37,Price: ,2.6,x
1.119380937, Sport: ,Soccer, Time: ,Sun Jul 05 08:00:00 CEST 2015, Time: ,Sun Jul 05 08:00:00 CEST 2015, Event: ,Kagoshima United FC v Yokogawa Musashino, Favorite: ,Yokogawa Musashino, 4233874   size:138.7,Price: ,1.06,The Draw, 58805   size:10.04,Price: ,3.0,x
1.119323664, Sport: ,Soccer, Time: ,Sun Jul 05 00:45:00 CEST 2015, Time: ,Sun Jul 05 00:45:00 CEST 2015, Event: ,Sport Loreto v Uni Cesar Vallejo, Favorite: ,Uni Cesar Vallejo, 4897906   size:5.02,Price: ,2.64,Sport Loreto, 9216261   size:53.14,Price: ,2.88,The Draw, 58805   size:2.56,Price: ,3.35,x
1.119260311, Sport: ,Volleyball, Time: ,Sat Jul 04 20:10:00 CEST 2015, Time: ,Sat Jul 04 20:10:00 CEST 2015, Event: ,Belgium v Netherlands, Favorite: ,Belgium, 1216423   size:5.42,Price: ,1.42,Netherlands, 678723   size:3.95,Price: ,2.92,x
1.119260312, Sport: ,Volleyball, Time: ,Sat Jul 04 20:25:00 CEST 2015, Time: ,Sat Jul 04 20:25:00 CEST 2015, Event: ,Poland v USA, Favorite: ,Poland, 678742   size:20.76,Price: ,1.58,USA, 1312962   size:368.71,Price: ,2.52,x
1.119323067, Sport: ,Soccer, Time: ,Sun Jul 05 01:45:00 CEST 2015, Time: ,Sun Jul 05 01:45:00 CEST 2015, Event: ,Guarani (Par) v Sportivo San Lorenzo, Favorite: ,Guarani (Par), 489163   size:182.96,Price: ,1.36,The Draw, 58805   size:15.12,Price: ,5.8,Sportivo San Lorenzo, 7598628   size:3.18,Price: ,9.8,x
1.119387698, Sport: ,Soccer, Time: ,Sun Jul 05 01:00:00 CEST 2015, Time: ,Sun Jul 05 01:00:00 CEST 2015, Event: ,Texas Titans (W) v Texas Spurs (W), Favorite: ,Texas Spurs (W), 9594936   size:17.92,Price: ,1.02,The Draw, 58805   size:57.92,Price: ,1.26,ok
1.119364570, Sport: ,Soccer, Time: ,Sat Jul 04 20:30:00 CEST 2015, Time: ,Sat Jul 04 20:30:00 CEST 2015, Event: ,Sint Truiden v Ujpest, Favorite: ,Sint Truiden, 189832   size:120.46,Price: ,2.54,Ujpest, 521199   size:37.95,Price: ,2.8,The Draw, 58805   size:7.28,Price: ,3.75,x
1.119249279, Sport: ,Baseball, Time: ,Sun Jul 05 01:15:00 CEST 2015, Time: ,Sun Jul 05 01:15:00 CEST 2015, Event: ,NYM @ LAD, Favorite: ,LA Dodgers (Z Greinke), 7179922   size:312.26,Price: ,1.57,NY Mets (M Harvey), 6551353   size:334.36,Price: ,2.64,ok
1.119381454, Sport: ,Soccer, Time: ,Sun Jul 05 01:00:00 CEST 2015, Time: ,Sun Jul 05 01:00:00 CEST 2015, Event: ,Fortaleza v America RN, Favorite: ,Fortaleza, 356590   size:2.0,Price: ,1.82,The Draw, 58805   size:14.1,Price: ,3.1,America RN, 4701920   size:8.35,Price: ,3.6,ok
