1.121439779, Sport: ,Tennis, Time: ,Sat Oct 24 09:00:00 CEST 2015, Time: ,Sat Oct 24 09:00:00 CEST 2015, Event: ,Menendez-Maceiras v Myneni, Favorite: ,Adrian Menendez-Maceira, 9128710   size:88.06,Price: ,1.8,Saketh Myneni, 7445661   size:41.23,Price: ,2.08
1.121428052, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,Cibalia U19 v HNK Rijeka U19, Favorite: ,Cibalia U19, 8321722   size:3.63,Price: ,1.07,HNK Rijeka U19, 7271146   size:3.63,Price: ,1.07,The Draw, 58805   size:4.17,Price: ,2.88
1.121428107, Sport: ,Soccer, Time: ,Sat Oct 24 10:00:00 CEST 2015, Time: ,Sat Oct 24 10:00:00 CEST 2015, Event: ,RNK Split U19 v NK Istra 1961 Pula U19, Favorite: ,RNK Split U19, 7639710   size:3.63,Price: ,1.07,NK Istra 1961 Pula U19, 8300180   size:3.63,Price: ,1.07,The Draw, 58805   size:4.17,Price: ,2.88
1.121268852, Sport: ,Soccer, Time: ,Fri Oct 23 19:15:00 CEST 2015, Time: ,Fri Oct 23 19:15:00 CEST 2015, Event: ,Club Santos Laguna U20 v CDSC Cruz Azul U20, Favorite: ,Club Santos Laguna U20, 6144871   size:98.0,Price: ,1.15,CDSC Cruz Azul U20, 6702694   size:18.15,Price: ,3.4,The Draw, 58805   size:18.15,Price: ,3.2
1.121369753, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:30:00 CEST 2015, Time: ,Fri Oct 23 19:30:00 CEST 2015, Event: ,Iserlohn v Augsburger, Favorite: ,Iserlohn, 265130   size:11.27,Price: ,1.01,Augsburg, 1031532   size:11.27,Price: ,1.01,Tie, 60104   size:11.27,Price: ,1.01
1.121385091, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,Fribourg Gotteron v ZSC Lions, Favorite: ,Fribourg Gotteron, 243252   size:27.58,Price: ,2.4,ZSC Lions, 243260   size:4.56,Price: ,2.54,Tie, 60104   size:18.19,Price: ,4.4
1.121385108, Sport: ,Ice Hockey, Time: ,Fri Oct 23 19:45:00 CEST 2015, Time: ,Fri Oct 23 19:45:00 CEST 2015, Event: ,Zug v Bern, Favorite: ,Zug, 257975   size:270.97,Price: ,2.08,Bern, 243256   size:153.07,Price: ,2.82,Tie, 60104   size:87.94,Price: ,4.4
1.121439465, Sport: ,Tennis, Time: ,Fri Oct 23 19:52:00 CEST 2015, Time: ,Fri Oct 23 19:52:00 CEST 2015, Event: ,Rosol v Monfils, Favorite: ,Gael Monfils, 2257300   size:2222.0,Price: ,1.41,Lukas Rosol, 2258415   size:118.8,Price: ,2.82
1.121426343, Sport: ,Tennis, Time: ,Fri Oct 23 20:02:00 CEST 2015, Time: ,Fri Oct 23 20:02:00 CEST 2015, Event: ,Fognini/Mirnyi v Murray/Peers, Favorite: ,Murray/Peers, 7191922   size:2.1,Price: ,1.37,Fognini/Mirnyi, 10435351   size:2.78,Price: ,2.88
1.121426434, Sport: ,Tennis, Time: ,Fri Oct 23 20:15:00 CEST 2015, Time: ,Fri Oct 23 20:15:00 CEST 2015, Event: ,Koolhof/Middelkoop v Sijsling/Siljestrom, Favorite: ,Koolhof/Middelkoop, 9146551   size:115.96,Price: ,1.6,Sijsling/Siljestrom, 8381104   size:46.47,Price: ,2.5
1.121342897, Sport: ,Soccer, Time: ,Fri Oct 23 20:45:00 CEST 2015, Time: ,Fri Oct 23 20:45:00 CEST 2015, Event: ,UCD v Finn Harps, Favorite: ,Finn Harps, 385761   size:39.28,Price: ,2.56,UCD, 184328   size:45.56,Price: ,3.1,The Draw, 58805   size:31.85,Price: ,3.3
1.121345695, Sport: ,Rugby Union, Time: ,Fri Oct 23 20:45:00 CEST 2015, Time: ,Fri Oct 23 20:45:00 CEST 2015, Event: ,Racing Metro 92 v Stade Francais, Favorite: ,Racing Metro 92, 3969078   size:2.69,Price: ,1.34,Stade Francais, 233949   size:2.68,Price: ,4.0,Draw, 246289   size:2.9,Price: ,24.0
1.121272613, Sport: ,Soccer, Time: ,Fri Oct 23 20:45:00 CEST 2015, Time: ,Fri Oct 23 20:45:00 CEST 2015, Event: ,Northwich v Chorley, Favorite: ,Chorley, 4231709   size:15.6,Price: ,2.14,Northwich, 18557   size:2.77,Price: ,3.1,The Draw, 58805   size:2.0,Price: ,4.0
1.121257175, Sport: ,Soccer, Time: ,Fri Oct 23 20:45:00 CEST 2015, Time: ,Fri Oct 23 20:45:00 CEST 2015, Event: ,Limerick v Shamrock Rovers, Favorite: ,Shamrock Rovers, 184325   size:6.96,Price: ,2.36,Limerick, 385757   size:11.14,Price: ,3.3,The Draw, 58805   size:95.34,Price: ,3.6
1.121439652, Sport: ,Tennis, Time: ,Fri Oct 23 20:45:00 CEST 2015, Time: ,Fri Oct 23 20:45:00 CEST 2015, Event: ,Duran/Gonzalez v Molteni/Trungelliti, Favorite: ,Duran/Gonzalez, 8015602   size:2.59,Price: ,1.38,Molteni/Trungelliti, 9456604   size:2.55,Price: ,3.1
1.121342828, Sport: ,Soccer, Time: ,Fri Oct 23 21:00:00 CEST 2015, Time: ,Fri Oct 23 21:00:00 CEST 2015, Event: ,France (W) v Netherlands (W), Favorite: ,France (W), 541830   size:2.55,Price: ,1.36,Netherlands (W), 2032095   size:2.53,Price: ,8.8,The Draw, 58805   size:2.58,Price: ,5.0
1.121467743, Sport: ,Rugby League, Time: ,Fri Oct 23 21:00:00 CEST 2015, Time: ,Fri Oct 23 21:00:00 CEST 2015, Event: ,Leeds Rinos v New Zealand, Favorite: ,New Zealand, 10532   size:18.15,Price: ,1.03,Leeds Rinos, 10455536   size:4.53,Price: ,2.0,Draw, 11126   size:4.53,Price: ,3.0
1.121439463, Sport: ,Tennis, Time: ,Fri Oct 23 21:30:00 CEST 2015, Time: ,Fri Oct 23 21:30:00 CEST 2015, Event: ,P Goncalves v Kovalets, Favorite: ,Paula Cristina Goncalves, 7083750   size:2.55,Price: ,1.57,Sofiya Kovalets, 8535293   size:20.96,Price: ,2.62
1.121396106, Sport: ,Tennis, Time: ,Fri Oct 23 22:00:00 CEST 2015, Time: ,Fri Oct 23 22:00:00 CEST 2015, Event: ,Berlocq v Podlipnik-Castillo, Favorite: ,Carlos Berlocq, 2283676   size:226.87,Price: ,1.18,Hans Podlipnik-Castillo, 8461633   size:2.55,Price: ,5.2
1.121439594, Sport: ,Tennis, Time: ,Fri Oct 23 22:00:00 CEST 2015, Time: ,Fri Oct 23 22:00:00 CEST 2015, Event: ,Zemlja v Rola, Favorite: ,Blaz Rola, 8174357   size:4.75,Price: ,1.82,Grega Zemlja, 3509269   size:76.67,Price: ,2.14
1.121439462, Sport: ,Tennis, Time: ,Sat Oct 24 00:30:00 CEST 2015, Time: ,Sat Oct 24 00:30:00 CEST 2015, Event: ,A Sadikovic v C Zhao, Favorite: ,Amra Sadikovic, 4183959   size:9.78,Price: ,1.43,Carol Zhao, 7550871   size:4.78,Price: ,2.84
1.121436394, Sport: ,Soccer, Time: ,Sat Oct 24 01:00:00 CEST 2015, Time: ,Sat Oct 24 01:00:00 CEST 2015, Event: ,Ucv FC v Diamantes de Guayana, Favorite: ,UCV FC, 10058063   size:3.63,Price: ,1.07,Diamantes de Guayana, 9989677   size:3.63,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.94
1.121322507, Sport: ,Soccer, Time: ,Sat Oct 24 02:30:00 CEST 2015, Time: ,Sat Oct 24 02:30:00 CEST 2015, Event: ,Rosario Central v Racing Club, Favorite: ,Rosario Central, 220949   size:5.0,Price: ,2.6,Racing Club, 198558   size:5.0,Price: ,3.4,The Draw, 58805   size:15.32,Price: ,3.05
