1.121549643, Sport: ,Soccer, Time: ,Sat Nov 07 16:15:00 CET 2015, Time: ,Sat Nov 07 16:15:00 CET 2015, Event: ,AEL Kalloni v Xanthi, Favorite: ,Xanthi, 728086   size:141.77,Price: ,2.64,AEL Kalloni, 7449102   size:19.69,Price: ,3.15,The Draw, 58805   size:19.54,Price: ,3.1,x
1.121539538, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,AFC Wimbledon v Forest Green, Favorite: ,AFC Wimbledon, 2662218   size:4.23,Price: ,1.88,Forest Green, 36033   size:2.0,Price: ,4.6,The Draw, 58805   size:107.01,Price: ,3.8,x
1.121646359, Sport: ,Basketball, Time: ,Sat Nov 07 17:00:00 CET 2015, Time: ,Sat Nov 07 17:00:00 CET 2015, Event: ,Alaska Aces v Barangay Ginebra, Favorite: ,Alaska Aces, 3803222   size:9.93,Price: ,1.03,Barangay Ginebra, 7217820   size:9.93,Price: ,1.03,x
1.121543781, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Nagoya v Kofu, Favorite: ,Nagoya, 441084   size:7.4,Price: ,2.26,Kofu, 1405179   size:35.41,Price: ,3.6,The Draw, 58805   size:150.19,Price: ,3.35,ok
1.121544357, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Kashiwa v FC Tokyo, Favorite: ,FC Tokyo, 350849   size:39.36,Price: ,2.34,Kashiwa, 441080   size:14.29,Price: ,3.1,The Draw, 58805   size:40.11,Price: ,3.7,ok
1.121542731, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Hearts v Hamilton, Favorite: ,Hearts, 47993   size:709.47,Price: ,2.0,Hamilton, 203716   size:18.59,Price: ,3.95,The Draw, 58805   size:324.05,Price: ,3.85,ok
1.121618466, Sport: ,Rugby League, Time: ,Sat Nov 07 15:00:00 CET 2015, Time: ,Sat Nov 07 15:00:00 CET 2015, Event: ,France v Scotland, Favorite: ,France, 11125   size:46.23,Price: ,1.03,Scotland, 10539   size:46.23,Price: ,1.03,Draw, 11126   size:8.4,Price: ,18.0,ok
1.121555083, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Ballymena v Glentoran, Favorite: ,Glentoran, 46944   size:116.36,Price: ,2.24,Ballymena, 539985   size:12.65,Price: ,3.1,The Draw, 58805   size:2.55,Price: ,3.75,ok
1.121555089, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Linfield v Crusaders, Favorite: ,Linfield, 44330   size:17.38,Price: ,2.6,Crusaders, 539982   size:12.55,Price: ,2.72,The Draw, 58805   size:2.55,Price: ,3.6,x
1.121555087, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Coleraine v Portadown, Favorite: ,Coleraine, 166863   size:6.33,Price: ,1.95,Portadown, 180586   size:5.33,Price: ,4.1,The Draw, 58805   size:2.55,Price: ,3.65,ok
