1.122731513, Sport: ,Basketball, Time: ,Tue Jan 26 20:00:00 CET 2016, Time: ,Tue Jan 26 20:00:00 CET 2016, Event: ,EWE Baskets Oldenburg v PAOK Thessaloniki BC, Favorite: ,EWE Baskets Oldenburg, 689520   size:336.61,Price: ,1.39,PAOK Thessaloniki BC, 9003694   size:2.54,Price: ,3.05,ok
1.122730546, Sport: ,Ice Hockey, Time: ,Tue Jan 26 19:00:00 CET 2016, Time: ,Tue Jan 26 19:00:00 CET 2016, Event: ,Farjestads BK v Vaxjo Lakers, Favorite: ,Farjestads BK, 61442   size:94.0,Price: ,2.06,Vaxjo Lakers, 539706   size:103.0,Price: ,2.92,Tie, 60104   size:94.0,Price: ,4.3,ok
1.122731517, Sport: ,Basketball, Time: ,Tue Jan 26 20:40:00 CET 2016, Time: ,Tue Jan 26 20:40:00 CET 2016, Event: ,Limoges CSP v Valencia Basket, Favorite: ,Valencia Basket, 4276693   size:2.54,Price: ,1.4,Limoges CSP, 3817201   size:2.54,Price: ,3.0,x
1.122736092, Sport: ,Ice Hockey, Time: ,Tue Jan 26 19:15:00 CET 2016, Time: ,Tue Jan 26 19:15:00 CET 2016, Event: ,EC VSV v SAPA Fehervar, Favorite: ,EC VSV, 647299   size:6.31,Price: ,1.61,SAPA Fehervar, 5089597   size:41.02,Price: ,4.2,Tie, 60104   size:33.66,Price: ,4.9,ok
1.122742817, Sport: ,Basketball, Time: ,Tue Jan 26 17:30:00 CET 2016, Time: ,Tue Jan 26 17:30:00 CET 2016, Event: ,AVIS Rapla v BK Valmiera, Favorite: ,AVIS Rapla, 10362143   size:2.62,Price: ,1.03,BK Valmiera, 7783755   size:2.62,Price: ,1.03,x
1.122730551, Sport: ,Ice Hockey, Time: ,Tue Jan 26 19:00:00 CET 2016, Time: ,Tue Jan 26 19:00:00 CET 2016, Event: ,Frolunda HC v HV 71, Favorite: ,Frolunda HC, 927578   size:96.0,Price: ,1.67,HV 71, 61,x
1.122729730, Sport: ,Soccer, Time: ,Tue Jan 26 19:30:00 CET 2016, Time: ,Tue Jan 26 19:30:00 CET 2016, Event: ,Arouca v Sporting Lisbon, Favorite: ,Sporting Lisbon, 2506293   size:78.23,Price: ,1.49,Arouca, 3413603   size:2.38,Price: ,8.4,The Draw, 58805   size:39.83,Price: ,4.4,ok
1.122731521, Sport: ,Basketball, Time: ,Tue Jan 26 18:45:00 CET 2016, Time: ,Tue Jan 26 18:45:00 CET 2016, Event: ,Neptunas Klaipeda v EA7-Emporio Armani Mila, Favorite: ,EA7-Emporio Armani Mila, 10324684   size:112.45,Price: ,1.44,Neptunas Klaipeda, 645099   size:2.54,Price: ,3.05,ok
1.122739055, Sport: ,Volleyball, Time: ,Tue Jan 26 15:00:00 CET 2016, Time: ,Tue Jan 26 15:00:00 CET 2016, Event: ,Uralochka Ntmk Ekaterin v Volero Zurich, Favorite: ,Uralochka Ntmk Ekaterin, 10391878   size:2.62,Price: ,1.03,Volero Zurich, 2204305   size:139.85,Price: ,1.12,x
1.122661811, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,Morecambe v Mansfield, Favorite: ,Mansfield, 69716   size:53.86,Price: ,2.48,Morecambe, 51311   size:105.54,Price: ,3.1,The Draw, 58805   size:28.46,Price: ,3.55,ok
1.122737039, Sport: ,Soccer, Time: ,Tue Jan 26 12:15:00 CET 2016, Time: ,Tue Jan 26 12:15:00 CET 2016, Event: ,FK Jelgava v Spartaks Jurmala, Favorite: ,FK Jelgava, 4837310   size:2.54,Price: ,1.24,Spartaks Jurmala, 9306442   size:11.05,Price: ,1.75,The Draw, 58805   size:11.05,Price: ,3.0,x
1.122733351, Sport: ,Tennis, Time: ,Mon Jan 25 22:45:00 CET 2016, Time: ,Mon Jan 25 22:45:00 CET 2016, Event: ,Berland v N Rubin, Favorite: ,Noah Rubin, 7593248   size:332.13,Price: ,1.04,Thibaud Berland, 8224984   size:2.62,Price: ,11.5,ok
