1.119837732, Sport: ,Tennis, Time: ,Wed Aug 05 13:30:00 CEST 2015, Time: ,Wed Aug 05 13:30:00 CEST 2015, Event: ,Alexandrova v Kolarova, Favorite: ,Ekaterina Alexandrova, 8681458   size:5.98,Price: ,1.17,Veronika Kolarova, 9627202   size:41.1,Price: ,4.6,x
1.119815602, Sport: ,Tennis, Time: ,Wed Aug 05 12:00:00 CEST 2015, Time: ,Wed Aug 05 12:00:00 CEST 2015, Event: ,Hernando Ruano v Donskoy, Favorite: ,Evgeny Donskoy, 3391304   size:42.74,Price: ,1.07,Jorge Hernando Ruano, 8735137   size:2.0,Price: ,9.0,ok
1.119837733, Sport: ,Tennis, Time: ,Wed Aug 05 12:00:00 CEST 2015, Time: ,Wed Aug 05 12:00:00 CEST 2015, Event: ,Rutarova v Borecka, Favorite: ,Martina Borecka, 9148887   size:48.48,Price: ,1.18,Eva Rutarova, 9631224   size:44.79,Price: ,4.3,
1.119837731, Sport: ,Tennis, Time: ,Wed Aug 05 12:00:00 CEST 2015, Time: ,Wed Aug 05 12:00:00 CEST 2015, Event: ,R Peterson v Maleckova, Favorite: ,Rebecca Peterson, 7430598   size:4.1,Price: ,1.57,Jesika Maleckova, 9150595   size:2.73,Price: ,2.36,ok
1.119852031, Sport: ,Tennis, Time: ,Wed Aug 05 11:00:00 CEST 2015, Time: ,Wed Aug 05 11:00:00 CEST 2015, Event: ,Cervantes v Bourgue, Favorite: ,Inigo Cervantes, 6297238   size:304.3,Price: ,1.47,Mathias Bourgue, 7066925   size:2.33,Price: ,2.76,ok
1.119834903, Sport: ,Tennis, Time: ,Wed Aug 05 11:30:00 CEST 2015, Time: ,Wed Aug 05 11:30:00 CEST 2015, Event: ,P Mathieu v Klizan, Favorite: ,Martin Klizan, 2496035   size:1685.29,Price: ,1.95,Paul-Henri Mathieu, 8259186   size:92.0,Price: ,1.97,x
1.119835914, Sport: ,Tennis, Time: ,Wed Aug 05 14:45:00 CEST 2015, Time: ,Wed Aug 05 14:45:00 CEST 2015, Event: ,Fognini v De Novak, Favorite: ,Fabio Fognini, 2319544   size:2.86,Price: ,1.1,Dennis Novak, 7335936   size:35.51,Price: ,10.5,ok
1.119852159, Sport: ,Tennis, Time: ,Wed Aug 05 12:30:00 CEST 2015, Time: ,Wed Aug 05 12:30:00 CEST 2015, Event: ,Cipolla v Kamke, Favorite: ,Tobias Kamke, 2581407   size:4.15,Price: ,1.55,Flavio Cipolla, 2424788   size:2.65,Price: ,2.42,ok
1.119795076, Sport: ,Soccer, Time: ,Wed Aug 05 14:45:00 CEST 2015, Time: ,Wed Aug 05 14:45:00 CEST 2015, Event: ,Sarawak v Selangor, Favorite: ,Selangor, 5391095   size:2.17,Price: ,2.3,Sarawak, 5330753   size:4.34,Price: ,2.78,The Draw, 58805   size:38.96,Price: ,3.25,x
1.119739187, Sport: ,Soccer, Time: ,Wed Aug 05 15:00:00 CEST 2015, Time: ,Wed Aug 05 15:00:00 CEST 2015, Event: ,China v North Korea, Favorite: ,China, 51089   size:228.66,Price: ,1.99,The Draw, 58805   size:3.8,Price: ,3.4,North Korea, 548596   size:193.74,Price: ,4.5,ok
1.119795078, Sport: ,Soccer, Time: ,Wed Aug 05 14:45:00 CEST 2015, Time: ,Wed Aug 05 14:45:00 CEST 2015, Event: ,Johor Darul Takzim v Sime Darby, Favorite: ,Johor Darul Takzim, 6958480   size:20.0,Price: ,1.21,The Draw, 58805   size:29.95,Price: ,6.4,Sime Darby, 5814932   size:32.64,Price: ,17.5,ok
