1.122523527, Sport: ,Soccer, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,Chievo v Empoli, Favorite: ,Chievo, 44506   size:72.65,Price: ,2.56,Empoli, 60294   size:225.12,Price: ,3.25,The Draw, 58805   size:1707.39,Price: ,3.2,x
1.122625918, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Crevillente Deportivo v Villarreal CF III, Favorite: ,Villarreal CF III, 6884131   size:2.55,Price: ,2.36,Crevillente Deportivo, 5260593   size:39.9,Price: ,2.64,The Draw, 58805   size:33.07,Price: ,2.98,x
1.122624705, Sport: ,Soccer, Time: ,Sun Jan 17 16:30:00 CET 2016, Time: ,Sun Jan 17 16:30:00 CET 2016, Event: ,Castilleja CF v Atletico Sanluqueno CF, Favorite: ,Atletico Sanluqueno CF, 6399727   size:48.82,Price: ,2.34,Castilleja CF, 10185293   size:41.95,Price: ,2.56,The Draw, 58805   size:33.07,Price: ,2.98,x
1.122522793, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Mallorca v Valladolid, Favorite: ,Mallorca, 10542   size:4.38,Price: ,2.48,Valladolid, 13362   size:104.57,Price: ,3.3,The Draw, 58805   size:347.82,Price: ,3.2,x
1.122626690, Sport: ,Soccer, Time: ,Sun Jan 17 16:30:00 CET 2016, Time: ,Sun Jan 17 16:30:00 CET 2016, Event: ,UD Aretxabaleta v Deportivo Alaves II, Favorite: ,Deportivo Alaves II, 6929140   size:12.29,Price: ,2.2,UD Aretxabaleta, 10185268   size:35.58,Price: ,2.84,The Draw, 58805   size:33.07,Price: ,2.98,ok
1.122633305, Sport: ,Soccer, Time: ,Sun Jan 17 18:45:00 CET 2016, Time: ,Sun Jan 17 18:45:00 CET 2016, Event: ,Maccabi Kiryat Gat (W) v ASA Tel Aviv Uni (W), Favorite: ,Maccabi Kiryat Gat (W), 8089199   size:7.85,Price: ,1.07,ASA Tel Aviv Uni (W), 6934047   size:7.85,Price: ,1.07,The Draw, 58805   size:7.85,Price: ,1.07,x
1.122634757, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Sanvicenteno v Atl Club Pueblonuevo, Favorite: ,Sanvicenteno, 10621829   size:27.48,Price: ,1.02,Atl Club Pueblonuevo, 10621550   size:27.48,Price: ,1.02,The Draw, 58805   size:6.11,Price: ,1.09,x
1.122625366, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Cerdanyola del Valles v CF Gava, Favorite: ,CF Gava, 6581259   size:55.43,Price: ,2.18,Cerdanyola del Valles, 7770346   size:35.97,Price: ,2.82,The Draw, 58805   size:33.75,Price: ,2.94,x
1.122574766, Sport: ,Volleyball, Time: ,Sat Jan 16 19:30:00 CET 2016, Time: ,Sat Jan 16 19:30:00 CET 2016, Event: ,Coburg/Grub v Berlin RV, Favorite: ,Coburg/Grub, 10410539   size:2.61,Price: ,1.03,Berlin RV, 6047186   size:2.61,Price: ,1.03,x
1.122574767, Sport: ,Volleyball, Time: ,Sat Jan 16 19:30:00 CET 2016, Time: ,Sat Jan 16 19:30:00 CET 2016, Event: ,CV Mitteldeutschland v TSV Herrsching, Favorite: ,CV Mitteldeutschland, 7832176   size:1186.28,Price: ,1.09,TSV Herrsching, 8998664   size:65.1,Price: ,2.64,ok
1.122640077, Sport: ,Basketball, Time: ,Sun Jan 17 18:00:00 CET 2016, Time: ,Sun Jan 17 18:00:00 CET 2016, Event: ,Barcelona B v Huesca, Favorite: ,Barcelona B, 6719087   size:2.61,Price: ,1.03,Huesca, 5021019   size:2.61,Price: ,1.03,ok
1.122625808, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Club Siero v Mosconia, Favorite: ,Club Siero, 10298281   size:2.55,Price: ,1.82,Mosconia, 10525965   size:57.38,Price: ,3.65,The Draw, 58805   size:32.74,Price: ,3.05,x
