1.122831673, Sport: ,Handball, Time: ,Sun Jan 31 17:30:00 CET 2016, Time: ,Sun Jan 31 17:30:00 CET 2016, Event: ,Germany v Spain, Favorite: ,Spain, 620381   size:6.89,Price: ,1.45,Germany, 620386   size:22.35,Price: ,3.95,Draw, 330157   size:30.38,Price: ,9.2
1.122775520, Sport: ,Basketball, Time: ,Sun Jan 31 19:00:00 CET 2016, Time: ,Sun Jan 31 19:00:00 CET 2016, Event: ,Mega Vizura v Cedevita, Favorite: ,Cedevita, 4229279   size:2.55,Price: ,1.85,Mega Vizura, 7735104   size:88.14,Price: ,2.04
1.122718210, Sport: ,Soccer, Time: ,Sun Jan 31 22:30:00 CET 2016, Time: ,Sun Jan 31 22:30:00 CET 2016, Event: ,Volta Redonda v Fluminense, Favorite: ,Fluminense, 198133   size:490.09,Price: ,1.7,Volta Redonda, 1040271   size:59.99,Price: ,6.0,The Draw, 58805   size:18.93,Price: ,3.9
1.122719068, Sport: ,Soccer, Time: ,Sun Jan 31 13:30:00 CET 2016, Time: ,Sun Jan 31 13:30:00 CET 2016, Event: ,El Daklyeh v Aswan FC, Favorite: ,El Daklyeh, 5907009   size:31.56,Price: ,1.98,Aswan FC, 10438158   size:70.04,Price: ,4.9,The Draw, 58805   size:117.18,Price: ,3.3
1.122775565, Sport: ,Basketball, Time: ,Sun Jan 31 17:00:00 CET 2016, Time: ,Sun Jan 31 17:00:00 CET 2016, Event: ,BC Beroe v Academic Bulteks 99, Favorite: ,BC Beroe, 7875168   size:2.63,Price: ,1.03,Academic Bulteks 99, 10393950   size:46.96,Price: ,1.84
1.122719142, Sport: ,Soccer, Time: ,Sun Jan 31 16:00:00 CET 2016, Time: ,Sun Jan 31 16:00:00 CET 2016, Event: ,El Geish v Al Masry, Favorite: ,Al Masry, 5174044   size:13.85,Price: ,2.74,El Geish, 7024303   size:143.52,Price: ,3.05,The Draw, 58805   size:116.3,Price: ,3.05
1.122712875, Sport: ,Soccer, Time: ,Sun Jan 31 15:00:00 CET 2016, Time: ,Sun Jan 31 15:00:00 CET 2016, Event: ,Genoa v Fiorentina, Favorite: ,Fiorentina, 676467   size:1149.32,Price: ,2.4,Genoa, 60310   size:223.66,Price: ,3.35,The Draw, 58805   size:1305.27,Price: ,3.45
1.122812729, Sport: ,Soccer, Time: ,Sun Jan 31 13:00:00 CET 2016, Time: ,Sun Jan 31 13:00:00 CET 2016, Event: ,Internacional Limeira v Sao Jose EC SP, Favorite: ,Internacional Limeira, 7441271   size:6.31,Price: ,2.0,Sao Jose EC SP, 6987865   size:24.86,Price: ,3.55,The Draw, 58805   size:4.73,Price: ,2.9
1.122718207, Sport: ,Soccer, Time: ,Sun Jan 31 20:00:00 CET 2016, Time: ,Sun Jan 31 20:00:00 CET 2016, Event: ,Vasco da Gama v Madureira, Favorite: ,Vasco da Gama, 784535   size:29.69,Price: ,1.46,Madureira, 1040277   size:34.31,Price: ,8.6,The Draw, 58805   size:10.51,Price: ,4.8
1.122746975, Sport: ,Soccer, Time: ,Sun Jan 31 12:15:00 CET 2016, Time: ,Sun Jan 31 12:15:00 CET 2016, Event: ,Porto B v Leixoes, Favorite: ,Porto B, 6563315   size:687.82,Price: ,1.47,Leixoes, 146050   size:46.29,Price: ,7.8,The Draw, 58805   size:75.34,Price: ,4.8
1.122719216, Sport: ,Soccer, Time: ,Sun Jan 31 14:00:00 CET 2016, Time: ,Sun Jan 31 14:00:00 CET 2016, Event: ,Cottbus v Fortuna Koln, Favorite: ,Cottbus, 204683   size:49.33,Price: ,2.16,Fortuna Koln, 5790034   size:11.23,Price: ,3.65,The Draw, 58805   size:168.46,Price: ,3.5
1.122759433, Sport: ,Soccer, Time: ,Sun Jan 31 17:00:00 CET 2016, Time: ,Sun Jan 31 17:00:00 CET 2016, Event: ,UD Logrones v Racing Santander, Favorite: ,UD Logrones, 4136687   size:134.9,Price: ,2.42,Racing Santander, 24072   size:3.36,Price: ,3.4,The Draw, 58805   size:7.1,Price: ,3.1
1.122814747, Sport: ,Soccer, Time: ,Sun Jan 31 23:00:00 CET 2016, Time: ,Sun Jan 31 23:00:00 CET 2016, Event: ,Atletico Nacional (Pan) v Chorrillo, Favorite: ,Chorrillo, 6536554   size:2.1,Price: ,2.38,Atletico Nacional (Pan), 10718617   size:4.47,Price: ,2.5,The Draw, 58805   size:2.0,Price: ,3.3
1.122713150, Sport: ,Soccer, Time: ,Sun Jan 31 17:30:00 CET 2016, Time: ,Sun Jan 31 17:30:00 CET 2016, Event: ,Entella v Novara, Favorite: ,Novara, 522045   size:88.27,Price: ,2.9,Entella, 4893589   size:25.03,Price: ,2.98,The Draw, 58805   size:147.3,Price: ,3.05
1.122759431, Sport: ,Soccer, Time: ,Sun Jan 31 12:00:00 CET 2016, Time: ,Sun Jan 31 12:00:00 CET 2016, Event: ,Sporting Gijon B v Compostela, Favorite: ,Sporting Gijon B, 7602485   size:26.43,Price: ,2.66,Compostela, 309090   size:2.57,Price: ,3.05,The Draw, 58805   size:11.86,Price: ,3.2
1.122835148, Sport: ,Darts, Time: ,Sun Jan 31 15:45:00 CET 2016, Time: ,Sun Jan 31 15:45:00 CET 2016, Event: ,Phil Taylor v Peter Wright, Favorite: ,Phil Taylor, 2271001   size:226.46,Price: ,1.57,Peter Wright, 2821235   size:51.97,Price: ,2.6
1.122721572, Sport: ,Soccer, Time: ,Sun Jan 31 17:00:00 CET 2016, Time: ,Sun Jan 31 17:00:00 CET 2016, Event: ,MK Dons v Chelsea, Favorite: ,Chelsea, 55190   size:316.8,Price: ,1.35,MK Dons, 893582   size:223.73,Price: ,12.0,The Draw, 58805   size:1100.83,Price: ,5.5
1.122805079, Sport: ,Volleyball, Time: ,Sun Jan 31 13:00:00 CET 2016, Time: ,Sun Jan 31 13:00:00 CET 2016, Event: ,Yugra Samotlor v Belogorie Belgorod, Favorite: ,Belogorie Belgorod, 5895694   size:22.35,Price: ,1.12,Yugra Samotlor, 8899424   size:2.0,Price: ,7.4
1.122805113, Sport: ,Ice Hockey, Time: ,Sun Jan 31 15:00:00 CET 2016, Time: ,Sun Jan 31 15:00:00 CET 2016, Event: ,AK Bars Kazan v M. Magnitogorsk, Favorite: ,Ak Bars Kazan, 2362558   size:83.35,Price: ,2.34,M. Magnitogorsk, 10698151   size:60.0,Price: ,2.8,Tie, 60104   size:61.0,Price: ,3.95
1.122747345, Sport: ,Soccer, Time: ,Sun Jan 31 16:00:00 CET 2016, Time: ,Sun Jan 31 16:00:00 CET 2016, Event: ,Sporting Lisbon B v Covilha, Favorite: ,Sporting Lisbon B, 10071727   size:18.14,Price: ,2.64,Covilha, 336269   size:65.2,Price: ,2.98,The Draw, 58805   size:2.0,Price: ,3.3
1.122712669, Sport: ,Soccer, Time: ,Sun Jan 31 15:00:00 CET 2016, Time: ,Sun Jan 31 15:00:00 CET 2016, Event: ,Udinese v Lazio, Favorite: ,Lazio, 56966   size:167.91,Price: ,2.42,Udinese, 215821   size:518.33,Price: ,3.4,The Draw, 58805   size:3946.14,Price: ,3.3
1.122837240, Sport: ,Snooker, Time: ,Sun Jan 31 17:00:00 CET 2016, Time: ,Sun Jan 31 17:00:00 CET 2016, Event: ,Dominic Dale v Jimmy White, Favorite: ,Dominic Dale, 2278875   size:131.51,Price: ,1.52,Jimmy White, 2329403   size:131.51,Price: ,2.38,x
