1.121564108, Sport: ,Soccer, Time: ,Sat Oct 31 21:30:00 CET 2015, Time: ,Sat Oct 31 21:30:00 CET 2015, Event: ,Policia de Lara FC v Atletico Venezuela II, Favorite: ,The Draw, 58805   size:4.09,Price: ,1.09,Policia de Lara FC, 9989690   size:18.0,Price: ,1.1,Atletico Venezuela II, 10473763   size:13.0,Price: ,4.0,x
1.121610542, Sport: ,Tennis, Time: ,Sat Oct 31 21:06:00 CET 2015, Time: ,Sat Oct 31 21:06:00 CET 2015, Event: ,Michon v Sakamoto, Favorite: ,Axel Michon, 4994683   size:3.63,Price: ,1.04,Pedro Sakamoto, 8304915   size:9.08,Price: ,3.1,ok
1.121493562, Sport: ,American Football, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Vanderbilt @ Houston, Favorite: ,Houston, 87483   size:2385.97,Price: ,1.27,Vanderbilt, 2129030   size:4.12,Price: ,4.4,ok
1.121465372, Sport: ,Soccer, Time: ,Sat Oct 31 21:30:00 CET 2015, Time: ,Sat Oct 31 21:30:00 CET 2015, Event: ,Trujillanos v Llaneros, Favorite: ,Trujillanos, 1224046   size:138.8,Price: ,1.73,Llaneros, 7658017   size:42.4,Price: ,6.0,The Draw, 58805   size:32.0,Price: ,3.35,ok
1.121562624, Sport: ,Soccer, Time: ,Sat Oct 31 21:30:00 CET 2015, Time: ,Sat Oct 31 21:30:00 CET 2015, Event: ,CD Femarguin (W) v CD Villa Marinera (W), Favorite: ,CD Femarguin (W), 10293020   size:0.0,Price: ,0.0,CD Villa Marinera (W), 10473661   size:4.2,Price: ,21.0,The Draw, 58805   size:3.68,Price: ,10.5,ok
1.121506520, Sport: ,Soccer, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Racing Club (Uru) v Nacional (Uru), Favorite: ,Nacional (Uru), 504780   size:159.27,Price: ,1.66,Racing Club (Uru), 4465708   size:24.44,Price: ,5.3,The Draw, 58805   size:69.58,Price: ,4.3,x
1.121493601, Sport: ,American Football, Time: ,Sun Nov 01 01:00:00 CET 2015, Time: ,Sun Nov 01 01:00:00 CET 2015, Event: ,Notre Dame @ Temple, Favorite: ,Notre Dame, 484735   size:205.18,Price: ,1.24,Temple, 2118872   size:279.83,Price: ,4.3,ok
1.121563510, Sport: ,Soccer, Time: ,Sun Nov 01 00:30:00 CET 2015, Time: ,Sun Nov 01 00:30:00 CET 2015, Event: ,Deportivo Anzoategui v Tucanes de Amazonas, Favorite: ,Deportivo Anzoategui, 3636185   size:16.18,Price: ,1.53,Tucanes de Amazonas, 7866561   size:37.27,Price: ,7.0,The Draw, 58805   size:145.93,Price: ,4.0,ok
1.121566230, Sport: ,Soccer, Time: ,Sat Oct 31 23:05:00 CET 2015, Time: ,Sat Oct 31 23:05:00 CET 2015, Event: ,Defensores de Belgrano v UAI Urquiza, Favorite: ,Defensores de Belgrano, 5643646   size:6.49,Price: ,1.59,UAI Urquiza, 7128575   size:2.0,Price: ,9.0,The Draw, 58805   size:44.48,Price: ,3.5,ok
1.121395267, Sport: ,Ice Hockey, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Pittsburgh @ Toronto, Favorite: ,Pittsburgh, 2115995   size:617.57,Price: ,2.1,Toronto, 2108073   size:11.97,Price: ,3.3,Tie, 60104   size:360.96,Price: ,4.1,ok
