1.121999220, Sport: ,Soccer, Time: ,Wed Dec 02 20:00:00 CET 2015, Time: ,Wed Dec 02 20:00:00 CET 2015, Event: ,KV Mechelen v Waasland-Beveren, Favorite: ,KV Mechelen, 196024   size:5.0,Price: ,1.66,Waasland-Beveren, 4910879   size:30.17,Price: ,5.9,The Draw, 58805   size:129.26,Price: ,4.1,ok
1.121994322, Sport: ,Ice Hockey, Time: ,Wed Dec 02 19:00:00 CET 2015, Time: ,Wed Dec 02 19:00:00 CET 2015, Event: ,Oskarshamn v Sundsvall, Favorite: ,Oskarshamn, 247121   size:17.23,Price: ,1.62,Sundsvall, 247097   size:36.38,Price: ,4.9,Tie, 60104   size:99.89,Price: ,4.6,ok
1.122091178, Sport: ,Soccer, Time: ,Wed Dec 02 13:00:00 CET 2015, Time: ,Wed Dec 02 13:00:00 CET 2015, Event: ,Buriram Utd v Chainat Hornbill, Favorite: ,Buriram Utd, 7039295   size:14.51,Price: ,1.13,Chainat Hornbill, 9301068   size:4.83,Price: ,12.0,The Draw, 58805   size:2.0,Price: ,8.8,ok
1.122084504, Sport: ,Basketball, Time: ,Thu Dec 03 01:00:00 CET 2015, Time: ,Thu Dec 03 01:00:00 CET 2015, Event: ,Gecr Indalo v Ferro Carril Oeste, Favorite: ,Gecr Indalo, 6719074   size:2.83,Price: ,1.03,Ferro Carril Oeste, 10312212   size:2.83,Price: ,1.03,ok
1.122102913, Sport: ,Volleyball, Time: ,Wed Dec 02 20:30:00 CET 2015, Time: ,Wed Dec 02 20:30:00 CET 2015, Event: ,Jastrzebski Wegiel v Wkret-Met AZS Czestocho, Favorite: ,Jastrzebski Wegiel, 4263016   size:2.54,Price: ,1.13,Wkret-Met AZS Czestocho, 10410558   size:2.54,Price: ,1.47,ok
1.122102915, Sport: ,Volleyball, Time: ,Wed Dec 02 19:30:00 CET 2015, Time: ,Wed Dec 02 19:30:00 CET 2015, Event: ,Lausanne UC v Volei Zalau, Favorite: ,Volei Zalau, 10410545   size:2.96,Price: ,1.69,Lausanne UC, 5119194   size:5.7,Price: ,2.24,ok
1.122084401, Sport: ,Basketball, Time: ,Thu Dec 03 01:00:00 CET 2015, Time: ,Thu Dec 03 01:00:00 CET 2015, Event: ,Golden State @ Charlotte, Favorite: ,Golden State, 13126   size:200.0,Price: ,1.22,Charlotte, 13110   size:2.54,Price: ,3.8,ok
1.121996513, Sport: ,Soccer, Time: ,Wed Dec 02 18:30:00 CET 2015, Time: ,Wed Dec 02 18:30:00 CET 2015, Event: ,Panegialios v Olympiakos, Favorite: ,Olympiakos, 55243   size:2.54,Price: ,1.11,Panegialios, 9101532   size:38.26,Price: ,12.0,The Draw, 58805   size:3.55,Price: ,8.8,ok
1.121996756, Sport: ,Basketball, Time: ,Thu Dec 03 03:15:00 CET 2015, Time: ,Thu Dec 03 03:15:00 CET 2015, Event: ,Indiana @ Duke, Favorite: ,Indiana, 13116   size:3.0,Price: ,1.04,Duke, 29829   size:3.0,Price: ,1.04,x
1.121992398, Sport: ,Soccer, Time: ,Wed Dec 02 20:00:00 CET 2015, Time: ,Wed Dec 02 20:00:00 CET 2015, Event: ,Barcelona v Villanovense, Favorite: ,Barcelona, 55270   size:21641.24,Price: ,1.03,Villanovense, 2250365   size:2.83,Price: ,140.0,The Draw, 58805   size:3.64,Price: ,32.0,ok
