1.120861343, Sport: ,Soccer, Time: ,Fri Oct 02 18:00:00 CEST 2015, Time: ,Fri Oct 02 18:00:00 CEST 2015, Event: ,FC Nordsjaelland v OB, Favorite: ,FC Nordsjaelland, 466299   size:27.66,Price: ,2.08,OB, 113225   size:121.43,Price: ,3.95,The Draw, 58805   size:634.34,Price: ,3.5,x
1.121008233, Sport: ,Basketball, Time: ,Fri Oct 02 20:04:00 CEST 2015, Time: ,Fri Oct 02 20:04:00 CEST 2015, Event: ,Malbas v Jamtland, Favorite: ,Malbas, 10363137   size:2.55,Price: ,1.53,Jamtland, 7037208   size:2.55,Price: ,2.66,ok
1.120975679, Sport: ,Soccer, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,Rot-Weiss Essen v Viktoria Koln, Favorite: ,Viktoria Koln, 6542379   size:3.82,Price: ,2.6,Rot-Weiss Essen, 886332   size:13.41,Price: ,2.84,The Draw, 58805   size:41.57,Price: ,3.45,x
1.121008234, Sport: ,Basketball, Time: ,Fri Oct 02 20:04:00 CEST 2015, Time: ,Fri Oct 02 20:04:00 CEST 2015, Event: ,Sundsvall v Umea, Favorite: ,Sundsvall, 1309741   size:8.34,Price: ,1.03,Umea, 8781147   size:5.81,Price: ,1.23,ok
1.120867207, Sport: ,Soccer, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,Memmingen v Viktoria Aschaffenburg, Favorite: ,Memmingen, 5862311   size:8.36,Price: ,1.97,Viktoria Aschaffenburg, 6516916   size:12.1,Price: ,3.8,The Draw, 58805   size:44.36,Price: ,3.85,x
1.120869109, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Colmar v Belfort ASM, Favorite: ,Colmar, 1355043   size:14.22,Price: ,2.78,Belfort ASM, 6941420   size:8.8,Price: ,2.94,The Draw, 58805   size:3.26,Price: ,3.1,x
1.120997869, Sport: ,Soccer, Time: ,Fri Oct 02 14:00:00 CEST 2015, Time: ,Fri Oct 02 14:00:00 CEST 2015, Event: ,FC Zalau v Luceafarul Oradea, Favorite: ,FC Zalau, 7174815   size:2.78,Price: ,1.09,Luceafarul Oradea, 5806034   size:2.78,Price: ,1.09,The Draw, 58805   size:10.73,Price: ,1.29,x
1.120997980, Sport: ,Soccer, Time: ,Fri Oct 02 14:00:00 CEST 2015, Time: ,Fri Oct 02 14:00:00 CEST 2015, Event: ,Pandurii Targu Jiu II v AS Magura Cisnadie, Favorite: ,Pandurii Targu Jiu II, 7209956   size:2.78,Price: ,1.09,AS Magura Cisnadie, 10366643   size:2.78,Price: ,1.09,The Draw, 58805   size:10.73,Price: ,1.29,x
1.120996375, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Club Atletico Talleres v Club Lujan, Favorite: ,Club Atletico Talleres, 9619493   size:7.6,Price: ,1.92,Club Lujan, 9670720   size:7.26,Price: ,2.2,The Draw, 58805   size:3.06,Price: ,2.78,ok
1.121006851, Sport: ,Basketball, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,Leeds v Bristol, Favorite: ,Bristol, 8862088   size:5.0,Price: ,1.47,Leeds, 8862089   size:11.3,Price: ,2.74,x
1.120998310, Sport: ,Soccer, Time: ,Fri Oct 02 16:00:00 CEST 2015, Time: ,Fri Oct 02 16:00:00 CEST 2015, Event: ,Esperance Tunis v Hammam-Lif, Favorite: ,Esperance Tunis, 9329230   size:2.55,Price: ,1.44,Hammam-Lif, 8883557   size:5.0,Price: ,4.7,The Draw, 58805   size:3.81,Price: ,3.4,ok
1.120869182, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Epinal v Dunkerque, Favorite: ,Dunkerque, 2250259   size:10.37,Price: ,2.24,Epinal, 2740568   size:29.73,Price: ,4.0,The Draw, 58805   size:18.77,Price: ,3.0,x
1.120955182, Sport: ,Rugby League, Time: ,Fri Oct 02 21:00:00 CEST 2015, Time: ,Fri Oct 02 21:00:00 CEST 2015, Event: ,Leeds v St Helens, Favorite: ,Leeds Rhinos, 23392   size:423.73,Price: ,1.53,St Helens, 22831   size:16.31,Price: ,3.1,Draw, 11126   size:2.43,Price: ,24.0,ok
1.120869184, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Sedan v Beziers, Favorite: ,Sedan, 44792   size:5.0,Price: ,2.24,Beziers, 8076581   size:24.41,Price: ,3.9,The Draw, 58805   size:20.13,Price: ,3.05,ok
1.120964821, Sport: ,American Football, Time: ,Sat Oct 03 01:30:00 CEST 2015, Time: ,Sat Oct 03 01:30:00 CEST 2015, Event: ,Calgary @ Hamilton, Favorite: ,Calgary, 2026163   size:13.13,Price: ,1.01,Hamilton, 2014691   size:4.47,Price: ,1.2,ok
1.120862965, Sport: ,Soccer, Time: ,Fri Oct 02 16:00:00 CEST 2015, Time: ,Fri Oct 02 16:00:00 CEST 2015, Event: ,Ural v Kryliya Sovetov, Favorite: ,Ural, 2460920   size:322.33,Price: ,2.22,Kryliya Sovetov, 579339   size:83.76,Price: ,3.85,The Draw, 58805   size:158.88,Price: ,3.3,x
1.120861634, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Evian TG v Lens, Favorite: ,Evian TG, 4864973   size:5.87,Price: ,2.3,Lens, 44793   size:46.46,Price: ,4.0,The Draw, 58805   size:333.57,Price: ,3.1,ok
1.120967543, Sport: ,Soccer, Time: ,Sat Oct 03 00:00:00 CEST 2015, Time: ,Sat Oct 03 00:00:00 CEST 2015, Event: ,Lobos BUAP v Universidad Guadalajara, Favorite: ,Lobos BUAP, 6138085   size:4.16,Price: ,1.93,Universidad Guadalajara, 6533140   size:4.45,Price: ,3.5,The Draw, 58805   size:4.51,Price: ,3.4,ok
