1.121505036, Sport: ,Soccer, Time: ,Sun Nov 01 19:30:00 CET 2015, Time: ,Sun Nov 01 19:30:00 CET 2015, Event: ,Union Comercio v Uni San Martin, Favorite: ,Union Comercio, 5481419   size:28.06,Price: ,2.16,Uni San Martin, 2032055   size:47.37,Price: ,3.75,The Draw, 58805   size:11.42,Price: ,3.5,x
1.121511158, Sport: ,Ice Hockey, Time: ,Sun Nov 01 18:30:00 CET 2015, Time: ,Sun Nov 01 18:30:00 CET 2015, Event: ,ERC Ingolstadt v Kolner Haie, Favorite: ,ERC Ingolstadt, 233927   size:8.4,Price: ,1.01,Kolner Haie, 233911   size:8.4,Price: ,1.01,Tie, 60104   size:8.4,Price: ,1.01,ok
1.121601479, Sport: ,Soccer, Time: ,Sun Nov 01 20:30:00 CET 2015, Time: ,Sun Nov 01 20:30:00 CET 2015, Event: ,Portuguesa (Ven) v Deportivo Lara, Favorite: ,Portuguesa (Ven), 8780076   size:88.73,Price: ,2.46,Deportivo Lara, 4908157   size:3.64,Price: ,2.82,The Draw, 58805   size:4.71,Price: ,3.35,ok
1.121604279, Sport: ,Tennis, Time: ,Mon Nov 02 08:00:00 CET 2015, Time: ,Mon Nov 02 08:00:00 CET 2015, Event: ,Y Mertens v Lamasine, Favorite: ,Yannick Mertens, 4521608   size:6.3,Price: ,1.87,Tristan Lamasine, 8428332   size:2.55,Price: ,1.97,ok
1.121592444, Sport: ,Soccer, Time: ,Mon Nov 02 00:00:00 CET 2015, Time: ,Mon Nov 02 00:00:00 CET 2015, Event: ,Remo PA v Botafogo SP, Favorite: ,Remo PA, 7160965   size:2.84,Price: ,2.04,Botafogo SP, 4435648   size:2.62,Price: ,3.25,The Draw, 58805   size:3.04,Price: ,2.8,x
1.121354911, Sport: ,American Football, Time: ,Sun Nov 01 19:00:00 CET 2015, Time: ,Sun Nov 01 19:00:00 CET 2015, Event: ,NY Giants @ New Orleans, Favorite: ,New Orleans Saints, 50196   size:22.75,Price: ,1.64,New York Giants, 50185   size:51.87,Price: ,1.72,ok
1.121596800, Sport: ,Soccer, Time: ,Sun Nov 01 21:00:00 CET 2015, Time: ,Sun Nov 01 21:00:00 CET 2015, Event: ,Atletico Socopo v Academia Puerto Cabello, Favorite: ,Atletico Socopo, 10096564   size:77.2,Price: ,1.07,Academia Puerto Cabello, 10083750   size:80.0,Price: ,1.07,The Draw, 58805   size:30.77,Price: ,1.26,ok
1.121442616, Sport: ,Soccer, Time: ,Sun Nov 01 18:30:00 CET 2015, Time: ,Sun Nov 01 18:30:00 CET 2015, Event: ,Teplice v Slavia Prague, Favorite: ,Teplice, 174264   size:134.54,Price: ,2.46,Slavia Prague, 10777   size:51.51,Price: ,3.75,The Draw, 58805   size:392.58,Price: ,2.82,x
1.121442459, Sport: ,Soccer, Time: ,Sun Nov 01 19:15:00 CET 2015, Time: ,Sun Nov 01 19:15:00 CET 2015, Event: ,Almeria v Valladolid, Favorite: ,Almeria, 248020   size:17.37,Price: ,2.72,Valladolid, 13362   size:9.78,Price: ,2.98,The Draw, 58805   size:821.13,Price: ,3.3,x
1.121601590, Sport: ,Soccer, Time: ,Sun Nov 01 21:30:00 CET 2015, Time: ,Sun Nov 01 21:30:00 CET 2015, Event: ,Estudiantes de Caracas v Deportivo La Guaira, Favorite: ,Deportivo La Guaira, 7658015   size:5.0,Price: ,1.85,Estudiantes de Caracas, 10064371   size:5.0,Price: ,5.1,The Draw, 58805   size:15.2,Price: ,3.6,x
1.121444998, Sport: ,Soccer, Time: ,Sun Nov 01 18:30:00 CET 2015, Time: ,Sun Nov 01 18:30:00 CET 2015, Event: ,Bnei Yehuda v Hapoel Kfar Saba, Favorite: ,Bnei Yehuda, 1561969   size:14.5,Price: ,1.03,Hapoel Kfar Saba, 5239235   size:5.0,Price: ,1.03,The Draw, 58805   size:5.0,Price: ,1.03,ok
1.121448397, Sport: ,Soccer, Time: ,Sun Nov 01 22:30:00 CET 2015, Time: ,Sun Nov 01 22:30:00 CET 2015, Event: ,Goias v Internacional, Favorite: ,Goias, 198131   size:15.36,Price: ,2.46,Internacional, 198137   size:210.81,Price: ,3.35,The Draw, 58805   size:148.31,Price: ,3.3,ok
1.121614512, Sport: ,Tennis, Time: ,Sun Nov 01 18:06:00 CET 2015, Time: ,Sun Nov 01 18:06:00 CET 2015, Event: ,Smethurst v Jo Ho, Favorite: ,Daniel Smethurst, 7364223   size:108.75,Price: ,1.23,Jonathan Ho, 8780279   size:41.75,Price: ,3.35,ok
1.121591595, Sport: ,Soccer, Time: ,Sun Nov 01 19:30:00 CET 2015, Time: ,Sun Nov 01 19:30:00 CET 2015, Event: ,CA Fenix v CA Atlanta, Favorite: ,CA Fenix, 5389426   size:2.55,Price: ,2.78,CA Atlanta, 5860879   size:3.09,Price: ,2.78,The Draw, 58805   size:3.9,Price: ,2.94,x
1.121506654, Sport: ,Soccer, Time: ,Sun Nov 01 19:30:00 CET 2015, Time: ,Sun Nov 01 19:30:00 CET 2015, Event: ,Danubio v Liverpool (Uru), Favorite: ,Danubio, 504779   size:5.73,Price: ,2.16,Liverpool (Uru), 4108045   size:7.95,Price: ,3.6,The Draw, 58805   size:12.58,Price: ,3.4,ok
1.121448205, Sport: ,Soccer, Time: ,Sun Nov 01 20:00:00 CET 2015, Time: ,Sun Nov 01 20:00:00 CET 2015, Event: ,Atletico MG v Corinthians, Favorite: ,Atletico MG, 361329   size:90.99,Price: ,1.92,Corinthians, 198136   size:259.44,Price: ,4.4,The Draw, 58805   size:168.75,Price: ,3.85,x
1.121479209, Sport: ,Soccer, Time: ,Sun Nov 01 22:00:00 CET 2015, Time: ,Sun Nov 01 22:00:00 CET 2015, Event: ,Uniautonoma v Atletico Huila, Favorite: ,Atletico Huila, 4880434   size:5.0,Price: ,2.82,Uniautonoma, 8220175   size:5.0,Price: ,2.84,The Draw, 58805   size:24.14,Price: ,3.3,x
1.121604287, Sport: ,Tennis, Time: ,Mon Nov 02 08:00:00 CET 2015, Time: ,Mon Nov 02 08:00:00 CET 2015, Event: ,Gigounon v Chatpatcharoen, Favorite: ,Germain Gigounon, 8174343   size:5.45,Price: ,1.1,Puriwat Chatpatcharoen, 9627662   size:9.99,Price: ,7.8,x
1.121529195, Sport: ,Basketball, Time: ,Mon Nov 02 00:00:00 CET 2015, Time: ,Mon Nov 02 00:00:00 CET 2015, Event: ,Milwaukee @ Toronto, Favorite: ,Toronto, 13113   size:507.6,Price: ,1.37,Milwaukee, 13115   size:36.42,Price: ,3.6,ok
1.121583870, Sport: ,Soccer, Time: ,Sun Nov 01 23:00:00 CET 2015, Time: ,Sun Nov 01 23:00:00 CET 2015, Event: ,Portland Timbers v Vancouver Whitecaps, Favorite: ,Portland Timbers, 4004854   size:88.23,Price: ,2.2,Vancouver Whitecaps, 5383053   size:100.75,Price: ,3.85,The Draw, 58805   size:813.14,Price: ,3.35,x
1.121504071, Sport: ,Soccer, Time: ,Sun Nov 01 22:30:00 CET 2015, Time: ,Sun Nov 01 22:30:00 CET 2015, Event: ,Audax Italiano v Santiago Wanderers, Favorite: ,Audax Italiano, 2295419   size:15.34,Price: ,2.28,Santiago Wanderers, 913363   size:159.79,Price: ,3.3,The Draw, 58805   size:9.25,Price: ,3.65,x
1.121605899, Sport: ,Basketball, Time: ,Sun Nov 01 20:05:00 CET 2015, Time: ,Sun Nov 01 20:05:00 CET 2015, Event: ,Hapoel Holon v Maccabi Tel Aviv, Favorite: ,Maccabi Tel Aviv, 266273   size:2.55,Price: ,1.19,Hapoel Holon, 6796483   size:80.63,Price: ,5.3,ok
1.121521753, Sport: ,Soccer, Time: ,Sun Nov 01 21:30:00 CET 2015, Time: ,Sun Nov 01 21:30:00 CET 2015, Event: ,Cerro Porteno v Olimpia, Favorite: ,Cerro Porteno, 335852   size:10.98,Price: ,2.34,Olimpia, 328699   size:62.82,Price: ,3.2,The Draw, 58805   size:2.39,Price: ,3.4,x
1.121593425, Sport: ,Soccer, Time: ,Sun Nov 01 22:15:00 CET 2015, Time: ,Sun Nov 01 22:15:00 CET 2015, Event: ,Alianza FC v FAS, Favorite: ,Alianza FC, 5698496   size:4.31,Price: ,2.16,Fas, 4867481   size:2.29,Price: ,2.92,The Draw, 58805   size:4.66,Price: ,3.15,ok
1.121618561, Sport: ,Basketball, Time: ,Mon Nov 02 01:15:00 CET 2015, Time: ,Mon Nov 02 01:15:00 CET 2015, Event: ,San Lorenzo de Almagro v Penarol, Favorite: ,San Lorenzo de Almagro, 10309838   size:9.69,Price: ,1.03,Penarol, 6719113   size:9.69,Price: ,1.03,x
1.121503700, Sport: ,Soccer, Time: ,Sun Nov 01 19:45:00 CET 2015, Time: ,Sun Nov 01 19:45:00 CET 2015, Event: ,Juventud Unida G v Atletico Parana, Favorite: ,Juventud Unida G, 9229737   size:47.19,Price: ,2.56,Atletico Parana, 5985269   size:4.23,Price: ,3.25,The Draw, 58805   size:2.0,Price: ,3.0,x
1.121354982, Sport: ,American Football, Time: ,Sun Nov 01 19:00:00 CET 2015, Time: ,Sun Nov 01 19:00:00 CET 2015, Event: ,Cincinnati @ Pittsburgh, Favorite: ,Cincinnati Bengals, 50210   size:851.35,Price: ,1.9,Pittsburgh Steelers, 50208   size:877.42,Price: ,1.97,ok
1.121448685, Sport: ,Soccer, Time: ,Sun Nov 01 21:00:00 CET 2015, Time: ,Sun Nov 01 21:00:00 CET 2015, Event: ,Vasco da Gama v Fluminense, Favorite: ,Vasco da Gama, 784535   size:5.84,Price: ,2.38,Fluminense, 198133   size:97.45,Price: ,3.5,The Draw, 58805   size:434.5,Price: ,3.35,x
1.121583667, Sport: ,Soccer, Time: ,Sun Nov 01 21:00:00 CET 2015, Time: ,Sun Nov 01 21:00:00 CET 2015, Event: ,DC Utd v New York Red Bulls, Favorite: ,New York Red Bulls, 2362970   size:121.71,Price: ,2.24,DC Utd, 436099   size:35.0,Price: ,3.5,The Draw, 58805   size:148.66,Price: ,3.65,ok
1.121616952, Sport: ,Darts, Time: ,Sun Nov 01 20:00:00 CET 2015, Time: ,Sun Nov 01 20:00:00 CET 2015, Event: ,Michael Van Gerwen v Peter Wright, Favorite: ,Michael van Gerwen, 2475370   size:1179.69,Price: ,1.28,Peter Wright, 2821235   size:30.98,Price: ,4.4,ok
1.121506347, Sport: ,Soccer, Time: ,Sun Nov 01 20:00:00 CET 2015, Time: ,Sun Nov 01 20:00:00 CET 2015, Event: ,Olympic Safi v RSB Berkane, Favorite: ,RSB Berkane, 6666990   size:8.25,Price: ,2.64,Olympic Safi, 6666958   size:3.79,Price: ,3.15,The Draw, 58805   size:13.99,Price: ,2.66,x
1.121503476, Sport: ,Soccer, Time: ,Sun Nov 01 22:10:00 CET 2015, Time: ,Sun Nov 01 22:10:00 CET 2015, Event: ,Estudiantes de San Luis v Instituto, Favorite: ,Estudiantes de San Luis, 9229724   size:37.45,Price: ,2.26,Instituto, 897267   size:5.0,Price: ,3.85,The Draw, 58805   size:2.0,Price: ,3.1,x
1.121529228, Sport: ,Basketball, Time: ,Sun Nov 01 21:30:00 CET 2015, Time: ,Sun Nov 01 21:30:00 CET 2015, Event: ,San Antonio @ Boston, Favorite: ,San Antonio, 13121   size:787.29,Price: ,1.43,Boston, 13108   size:10.41,Price: ,3.25,ok
1.121493745, Sport: ,American Football, Time: ,Sun Nov 01 22:00:00 CET 2015, Time: ,Sun Nov 01 22:00:00 CET 2015, Event: ,Montreal @ Edmonton, Favorite: ,Edmonton, 2014480   size:10.9,Price: ,1.32,Montreal, 2014643   size:8.16,Price: ,3.75,ok
1.121529183, Sport: ,Basketball, Time: ,Mon Nov 02 00:00:00 CET 2015, Time: ,Mon Nov 02 00:00:00 CET 2015, Event: ,Houston @ Miami, Favorite: ,Miami, 13109   size:131.38,Price: ,1.6,Houston, 13123   size:54.99,Price: ,2.58,ok
1.121621107, Sport: ,Tennis, Time: ,Sun Nov 01 19:30:00 CET 2015, Time: ,Sun Nov 01 19:30:00 CET 2015, Event: ,Sarmiento/Thompson v Anandan/Kryvonos, Favorite: ,Sarmiento/Thompson, 10484209   size:2.8,Price: ,1.03,Anandan/Kryvonos, 10484210   size:2.8,Price: ,1.03,ok
1.121592818, Sport: ,Soccer, Time: ,Sun Nov 01 23:30:00 CET 2015, Time: ,Sun Nov 01 23:30:00 CET 2015, Event: ,CS Uruguay v Belen Siglo XXI, Favorite: ,CS Uruguay, 6624079   size:12.08,Price: ,1.89,Belen Siglo XXI, 10104366   size:5.33,Price: ,4.4,The Draw, 58805   size:3.64,Price: ,3.65,x
1.121478986, Sport: ,Soccer, Time: ,Sun Nov 01 23:00:00 CET 2015, Time: ,Sun Nov 01 23:00:00 CET 2015, Event: ,Santa Fe v Envigado, Favorite: ,Santa Fe, 4908158   size:28.18,Price: ,2.52,Envigado, 5180320   size:59.62,Price: ,3.3,The Draw, 58805   size:46.23,Price: ,3.1,x
1.121493742, Sport: ,American Football, Time: ,Sun Nov 01 19:00:00 CET 2015, Time: ,Sun Nov 01 19:00:00 CET 2015, Event: ,Ottawa @ Hamilton, Favorite: ,Hamilton, 2014691   size:5.8,Price: ,1.01,Ottawa, 8604244   size:3.81,Price: ,2.0,x
1.121621105, Sport: ,Tennis, Time: ,Sun Nov 01 19:30:00 CET 2015, Time: ,Sun Nov 01 19:30:00 CET 2015, Event: ,Altamirano/Wiersholm v Opelka/Paul, Favorite: ,Altamirano/Wiersholm, 10484211   size:2.8,Price: ,1.03,Opelka/Paul, 10484212   size:2.8,Price: ,1.03,x
1.121491169, Sport: ,Soccer, Time: ,Mon Nov 02 00:00:00 CET 2015, Time: ,Mon Nov 02 00:00:00 CET 2015, Event: ,Guadalajara v Pachuca, Favorite: ,Guadalajara, 230909   size:10.24,Price: ,2.48,Pachuca, 328954   size:181.01,Price: ,3.15,The Draw, 58805   size:556.5,Price: ,3.5,x
1.121354810, Sport: ,American Football, Time: ,Sun Nov 01 19:00:00 CET 2015, Time: ,Sun Nov 01 19:00:00 CET 2015, Event: ,Tampa Bay @ Atlanta, Favorite: ,Atlanta Falcons, 50199   size:2.8,Price: ,1.16,Tampa Bay Buccaneers, 50190   size:7.0,Price: ,4.8,x
1.121592146, Sport: ,Soccer, Time: ,Sun Nov 01 19:15:00 CET 2015, Time: ,Sun Nov 01 19:15:00 CET 2015, Event: ,Bahia v Bahia de Feira, Favorite: ,Bahia, 198139   size:138.75,Price: ,1.06,Bahia De Feira, 6219247   size:138.75,Price: ,1.06,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121444619, Sport: ,Soccer, Time: ,Sun Nov 01 18:30:00 CET 2015, Time: ,Sun Nov 01 18:30:00 CET 2015, Event: ,Volyn v Hoverla, Favorite: ,Volyn, 4115366   size:2.8,Price: ,1.85,Hoverla, 7397538   size:12.42,Price: ,6.2,The Draw, 58805   size:318.71,Price: ,3.15,x
1.121596902, Sport: ,Soccer, Time: ,Sun Nov 01 22:00:00 CET 2015, Time: ,Sun Nov 01 22:00:00 CET 2015, Event: ,Diriangen FC v UNAN Managua, Favorite: ,Diriangen FC, 9038383   size:138.75,Price: ,1.06,UNAN Managua, 9198508   size:138.75,Price: ,1.06,The Draw, 58805   size:2.8,Price: ,1.25,ok
1.121501973, Sport: ,Soccer, Time: ,Sun Nov 01 22:00:00 CET 2015, Time: ,Sun Nov 01 22:00:00 CET 2015, Event: ,Banfield v Rosario Central, Favorite: ,Rosario Central, 220949   size:27.33,Price: ,2.34,Banfield, 194508   size:129.79,Price: ,3.6,The Draw, 58805   size:56.64,Price: ,3.25,x
1.121448493, Sport: ,Soccer, Time: ,Sun Nov 01 20:00:00 CET 2015, Time: ,Sun Nov 01 20:00:00 CET 2015, Event: ,Gremio v Flamengo, Favorite: ,Gremio, 198134   size:202.88,Price: ,1.76,Flamengo, 198138   size:86.89,Price: ,5.8,The Draw, 58805   size:134.77,Price: ,3.8,ok
