1.122097150, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,Gentofte v Herlev, Favorite: ,Gentofte, 8834861   size:3.19,Price: ,2.0,Herlev, 227439   size:7.76,Price: ,2.78,Tie, 60104   size:38.72,Price: ,4.7,ok
1.122006589, Sport: ,Soccer, Time: ,Fri Dec 04 20:30:00 CET 2015, Time: ,Fri Dec 04 20:30:00 CET 2015, Event: ,Lucon v Strasbourg, Favorite: ,Strasbourg, 51404   size:33.61,Price: ,2.64,Lucon, 5114532   size:7.01,Price: ,3.25,The Draw, 58805   size:21.7,Price: ,3.1,x
1.122115301, Sport: ,Soccer, Time: ,Fri Dec 04 10:00:00 CET 2015, Time: ,Fri Dec 04 10:00:00 CET 2015, Event: ,Lod Rakevet Tvaz O U19 v Hapoel Ashkelon U19, Favorite: ,Hapoel Ashkelon U19, 10587681   size:3.81,Price: ,1.68,Lod Rakevet Tvaz O U19, 10587679   size:2.1,Price: ,3.05,The Draw, 58805   size:41.74,Price: ,4.1,ok
1.122092804, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:45:00 CET 2015, Time: ,Fri Dec 04 19:45:00 CET 2015, Event: ,HC Bolzano v SAPA Fehervar AV19, Favorite: ,HC Bolzano, 7557536   size:3.45,Price: ,1.85,SAPA Fehervar AV19, 4182888   size:2.1,Price: ,3.05,Tie, 60104   size:5.17,Price: ,4.2,ok
1.122116184, Sport: ,Soccer, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Farul Constanta v Dunarea Calarasi, Favorite: ,Farul Constanta, 1556985   size:7.55,Price: ,2.12,Dunarea Calarasi, 10238185   size:7.55,Price: ,2.76,The Draw, 58805   size:2.55,Price: ,3.3,x
1.122075377, Sport: ,Rugby Union, Time: ,Fri Dec 04 20:05:00 CET 2015, Time: ,Fri Dec 04 20:05:00 CET 2015, Event: ,Cardiff Blues v Connacht, Favorite: ,Connacht, 50110   size:2.7,Price: ,1.84,Cardiff Blues, 522761   size:11.5,Price: ,2.12,Draw, 246289   size:4.0,Price: ,23.0,x
1.122099680, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,Iserlohn v Krefeld Pinguine, Favorite: ,Iserlohn, 265130   size:4.16,Price: ,1.62,Krefeld Pinguine, 233926   size:25.0,Price: ,4.5,Tie, 60104   size:49.43,Price: ,5.7,ok
1.122116625, Sport: ,Soccer, Time: ,Fri Dec 04 21:30:00 CET 2015, Time: ,Fri Dec 04 21:30:00 CET 2015, Event: ,CD Yone La Garita (W) v CF Union Viera (W), Favorite: ,CD Yone La Garita (W), 10493603   size:3.65,Price: ,1.11,CF Union Viera (W), 10293022   size:3.65,Price: ,1.11,The Draw, 58805   size:20.74,Price: ,3.15,x
1.122007542, Sport: ,Soccer, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Spartak Myjava v MFK Skalica, Favorite: ,Spartak Myjava, 4247363   size:2.02,Price: ,1.36,MFK Skalica, 8690761   size:9.45,Price: ,9.0,The Draw, 58805   size:5.0,Price: ,5.2,ok
1.122009725, Sport: ,Soccer, Time: ,Fri Dec 04 21:00:00 CET 2015, Time: ,Fri Dec 04 21:00:00 CET 2015, Event: ,Perugia v Modena, Favorite: ,Perugia, 215828   size:38.79,Price: ,1.95,Modena, 60293   size:2.04,Price: ,5.0,The Draw, 58805   size:7.1,Price: ,3.35,ok
1.122115411, Sport: ,Soccer, Time: ,Fri Dec 04 12:00:00 CET 2015, Time: ,Fri Dec 04 12:00:00 CET 2015, Event: ,Beitar Kfar Saba Shlomi v Sektzia Nes Tziona, Favorite: ,Sektzia Nes Tziona, 5195928   size:3.04,Price: ,2.1,Beitar Kfar Saba Shlomi, 6132669   size:3.04,Price: ,3.0,The Draw, 58805   size:2.55,Price: ,3.3,ok
1.122007052, Sport: ,Soccer, Time: ,Fri Dec 04 14:00:00 CET 2015, Time: ,Fri Dec 04 14:00:00 CET 2015, Event: ,Hapoel Katamon v Hapoel Afula, Favorite: ,Hapoel Afula, 5546999   size:2.83,Price: ,2.26,Hapoel Katamon, 7629623   size:6.84,Price: ,3.85,The Draw, 58805   size:19.64,Price: ,3.15,x
1.122116570, Sport: ,Soccer, Time: ,Fri Dec 04 21:30:00 CET 2015, Time: ,Fri Dec 04 21:30:00 CET 2015, Event: ,EMF Au Guimar (W) v UD Hidalgo (W), Favorite: ,EMF Au Guimar (W), 10398396   size:13.83,Price: ,1.11,UD Hidalgo (W), 10263101   size:7.31,Price: ,15.0,The Draw, 58805   size:15.54,Price: ,10.5,ok
1.122124759, Sport: ,Soccer, Time: ,Fri Dec 04 10:30:00 CET 2015, Time: ,Fri Dec 04 10:30:00 CET 2015, Event: ,Air India v Central Railway, Favorite: ,Air India, 4391263   size:2.72,Price: ,1.15,Central Railway, 9401036   size:3.12,Price: ,12.0,The Draw, 58805   size:3.3,Price: ,8.4,ok
1.122101998, Sport: ,Soccer, Time: ,Fri Dec 04 10:00:00 CET 2015, Time: ,Fri Dec 04 10:00:00 CET 2015, Event: ,Rostov (Y) v Rubin Kazan (Y), Favorite: ,Rubin Kazan (Y), 5400702   size:40.9,Price: ,2.3,Rostov (Y), 9048042   size:8.16,Price: ,2.96,The Draw, 58805   size:8.71,Price: ,3.65,x
1.122096879, Sport: ,Basketball, Time: ,Fri Dec 04 11:00:00 CET 2015, Time: ,Fri Dec 04 11:00:00 CET 2015, Event: ,Seoul Thunders v Incheon Elephants, Favorite: ,Seoul Thunders, 8000107   size:32.51,Price: ,1.45,Incheon Elephants, 8248315   size:5.17,Price: ,2.96,ok
1.122114709, Sport: ,Soccer, Time: ,Fri Dec 04 16:30:00 CET 2015, Time: ,Fri Dec 04 16:30:00 CET 2015, Event: ,Al Sharjah v Al Wasl, Favorite: ,Al Wasl, 3618587   size:6.63,Price: ,1.67,Al Sharjah, 3607226   size:2.08,Price: ,3.7,The Draw, 58805   size:2.23,Price: ,3.45,x
1.122096884, Sport: ,Basketball, Time: ,Fri Dec 04 11:00:00 CET 2015, Time: ,Fri Dec 04 11:00:00 CET 2015, Event: ,Tokyo v Shiga, Favorite: ,Shiga, 6737025   size:2.55,Price: ,1.08,Tokyo, 6736966   size:2.55,Price: ,4.6,ok
