1.119817933, Sport: ,Soccer, Time: ,Mon Aug 03 16:00:00 CEST 2015, Time: ,Mon Aug 03 16:00:00 CEST 2015, Event: ,FK Chertanovo v FK Ryazan, Favorite: ,FK Chertanovo, 9386605   size:3.32,Price: ,2.14,FK Ryazan, 8860952   size:3.19,Price: ,2.22,The Draw, 58805   size:2.4,Price: ,2.94,x
1.119822850, Sport: ,Tennis, Time: ,Mon Aug 03 12:00:00 CEST 2015, Time: ,Mon Aug 03 12:00:00 CEST 2015, Event: ,C Ramirez v M Schmid, Favorite: ,Michal Schmid, 7185187   size:48.38,Price: ,1.03,x
1.119817261, Sport: ,Soccer, Time: ,Mon Aug 03 16:00:00 CEST 2015, Time: ,Mon Aug 03 16:00:00 CEST 2015, Event: ,FC Ararat Yerevan II v Ulisses Yerevan FC II, Favorite: ,Ulisses Yerevan FC II, 8802560   size:11.94,Price: ,1.08,The Draw, 58805   size:10.92,Price: ,1.29,x
1.119818270, Sport: ,Soccer, Time: ,Mon Aug 03 13:30:00 CEST 2015, Time: ,Mon Aug 03 13:30:00 CEST 2015, Event: ,Geylang Utd (Res) v NFA Reds U18, Favorite: ,NFA Reds U18, 8390085   size:11.94,Price: ,1.08,The Draw, 58805   size:5.0,Price: ,3.1,ok
1.119818552, Sport: ,Soccer, Time: ,Mon Aug 03 16:00:00 CEST 2015, Time: ,Mon Aug 03 16:00:00 CEST 2015, Event: ,FC Vorskla Poltava U19 v Dnipro U19, Favorite: ,Dnipro U19, 6534955   size:11.94,Price: ,1.08,The Draw, 58805   size:10.92,Price: ,1.29,x
1.119803632, Sport: ,Tennis, Time: ,Mon Aug 03 14:45:00 CEST 2015, Time: ,Mon Aug 03 14:45:00 CEST 2015, Event: ,De Novak v Al Bedene, Favorite: ,Aljaz Bedene, 5706996   size:103.0,Price: ,1.13,Dennis Novak, 7335936   size:5.0,Price: ,8.4,x
1.119820829, Sport: ,Tennis, Time: ,Mon Aug 03 11:00:00 CEST 2015, Time: ,Mon Aug 03 11:00:00 CEST 2015, Event: ,M Delic v Salaba, Favorite: ,Mate Delic, 5704646   size:4.82,Price: ,1.32,Libor Salaba, 8750028   size:20.65,Price: ,3.3,
1.119817429, Sport: ,Soccer, Time: ,Mon Aug 03 13:15:00 CEST 2015, Time: ,Mon Aug 03 13:15:00 CEST 2015, Event: ,City FC New Delhi v Delhi United SC, Favorite: ,Delhi United SC, 10091831   size:11.94,Price: ,1.08,The Draw, 58805   size:5.0,Price: ,3.1,ok
1.119817709, Sport: ,Soccer, Time: ,Mon Aug 03 13:00:00 CEST 2015, Time: ,Mon Aug 03 13:00:00 CEST 2015, Event: ,FK Jelgava (Res) v Skonto FC Riga (Res), Favorite: ,Skonto FC Riga (Res), 9397708   size:11.94,Price: ,1.08,The Draw, 58805   size:5.0,Price: ,3.45,x
1.119667658, Sport: ,Soccer, Time: ,Mon Aug 03 14:00:00 CEST 2015, Time: ,Mon Aug 03 14:00:00 CEST 2015, Event: ,Fortuna Dusseldorf II v Dortmund II, Favorite: ,Dortmund II, 5394150   size:39.68,Price: ,2.18,Fortuna Dusseldorf II, 5545121   size:11.51,Price: ,3.5,The Draw, 58805   size:2.58,Price: ,3.75,x
1.119816852, Sport: ,Soccer, Time: ,Mon Aug 03 14:00:00 CEST 2015, Time: ,Mon Aug 03 14:00:00 CEST 2015, Event: ,Viborg (Res) v Hobro IK (Res), Favorite: ,Hobro IK (Res), 8749422   size:11.94,Price: ,1.08,The Draw, 58805   size:10.92,Price: ,1.29,x
1.119815600, Sport: ,Tennis, Time: ,Mon Aug 03 15:30:00 CEST 2015, Time: ,Mon Aug 03 15:30:00 CEST 2015, Event: ,Dubarenco v Kudryavtsev, Favorite: ,Alexander Kudryavtsev, 5908538   size:43.9,Price: ,1.52,Maxim Dubarenco, 7797862   size:4.99,Price: ,2.6,ok
1.119813467, Sport: ,Tennis, Time: ,Mon Aug 03 13:15:00 CEST 2015, Time: ,Mon Aug 03 13:15:00 CEST 2015, Event: ,Souza/Vesely v Erler/Kohlschreiber, Favorite: ,Souza/Vesely, 10105804   size:3.67,Price: ,1.36,Erler/Kohlschreiber, 10105805   size:7.51,Price: ,2.94,ok
