1.120154021, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Huddersfield v QPR, Favorite: ,Huddersfield, 78984   size:109.79,Price: ,2.72,QPR, 62684   size:257.01,Price: ,2.8,The Draw, 58805   size:1224.03,Price: ,3.55,
1.120083238, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Stoke v West Brom, Favorite: ,Stoke, 69720   size:27.32,Price: ,2.0,The Draw, 58805   size:583.93,Price: ,3.5,West Brom, 1703   size:91.15,Price: ,4.6,
1.120153668, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Sheff Wed v Middlesbrough, Favorite: ,Middlesbrough, 63907   size:85.6,Price: ,2.3,The Draw, 58805   size:789.51,Price: ,3.4,Sheff Wed, 47992   size:80.49,Price: ,3.6,
1.120153205, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Nottm Forest v Cardiff, Favorite: ,Nottm Forest, 69718   size:26.75,Price: ,2.46,Cardiff, 79343   size:467.76,Price: ,3.2,The Draw, 58805   size:152.73,Price: ,3.45,
1.120153500, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Hull v Preston, Favorite: ,Hull, 70385   size:244.73,Price: ,2.1,The Draw, 58805   size:1308.78,Price: ,3.4,Preston, 56295   size:153.3,Price: ,4.2,
1.120145850, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Alloa v Morton, Favorite: ,Morton, 46283   size:13.76,Price: ,2.5,Alloa, 203715   size:17.48,Price: ,2.98,The Draw, 58805   size:4.68,Price: ,3.5,
1.120301660, Sport: ,Volleyball, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,Argentina v Tunisia, Favorite: ,Tunisia, 1183418   size:129.96,Price: ,1.01,
1.120294315, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,AFC Metalosport Galati v ACS Sepsi OSK, Favorite: ,The Draw, 58805   size:2.39,Price: ,1.07,
1.120294598, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,Radnik Surdulica v Vozdovac, Favorite: ,Radnik Surdulica, 8860947   size:6.33,Price: ,2.3,The Draw, 58805   size:6.48,Price: ,3.3,Vozdovac, 2020583   size:5.0,Price: ,3.35,
1.120285432, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,CDSC Cruz Azul U20 v CF America U20, Favorite: ,CF America U20, 6450386   size:137.55,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,
