1.121676926, Sport: ,Soccer, Time: ,Sat Nov 14 10:15:00 CET 2015, Time: ,Sat Nov 14 10:15:00 CET 2015, Event: ,Pardubice v MFK Karvina, Favorite: ,Pardubice, 4940265   size:10.0,Price: ,2.6,MFK Karvina, 3358864   size:13.97,Price: ,2.6,The Draw, 58805   size:5.21,Price: ,3.55,ok
1.121819211, Sport: ,Tennis, Time: ,Sat Nov 14 08:15:00 CET 2015, Time: ,Sat Nov 14 08:15:00 CET 2015, Event: ,Moritani v R Ghedin, Favorite: ,Riccardo Ghedin, 3506053   size:17.85,Price: ,1.03,Soichiro Moritani, 8349391   size:6.03,Price: ,1.53,ok
1.121791031, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Gloria Buzau v Bucovina Pojorata, Favorite: ,Gloria Buzau, 2487031   size:2.55,Price: ,2.02,Bucovina Pojorata, 10238197   size:2.55,Price: ,2.96,The Draw, 58805   size:4.85,Price: ,4.5,ok
1.121803543, Sport: ,Soccer, Time: ,Sat Nov 14 13:30:00 CET 2015, Time: ,Sat Nov 14 13:30:00 CET 2015, Event: ,Vik Szombathely (W) v Koka KSK (W), Favorite: ,Vik Szombathely (W), 7797863   size:11.13,Price: ,1.1,Koka KSK (W), 10244688   size:11.13,Price: ,1.1,The Draw, 58805   size:10.11,Price: ,2.88,x
1.121766650, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Ulsan Mobis Phoebus v Seoul Knights, Favorite: ,Ulsan Mobis Phoebus, 8998222   size:374.99,Price: ,1.2,Seoul Knights, 7954787   size:20.27,Price: ,4.9,ok
1.121792248, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,WKS Slask Wroclaw U19 v Zawisza Bydgoszcz U19, Favorite: ,WKS Slask Wroclaw U19, 7236910   size:11.13,Price: ,1.1,Zawisza Bydgoszcz U19, 7235560   size:11.13,Price: ,1.1,The Draw, 58805   size:10.11,Price: ,2.88,ok
1.121790865, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Olimpia Satu Mare v Metalul Resita, Favorite: ,Olimpia Satu Mare, 6681485   size:2.72,Price: ,1.34,Metalul Resita, 7635995   size:6.21,Price: ,6.0,The Draw, 58805   size:4.65,Price: ,4.5,x
1.121675147, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Augsburg II v Nurnberg II, Favorite: ,Nurnberg II, 5576963   size:7.07,Price: ,2.3,Augsburg II, 6516845   size:15.23,Price: ,3.15,The Draw, 58805   size:5.51,Price: ,3.7,x
1.121819204, Sport: ,Tennis, Time: ,Sat Nov 14 10:15:00 CET 2015, Time: ,Sat Nov 14 10:15:00 CET 2015, Event: ,Rungkat v Takeshima, Favorite: ,Christopher Rungkat, 7688190   size:5.28,Price: ,1.23,Shunrou Takeshima, 8347759   size:36.81,Price: ,3.45,ok
1.121833572, Sport: ,Tennis, Time: ,Sat Nov 14 10:30:00 CET 2015, Time: ,Sat Nov 14 10:30:00 CET 2015, Event: ,Ocleppo v Celebic, Favorite: ,Julian Ocleppo, 9630560   size:8.35,Price: ,1.04,Ljubomir Celebic, 8979348   size:8.35,Price: ,1.04,x
1.121797010, Sport: ,Soccer, Time: ,Sat Nov 14 13:00:00 CET 2015, Time: ,Sat Nov 14 13:00:00 CET 2015, Event: ,Banska Bystrica v SFM Senec, Favorite: ,Banska Bystrica, 501166   size:9.85,Price: ,1.49,SFM Senec, 6144037   size:11.05,Price: ,4.5,The Draw, 58805   size:18.98,Price: ,3.65,ok
1.121766656, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Aomori v Saitama, Favorite: ,Aomori, 7759170   size:8.35,Price: ,1.04,Saitama, 6736963   size:6.03,Price: ,2.14,ok
1.121833576, Sport: ,Tennis, Time: ,Sat Nov 14 14:30:00 CET 2015, Time: ,Sat Nov 14 14:30:00 CET 2015, Event: ,M Ymer v Grandon Diaz, Favorite: ,Mikael Ymer, 8679651   size:8.35,Price: ,1.04,Cristobal Grandon Diaz, 9623951   size:8.35,Price: ,1.04,ok
1.121766659, Sport: ,Basketball, Time: ,Sat Nov 14 06:00:00 CET 2015, Time: ,Sat Nov 14 06:00:00 CET 2015, Event: ,Kyoto v Osaka, Favorite: ,Kyoto, 6718536   size:2.82,Price: ,1.03,Osaka, 6737020   size:2.82,Price: ,1.03,ok
1.121766657, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Hiroshima v Oita, Favorite: ,Hiroshima, 10368766   size:8.35,Price: ,1.04,Oita, 6736967   size:8.35,Price: ,1.04,x
1.121790097, Sport: ,Volleyball, Time: ,Sat Nov 14 08:00:00 CET 2015, Time: ,Sat Nov 14 08:00:00 CET 2015, Event: ,IBK Altos v Heungkuk Pink Spiders, Favorite: ,IBK Altos, 10391692   size:76.86,Price: ,1.46,Heungkuk Pink Spiders, 10391681   size:147.34,Price: ,2.72,ok
