1.122322402, Sport: ,Soccer, Time: ,Sat Dec 19 17:30:00 CET 2015, Time: ,Sat Dec 19 17:30:00 CET 2015, Event: ,Club Atletico Saguntino v UD Alzira, Favorite: ,Club Atletico Saguntino, 7906133   size:5.97,Price: ,1.48,UD Alzira, 5688358   size:34.3,Price: ,5.5,The Draw, 58805   size:34.3,Price: ,3.45,ok
1.122301729, Sport: ,Ice Hockey, Time: ,Sat Dec 19 02:05:00 CET 2015, Time: ,Sat Dec 19 02:05:00 CET 2015, Event: ,NY Rangers @ Winnipeg, Favorite: ,Winnipeg, 5866888   size:93.0,Price: ,2.34,NY Rangers, 60103   size:100.0,Price: ,2.76,Tie, 60104   size:108.0,Price: ,3.85,ok
1.122324709, Sport: ,Soccer, Time: ,Sat Dec 19 14:15:00 CET 2015, Time: ,Sat Dec 19 14:15:00 CET 2015, Event: ,ASM Oran v NR Dely Brahim, Favorite: ,ASM Oran, 8954905   size:5.47,Price: ,1.13,NR Dely Brahim, 10640453   size:2.74,Price: ,30.0,The Draw, 58805   size:4.06,Price: ,9.8,ok
1.122229466, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Barnet v Crawley Town, Favorite: ,Barnet, 1165   size:2.79,Price: ,2.28,Crawley Town, 266068   size:121.5,Price: ,3.3,The Draw, 58805   size:67.27,Price: ,3.65,ok
1.122301724, Sport: ,Ice Hockey, Time: ,Sat Dec 19 01:35:00 CET 2015, Time: ,Sat Dec 19 01:35:00 CET 2015, Event: ,Vancouver @ Detroit, Favorite: ,Detroit, 975676   size:20.73,Price: ,1.92,Vancouver, 2109691   size:97.99,Price: ,3.85,Tie, 60104   size:542.0,Price: ,4.1,x
1.122328292, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,Subiza v CD River Ega, Favorite: ,Subiza, 9366737   size:10.06,Price: ,1.13,CD River Ega, 10238409   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.1,ok
1.122328290, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,CE Campos v CD Ferriolense, Favorite: ,CE Campos, 6883541   size:10.06,Price: ,1.13,CD Ferriolense, 6797348   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.1,x
1.122233639, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Millwall v Gillingham, Favorite: ,Millwall, 56036   size:314.16,Price: ,2.2,Gillingham, 56298   size:8.58,Price: ,3.5,The Draw, 58805   size:186.88,Price: ,3.7,x
1.122093127, Sport: ,Darts, Time: ,Sat Dec 19 22:00:00 CET 2015, Time: ,Sat Dec 19 22:00:00 CET 2015, Event: ,van der Voort v Loz Ryder, Favorite: ,Van Der Voort, 2443781   size:13583.69,Price: ,1.11,Loz Ryder, 8792878   size:21.49,Price: ,9.0,ok
1.122319458, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,Al-Quadisiya (KSA) v Hajer (KSA), Favorite: ,Al-Quadisiya (KSA), 10201607   size:10.55,Price: ,1.64,Hajer (KSA), 6617052   size:2.74,Price: ,4.8,The Draw, 58805   size:2.55,Price: ,3.8,x
1.122328298, Sport: ,Soccer, Time: ,Sat Dec 19 15:45:00 CET 2015, Time: ,Sat Dec 19 15:45:00 CET 2015, Event: ,CE Esporles v UE Alcudia, Favorite: ,CE Esporles, 10238429   size:10.06,Price: ,1.13,UE Alcudia, 7292328   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.05,x
1.122328296, Sport: ,Soccer, Time: ,Sat Dec 19 15:45:00 CET 2015, Time: ,Sat Dec 19 15:45:00 CET 2015, Event: ,CD Tineo v UP Langreo, Favorite: ,CD Tineo, 10505024   size:10.06,Price: ,1.13,UP Langreo, 6399742   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.0,x
1.122232780, Sport: ,Soccer, Time: ,Sat Dec 19 21:45:00 CET 2015, Time: ,Sat Dec 19 21:45:00 CET 2015, Event: ,Estoril v Guimaraes, Favorite: ,Estoril, 505980   size:19.03,Price: ,2.36,Guimaraes, 50085   size:12.23,Price: ,3.5,The Draw, 58805   size:86.31,Price: ,3.35,x
1.122253486, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,DHJ El Jadida v Chabab Rif Hoceima, Favorite: ,DHJ El Jadida, 6845213   size:7.55,Price: ,1.93,Chabab Rif Hoceima, 6666954   size:2.55,Price: ,3.85,The Draw, 58805   size:5.97,Price: ,3.1,ok
1.122300721, Sport: ,Basketball, Time: ,Sat Dec 19 18:30:00 CET 2015, Time: ,Sat Dec 19 18:30:00 CET 2015, Event: ,Alba Berlin v Tubingen, Favorite: ,Alba Berlin, 266284   size:2.55,Price: ,1.05,Tubingen, 1371897   size:34.14,Price: ,1.71,ok
1.122222867, Sport: ,Soccer, Time: ,Sat Dec 19 15:00:00 CET 2015, Time: ,Sat Dec 19 15:00:00 CET 2015, Event: ,Dinamo Zagreb v Inter Zapresic, Favorite: ,Dinamo Zagreb, 50344   size:1993.49,Price: ,1.15,Inter Zapresic, 729701   size:35.49,Price: ,16.0,The Draw, 58805   size:4.47,Price: ,7.4,ok
1.122322516, Sport: ,Soccer, Time: ,Sat Dec 19 17:00:00 CET 2015, Time: ,Sat Dec 19 17:00:00 CET 2015, Event: ,Crevillente Deportivo v UD Beniganim, Favorite: ,Crevillente Deportivo, 5260593   size:5.97,Price: ,1.38,UD Beniganim, 8811936   size:34.3,Price: ,5.9,The Draw, 58805   size:34.3,Price: ,3.75,x
1.122315096, Sport: ,Basketball, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Boulogne sur Mer v Nantes, Favorite: ,Boulogne sur Mer, 6719012   size:2.74,Price: ,1.03,Nantes, 6719007   size:2.74,Price: ,1.03,ok
1.122315094, Sport: ,Basketball, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Boulazac v Souffelweyersheim, Favorite: ,Souffelweyersheim, 7615256   size:2.74,Price: ,1.03,Boulazac, 6718787   size:23.99,Price: ,1.21,x
1.122230479, Sport: ,Snooker, Time: ,Sat Dec 19 11:00:00 CET 2015, Time: ,Sat Dec 19 11:00:00 CET 2015, Event: ,Jack Lisowski v Thor Chuan Leong, Favorite: ,Jack Lisowski, 5119439   size:2.55,Price: ,1.35,Thor Chuan Leong, 8789291   size:2.55,Price: ,3.2,ok
1.122275024, Sport: ,Rugby Union, Time: ,Sat Dec 19 16:15:00 CET 2015, Time: ,Sat Dec 19 16:15:00 CET 2015, Event: ,Bath v Wasps, Favorite: ,Bath, 8887   size:2.37,Price: ,1.47,Wasps, 8878   size:20.12,Price: ,3.35,Draw, 246289   size:2.46,Price: ,24.0,x
1.122233742, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Newport County v AFC Wimbledon, Favorite: ,AFC Wimbledon, 2662218   size:131.28,Price: ,2.26,Newport County, 62623   size:325.5,Price: ,3.35,The Draw, 58805   size:43.02,Price: ,3.7,x
1.122328288, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,UD Samano v SD Textil Escudo, Favorite: ,UD Samano, 10263134   size:10.06,Price: ,1.13,SD Textil Escudo, 8900487   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.05,x
1.122328286, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,CD Guarnizo v CD Laredo, Favorite: ,CD Guarnizo, 6670872   size:10.06,Price: ,1.13,CD Laredo, 6737451   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.05,ok
1.122345483, Sport: ,Handball, Time: ,Sat Dec 19 19:00:00 CET 2015, Time: ,Sat Dec 19 19:00:00 CET 2015, Event: ,TBV Lemgo v THW Kiel, Favorite: ,THW Kiel, 536477   size:5.97,Price: ,1.12,TBV Lemgo, 536475   size:18.0,Price: ,1.98,Draw, 330157   size:18.0,Price: ,2.08,ok
1.122328284, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,CA Osasuna II v CD Pamplona, Favorite: ,CA Osasuna II, 9310975   size:10.06,Price: ,1.13,CD Pamplona, 8368995   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.1,ok
1.122319341, Sport: ,Soccer, Time: ,Sat Dec 19 14:30:00 CET 2015, Time: ,Sat Dec 19 14:30:00 CET 2015, Event: ,Excelsior Maassluis v Barendrecht, Favorite: ,Excelsior Maassluis, 1259870   size:10.06,Price: ,1.13,Barendrecht, 4186853   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.05,ok
1.122322740, Sport: ,Soccer, Time: ,Sat Dec 19 17:00:00 CET 2015, Time: ,Sat Dec 19 17:00:00 CET 2015, Event: ,Pena Balsamaiso CF v CA Vianes, Favorite: ,Pena Balsamaiso CF, 8826852   size:65.96,Price: ,2.04,CA Vianes, 8838649   size:37.28,Price: ,2.84,The Draw, 58805   size:34.3,Price: ,3.25,ok
1.122322625, Sport: ,Handball, Time: ,Sat Dec 19 19:00:00 CET 2015, Time: ,Sat Dec 19 19:00:00 CET 2015, Event: ,Bergischer v Goppingen, Favorite: ,Bergischer, 4500054   size:2.74,Price: ,1.03,Goppingen, 2046558   size:8.03,Price: ,1.39,Draw, 330157   size:202.0,Price: ,1.04,x
1.122324928, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,ES Setif v WR MSila, Favorite: ,ES Setif, 5201569   size:5.51,Price: ,1.1,WR MSila, 10640477   size:3.6,Price: ,20.0,The Draw, 58805   size:14.69,Price: ,5.9,ok
1.122247811, Sport: ,Soccer, Time: ,Sat Dec 19 19:30:00 CET 2015, Time: ,Sat Dec 19 19:30:00 CET 2015, Event: ,Verbroedering Geel v Roeselare, Favorite: ,Roeselare, 505719   size:4.14,Price: ,1.71,Verbroedering Geel, 505724   size:2.55,Price: ,4.7,The Draw, 58805   size:2.73,Price: ,3.85,x
1.122228033, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Peterhead v Ayr, Favorite: ,Peterhead, 729810   size:15.5,Price: ,2.32,Ayr, 48005   size:5.0,Price: ,3.05,The Draw, 58805   size:2.73,Price: ,3.75,ok
1.122300612, Sport: ,Basketball, Time: ,Sat Dec 19 02:05:00 CET 2015, Time: ,Sat Dec 19 02:05:00 CET 2015, Event: ,LA Clippers @ San Antonio, Favorite: ,San Antonio, 13121   size:730.26,Price: ,1.3,LA Clippers, 237489   size:5.54,Price: ,4.1,ok
1.122328391, Sport: ,Soccer, Time: ,Sat Dec 19 16:30:00 CET 2015, Time: ,Sat Dec 19 16:30:00 CET 2015, Event: ,Fuente de Cantos v Atl Club Pueblonuevo, Favorite: ,Fuente de Cantos, 10622039   size:27.59,Price: ,1.02,Atl Club Pueblonuevo, 10621550   size:27.59,Price: ,1.02,The Draw, 58805   size:4.11,Price: ,3.05,ok
1.122232568, Sport: ,Soccer, Time: ,Sat Dec 19 22:05:00 CET 2015, Time: ,Sat Dec 19 22:05:00 CET 2015, Event: ,Deportivo v Eibar, Favorite: ,Deportivo, 51266   size:128.3,Price: ,2.08,Eibar, 247969   size:58.8,Price: ,4.2,The Draw, 58805   size:289.34,Price: ,3.45,ok
1.122328397, Sport: ,Soccer, Time: ,Sat Dec 19 16:30:00 CET 2015, Time: ,Sat Dec 19 16:30:00 CET 2015, Event: ,CD Beti Onak v CD Erriberri, Favorite: ,CD Beti Onak, 8997813   size:27.59,Price: ,1.02,CD Erriberri, 8236344   size:27.59,Price: ,1.02,The Draw, 58805   size:4.11,Price: ,3.0,x
1.122231233, Sport: ,Soccer, Time: ,Sat Dec 19 18:15:00 CET 2015, Time: ,Sat Dec 19 18:15:00 CET 2015, Event: ,Espanyol v Las Palmas, Favorite: ,Espanyol, 59044   size:432.0,Price: ,2.08,Las Palmas, 9163   size:336.31,Price: ,4.1,The Draw, 58805   size:148.8,Price: ,3.5,ok
1.122233533, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Leyton Orient v Yeovil, Favorite: ,Leyton Orient, 69717   size:131.27,Price: ,1.58,Yeovil, 132555   size:153.79,Price: ,6.4,The Draw, 58805   size:488.83,Price: ,4.2,x
1.122328395, Sport: ,Soccer, Time: ,Sat Dec 19 16:30:00 CET 2015, Time: ,Sat Dec 19 16:30:00 CET 2015, Event: ,AEC Manlleu v Palamos CF, Favorite: ,AEC Manlleu, 6399678   size:89.1,Price: ,1.77,Palamos CF, 6796940   size:34.3,Price: ,3.75,The Draw, 58805   size:34.3,Price: ,3.1,x
1.122275018, Sport: ,Rugby Union, Time: ,Sat Dec 19 14:00:00 CET 2015, Time: ,Sat Dec 19 14:00:00 CET 2015, Event: ,Saracens v Oyonnax, Favorite: ,Saracens, 8881   size:0.0,Price: ,0.0,Oyonnax, 7431712   size:3.3,Price: ,120.0,Draw, 246289   size:22.19,Price: ,130.0,ok
1.122328393, Sport: ,Soccer, Time: ,Sat Dec 19 16:30:00 CET 2015, Time: ,Sat Dec 19 16:30:00 CET 2015, Event: ,CD Vitoria v CD Lagun Onak, Favorite: ,CD Vitoria, 6044983   size:27.59,Price: ,1.02,CD Lagun Onak, 6883554   size:27.59,Price: ,1.02,The Draw, 58805   size:4.11,Price: ,3.05,x
1.122322974, Sport: ,Soccer, Time: ,Sat Dec 19 17:00:00 CET 2015, Time: ,Sat Dec 19 17:00:00 CET 2015, Event: ,Yeclano Deportivo v Lorca Deportivo CF, Favorite: ,Yeclano Deportivo, 9339254   size:58.14,Price: ,2.18,Lorca Deportivo CF, 10243205   size:39.42,Price: ,2.74,The Draw, 58805   size:34.3,Price: ,3.05,ok
1.122227093, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Brechin v Stranraer, Favorite: ,Brechin, 238429   size:17.87,Price: ,2.64,Stranraer, 122903   size:2.56,Price: ,2.72,The Draw, 58805   size:2.0,Price: ,3.6,ok
