1.122316033, Sport: ,Volleyball, Time: ,Wed Dec 23 17:00:00 CET 2015, Time: ,Wed Dec 23 17:00:00 CET 2015, Event: ,Iraklis v Foinikas Syroy, Favorite: ,Foinikas Syroy, 4353342   size:2.55,Price: ,1.26,Iraklis, 1107806   size:88.96,Price: ,4.8,ok
1.122371790, Sport: ,Tennis, Time: ,Wed Dec 23 05:00:00 CET 2015, Time: ,Wed Dec 23 05:00:00 CET 2015, Event: ,Veronika Kapshay v Polina Leykina, Favorite: ,Polina Leykina, 9062872   size:4.95,Price: ,1.29,Veronika Kapshay, 6390241   size:7.68,Price: ,3.65,ok
1.122307604, Sport: ,Basketball, Time: ,Wed Dec 23 04:00:00 CET 2015, Time: ,Wed Dec 23 04:00:00 CET 2015, Event: ,Miami (FL) @ La Salle, Favorite: ,Miami (FL), 716668   size:457.15,Price: ,1.02,La Salle, 715469   size:6.89,Price: ,8.2,ok
1.122363818, Sport: ,Soccer, Time: ,Wed Dec 23 16:00:00 CET 2015, Time: ,Wed Dec 23 16:00:00 CET 2015, Event: ,Algeria U20 v Tunisia U20, Favorite: ,Algeria U20, 6484434   size:3.67,Price: ,1.18,Tunisia U20, 1159123   size:3.67,Price: ,1.18,The Draw, 58805   size:5.4,Price: ,3.05,x
1.122363679, Sport: ,Soccer, Time: ,Wed Dec 23 03:00:00 CET 2015, Time: ,Wed Dec 23 03:00:00 CET 2015, Event: ,Vegalta Sendai (W) v INAC Leonessa Kobe (W), Favorite: ,INAC Leonessa Kobe (W), 6233771   size:2.63,Price: ,2.42,Vegalta Sendai (W), 7420920   size:3.59,Price: ,2.64,The Draw, 58805   size:6.77,Price: ,3.35,ok
1.122307373, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,Ambri Piotta v Lausanne HC, Favorite: ,Ambri Piotta, 2584459   size:942.78,Price: ,1.01,Lausanne HC, 7555451   size:942.78,Price: ,1.01,Tie, 60104   size:945.48,Price: ,1.01,ok
1.122307372, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,Geneve Servette v Fribourg Gotteron, Favorite: ,Geneve Servette, 4932959   size:942.78,Price: ,1.01,Fribourg Gotteron, 243252   size:942.78,Price: ,1.01,Tie, 60104   size:945.48,Price: ,1.01,ok
1.122307374, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,SCL Tigers v Biel, Favorite: ,SCL Tigers, 243257   size:942.78,Price: ,1.01,Biel, 3315685   size:942.78,Price: ,1.01,Tie, 60104   size:945.48,Price: ,1.01,x
1.122307891, Sport: ,Basketball, Time: ,Wed Dec 23 05:00:00 CET 2015, Time: ,Wed Dec 23 05:00:00 CET 2015, Event: ,Kansas @ San Diego State, Favorite: ,Kansas, 29837   size:2.55,Price: ,1.34,San Diego State, 711057   size:2.55,Price: ,3.4,ok
1.122307652, Sport: ,Basketball, Time: ,Wed Dec 23 01:00:00 CET 2015, Time: ,Wed Dec 23 01:00:00 CET 2015, Event: ,Delaware @ Villanova, Favorite: ,Villanova, 675919   size:0.0,Price: ,0.0,Delaware, 671873   size:28.96,Price: ,8.4,ok
