1.122183354, Sport: ,Rugby Union, Time: ,Sat Dec 12 14:00:00 CET 2015, Time: ,Sat Dec 12 14:00:00 CET 2015, Event: ,Glasgow v Scarlets, Favorite: ,Glasgow, 50108   size:5.0,Price: ,1.17,Scarlets, 1339514   size:5.17,Price: ,7.2,Draw, 246289   size:4.03,Price: ,34.0,ok
1.122243626, Sport: ,Soccer, Time: ,Sat Dec 12 11:00:00 CET 2015, Time: ,Sat Dec 12 11:00:00 CET 2015, Event: ,FC Sapovnela Terjola v Chikhura Sachkhere, Favorite: ,FC Sapovnela Terjola, 7613533   size:10.9,Price: ,1.12,Chikhura Sachkhere, 7391207   size:10.9,Price: ,1.12,The Draw, 58805   size:3.63,Price: ,3.15,x
1.122238060, Sport: ,Soccer, Time: ,Sat Dec 12 10:00:00 CET 2015, Time: ,Sat Dec 12 10:00:00 CET 2015, Event: ,Hapoel Ashkelon U19 v Hakoach M Ramat Gan U19, Favorite: ,Hapoel Ashkelon U19, 10587681   size:10.9,Price: ,1.12,Hakoach M Ramat Gan U19, 10601276   size:10.9,Price: ,1.12,The Draw, 58805   size:3.63,Price: ,3.2,ok
1.122118932, Sport: ,Soccer, Time: ,Fri Dec 11 20:00:00 CET 2015, Time: ,Fri Dec 11 20:00:00 CET 2015, Event: ,Chateauroux v Beziers, Favorite: ,Chateauroux, 70469   size:360.73,Price: ,1.35,Beziers, 8076581   size:26.71,Price: ,14.5,The Draw, 58805   size:2.76,Price: ,4.9,ok
1.122244950, Sport: ,Soccer, Time: ,Sat Dec 12 15:00:00 CET 2015, Time: ,Sat Dec 12 15:00:00 CET 2015, Event: ,RC Arbaa v MC Oran, Favorite: ,RC Arbaa, 9233662   size:3.91,Price: ,1.99,MC Oran, 8306133   size:5.86,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.25,x
1.122138353, Sport: ,Soccer, Time: ,Sat Dec 12 18:15:00 CET 2015, Time: ,Sat Dec 12 18:15:00 CET 2015, Event: ,Celta Vigo v Espanyol, Favorite: ,Celta Vigo, 66483   size:70.0,Price: ,1.58,Espanyol, 59044   size:17.0,Price: ,6.4,The Draw, 58805   size:24.07,Price: ,4.6,ok
1.122197884, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Eastbourne v Hemel Hempstead, Favorite: ,Eastbourne, 1034120   size:2.67,Price: ,2.34,Hemel Hempstead, 2133279   size:327.57,Price: ,3.1,The Draw, 58805   size:2.75,Price: ,3.55,ok
1.122140315, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Motherwell v Dundee, Favorite: ,Motherwell, 10707   size:12.16,Price: ,2.64,Dundee, 13133   size:41.87,Price: ,2.88,The Draw, 58805   size:322.45,Price: ,3.5,ok
1.122123152, Sport: ,Soccer, Time: ,Fri Dec 11 20:45:00 CET 2015, Time: ,Fri Dec 11 20:45:00 CET 2015, Event: ,Wolves v Nottm Forest, Favorite: ,Wolves, 48044   size:1308.12,Price: ,2.46,Nottm Forest, 69718   size:344.81,Price: ,3.55,The Draw, 58805   size:2441.09,Price: ,3.15,x
1.122126661, Sport: ,Soccer, Time: ,Sat Dec 12 14:00:00 CET 2015, Time: ,Sat Dec 12 14:00:00 CET 2015, Event: ,Chemnitzer v Aalen, Favorite: ,Chemnitzer, 498539   size:12.12,Price: ,1.88,Aalen, 208029   size:131.84,Price: ,5.0,The Draw, 58805   size:16.61,Price: ,3.65,x
1.122127994, Sport: ,Soccer, Time: ,Sat Dec 12 14:00:00 CET 2015, Time: ,Sat Dec 12 14:00:00 CET 2015, Event: ,Metz v Dijon, Favorite: ,Metz, 44795   size:27.97,Price: ,2.8,Dijon, 305995   size:21.95,Price: ,2.86,The Draw, 58805   size:12.86,Price: ,3.2,x
