1.119984953, Sport: ,Tennis, Time: ,Wed Aug 12 11:30:00 CEST 2015, Time: ,Wed Aug 12 11:30:00 CEST 2015, Event: ,Oprandi v Rojas, Favorite: ,Romina Oprandi, 2256455   size:553.94,Price: ,1.07,Guadalupe Rojas, 10147357   size:5.04,Price: ,4.1,ok
1.119958886, Sport: ,Volleyball, Time: ,Wed Aug 12 14:30:00 CEST 2015, Time: ,Wed Aug 12 14:30:00 CEST 2015, Event: ,Dominican Rep. U23 (W) v Peru U23 (W), Favorite: ,Peru U23 (W), 10142535   size:138.53,Price: ,1.01,x
1.119958884, Sport: ,Volleyball, Time: ,Wed Aug 12 14:30:00 CEST 2015, Time: ,Wed Aug 12 14:30:00 CEST 2015, Event: ,Italy U23 (W) v Bulgaria U23 (W), Favorite: ,Bulgaria U23 (W), 10142520   size:138.53,Price: ,1.01,x
1.119964969, Sport: ,Tennis, Time: ,Wed Aug 12 13:00:00 CEST 2015, Time: ,Wed Aug 12 13:00:00 CEST 2015, Event: ,Allertova v Sakkari, Favorite: ,Denisa Allertova, 8679183   size:4.7,Price: ,1.29,Maria Sakkari, 9002331   size:6.64,Price: ,3.7,ok
1.119869217, Sport: ,Soccer, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Niigata v Urawa, Favorite: ,Urawa, 441088   size:18.09,Price: ,2.08,Niigata, 744094   size:14.58,Price: ,3.65,The Draw, 58805   size:11.88,Price: ,3.85,ok
1.119965061, Sport: ,Tennis, Time: ,Wed Aug 12 11:30:00 CEST 2015, Time: ,Wed Aug 12 11:30:00 CEST 2015, Event: ,Hogenkamp v Muchova, Favorite: ,Richel Hogenkamp, 6440521   size:3.49,Price: ,1.26,Karolina Muchova, 9632758   size:19.13,Price: ,3.75,x
1.119868849, Sport: ,Soccer, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Kashiwa v Kobe, Favorite: ,Kashiwa, 441080   size:54.7,Price: ,2.46,Kobe, 441082   size:44.4,Price: ,3.05,The Draw, 58805   size:19.96,Price: ,3.6,ok
1.119970369, Sport: ,Soccer, Time: ,Wed Aug 12 14:00:00 CEST 2015, Time: ,Wed Aug 12 14:00:00 CEST 2015, Event: ,FK Sementchi Fargona v Lokomotiv BFK Tashkent, Favorite: ,Lokomotiv BFK Tashkent, 8644022   size:140.4,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.26,x
1.119965066, Sport: ,Tennis, Time: ,Wed Aug 12 10:30:00 CEST 2015, Time: ,Wed Aug 12 10:30:00 CEST 2015, Event: ,Pous-Tio v Koukalova, Favorite: ,Klara Koukalova, 8445700   size:3.15,Price: ,1.71,Laura Pous-Tio, 8443238   size:2.19,Price: ,2.24,x
1.119965067, Sport: ,Tennis, Time: ,Wed Aug 12 15:00:00 CEST 2015, Time: ,Wed Aug 12 15:00:00 CEST 2015, Event: ,Sevastova v Cetkovska, Favorite: ,Anastasija Sevastova, 2422070   size:99.82,Price: ,1.85,Petra Cetkovska, 2415583   size:5.07,Price: ,1.94,x
