1.121766403, Sport: ,Basketball, Time: ,Sun Nov 15 18:00:00 CET 2015, Time: ,Sun Nov 15 18:00:00 CET 2015, Event: ,Gipuzkoa v Fuenlabrada, Favorite: ,Fuenlabrada, 1273383   size:8.36,Price: ,1.04,Gipuzkoa, 7736138   size:5.0,Price: ,1.76,ok
1.121830170, Sport: ,Soccer, Time: ,Sun Nov 15 13:30:00 CET 2015, Time: ,Sun Nov 15 13:30:00 CET 2015, Event: ,Banik Most v Sokol Brozany, Favorite: ,Banik Most, 4940270   size:11.15,Price: ,1.1,Sokol Brozany, 4940262   size:11.15,Price: ,1.1,The Draw, 58805   size:3.92,Price: ,3.0,ok
1.121830055, Sport: ,Soccer, Time: ,Sun Nov 15 13:30:00 CET 2015, Time: ,Sun Nov 15 13:30:00 CET 2015, Event: ,Rudes v Hrvatski Dragovoljac, Favorite: ,Rudes, 4940512   size:4.55,Price: ,1.7,Hrvatski Dragovoljac, 3439336   size:16.98,Price: ,3.5,The Draw, 58805   size:2.47,Price: ,3.15,ok
1.121694337, Sport: ,Soccer, Time: ,Sun Nov 15 15:00:00 CET 2015, Time: ,Sun Nov 15 15:00:00 CET 2015, Event: ,Eupen v Tubize, Favorite: ,Eupen, 505721   size:9.76,Price: ,2.04,Tubize, 505722   size:53.41,Price: ,3.65,The Draw, 58805   size:2.54,Price: ,3.5,x
1.121823412, Sport: ,Soccer, Time: ,Sun Nov 15 16:00:00 CET 2015, Time: ,Sun Nov 15 16:00:00 CET 2015, Event: ,Boavista FC (W) v CF Benfica (W), Favorite: ,CF Benfica (W), 9558884   size:3.71,Price: ,1.09,Boavista FC (W), 10525699   size:11.15,Price: ,2.2,The Draw, 58805   size:11.36,Price: ,3.0,ok
1.121822565, Sport: ,Soccer, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,RS Gimnastica v CD Cayon, Favorite: ,RS Gimnastica, 5756669   size:11.15,Price: ,1.1,CD Cayon, 7331872   size:11.15,Price: ,1.1,The Draw, 58805   size:3.92,Price: ,2.92,ok
1.121822444, Sport: ,Soccer, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,Lebrijana v San Fernando CD, Favorite: ,Lebrijana, 9315717   size:11.15,Price: ,1.1,San Fernando CD, 9282888   size:11.15,Price: ,1.1,The Draw, 58805   size:11.36,Price: ,1.29,x
1.121697672, Sport: ,Soccer, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,Cordoba v Huesca, Favorite: ,Cordoba, 68247   size:34.81,Price: ,2.34,Huesca, 2250353   size:24.77,Price: ,3.7,The Draw, 58805   size:602.07,Price: ,3.2,x
1.121819326, Sport: ,Basketball, Time: ,Sun Nov 15 18:00:00 CET 2015, Time: ,Sun Nov 15 18:00:00 CET 2015, Event: ,Dabrowa Gornicza v Ostrow Wielkopolski, Favorite: ,Dabrowa Gornicza, 8889616   size:8.36,Price: ,1.04,Ostrow Wielkopolski, 10387986   size:8.36,Price: ,1.04,x
1.121819204, Sport: ,Tennis, Time: ,Sun Nov 15 07:24:00 CET 2015, Time: ,Sun Nov 15 07:24:00 CET 2015, Event: ,Rungkat v Takeshima, Favorite: ,Christopher Rungkat, 7688190   size:5.61,Price: ,1.06,Shunrou Takeshima, 8347759   size:5.66,Price: ,17.5,ok
1.121819209, Sport: ,Tennis, Time: ,Sun Nov 15 07:28:00 CET 2015, Time: ,Sun Nov 15 07:28:00 CET 2015, Event: ,Tamura v Kiryu, Favorite: ,Kazuya Tamura, 9626529   size:34.56,Price: ,1.11,Konosuke Kiryu, 8978435   size:19.81,Price: ,5.5,x
1.121824744, Sport: ,Soccer, Time: ,Sun Nov 15 13:30:00 CET 2015, Time: ,Sun Nov 15 13:30:00 CET 2015, Event: ,Persela Lamongan v Persib Bandung, Favorite: ,Persela Lamongan, 5227372   size:11.15,Price: ,1.1,Persib Bandung, 5221477   size:11.15,Price: ,1.1,The Draw, 58805   size:3.92,Price: ,3.0,x
1.121819322, Sport: ,Basketball, Time: ,Sun Nov 15 18:35:00 CET 2015, Time: ,Sun Nov 15 18:35:00 CET 2015, Event: ,Ironi Nahariya v Hapoel M Jerusalem, Favorite: ,Hapoel M Jerusalem, 7758971   size:6.04,Price: ,1.28,Ironi Nahariya, 8894680   size:22.83,Price: ,4.1,x
1.121766415, Sport: ,Basketball, Time: ,Sun Nov 15 13:00:00 CET 2015, Time: ,Sun Nov 15 13:00:00 CET 2015, Event: ,Real Madrid v Basquet Manresa, Favorite: ,Real Madrid, 266274   size:5.57,Price: ,1.06,Basquet Manresa, 2728338   size:8.13,Price: ,6.2,ok
1.121832534, Sport: ,Soccer, Time: ,Sun Nov 15 11:00:00 CET 2015, Time: ,Sun Nov 15 11:00:00 CET 2015, Event: ,KKP Bydgoszcz (W) v GOSiRKi Piasecz (W), Favorite: ,GOSiRKi Piasecz (W), 7781360   size:5.0,Price: ,1.43,KKP Bydgoszcz (W), 7609194   size:5.0,Price: ,2.02,The Draw, 58805   size:5.21,Price: ,3.05,ok
1.121781938, Sport: ,Handball, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,Savehof v Buducnost, Favorite: ,Buducnost, 680920   size:2.83,Price: ,1.03,Savehof, 374429   size:6.04,Price: ,1.42,Draw, 330157   size:6.04,Price: ,1.42,ok
1.121695259, Sport: ,Soccer, Time: ,Sun Nov 15 07:30:00 CET 2015, Time: ,Sun Nov 15 07:30:00 CET 2015, Event: ,Kawasaki v G-Osaka, Favorite: ,Kawasaki, 1080507   size:24.77,Price: ,2.38,G-Osaka, 441083   size:980.48,Price: ,3.05,The Draw, 58805   size:12.69,Price: ,3.75,x
1.121838081, Sport: ,Tennis, Time: ,Sun Nov 15 13:00:00 CET 2015, Time: ,Sun Nov 15 13:00:00 CET 2015, Event: ,Gerasimov v Lacko, Favorite: ,Lukas Lacko, 2263634   size:178.07,Price: ,1.7,Egor Gerasimov, 7797772   size:5.0,Price: ,2.36,x
1.121715232, Sport: ,Soccer, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,Famalicao v Covilha, Favorite: ,Famalicao, 5875376   size:76.58,Price: ,2.1,Covilha, 336269   size:3.25,Price: ,4.2,The Draw, 58805   size:2.0,Price: ,3.25,x
1.121822972, Sport: ,Soccer, Time: ,Sun Nov 15 13:00:00 CET 2015, Time: ,Sun Nov 15 13:00:00 CET 2015, Event: ,Radomiak Radom v Puszcza Niepolomice, Favorite: ,Radomiak Radom, 1306561   size:4.08,Price: ,1.81,Puszcza Niepolomice, 5751503   size:3.0,Price: ,3.1,The Draw, 58805   size:3.26,Price: ,3.05,x
1.121777795, Sport: ,Handball, Time: ,Sun Nov 15 15:00:00 CET 2015, Time: ,Sun Nov 15 15:00:00 CET 2015, Event: ,Kiel v HSV Handball, Favorite: ,Kiel, 2027628   size:142.81,Price: ,1.11,HSV Handball, 8093201   size:6.98,Price: ,1.17,Draw, 330157   size:6.73,Price: ,1.17,ok
1.121810102, Sport: ,Tennis, Time: ,Sun Nov 15 15:00:00 CET 2015, Time: ,Sun Nov 15 15:00:00 CET 2015, Event: ,N Djokovic v Nishikori, Favorite: ,Novak Djokovic, 2249229   size:362760.47,Price: ,1.09,Kei Nishikori, 2483001   size:256.06,Price: ,11.5,ok
1.121830110, Sport: ,Soccer, Time: ,Sun Nov 15 13:30:00 CET 2015, Time: ,Sun Nov 15 13:30:00 CET 2015, Event: ,Al Aqaba v Sahab SC, Favorite: ,Al Aqaba, 10255128   size:11.15,Price: ,1.1,Sahab SC, 6772868   size:11.15,Price: ,1.1,The Draw, 58805   size:3.92,Price: ,3.0,x
1.121819399, Sport: ,Basketball, Time: ,Sun Nov 15 18:00:00 CET 2015, Time: ,Sun Nov 15 18:00:00 CET 2015, Event: ,Lleida v Oviedo, Favorite: ,Lleida, 5021018   size:8.36,Price: ,1.04,Oviedo, 7736159   size:8.36,Price: ,1.04,x
1.121766672, Sport: ,Basketball, Time: ,Sun Nov 15 18:15:00 CET 2015, Time: ,Sun Nov 15 18:15:00 CET 2015, Event: ,Cantu v Avellino, Favorite: ,Avellino, 276213   size:8.36,Price: ,1.04,Cantu, 276214   size:18.51,Price: ,1.36,x
