1.122059087, Sport: ,Soccer, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,Atletico Mancha Real v UD San Pedro, Favorite: ,Atletico Mancha Real, 7331891   size:14.03,Price: ,1.05,UD San Pedro, 6929256   size:14.03,Price: ,1.05,The Draw, 58805   size:14.03,Price: ,1.05,ok
1.121921270, Sport: ,Soccer, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,Olimpija v Gorica, Favorite: ,Olimpija, 489147   size:283.64,Price: ,1.41,Gorica, 52799   size:6.2,Price: ,9.8,The Draw, 58805   size:249.99,Price: ,5.0,x
1.121989884, Sport: ,Basketball, Time: ,Mon Nov 30 03:30:00 CET 2015, Time: ,Mon Nov 30 03:30:00 CET 2015, Event: ,Indiana @ LA Lakers, Favorite: ,Indiana, 13116   size:5000.0,Price: ,1.19,LA Lakers, 2120881   size:11.85,Price: ,5.6,ok
1.121935793, Sport: ,Soccer, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,LDU Loja v Deportivo Quito, Favorite: ,LDU Loja, 6001716   size:2.83,Price: ,1.39,Deportivo Quito, 3209575   size:3.2,Price: ,9.4,The Draw, 58805   size:8.52,Price: ,4.6,ok
1.121983670, Sport: ,Soccer, Time: ,Mon Nov 30 00:00:00 CET 2015, Time: ,Mon Nov 30 00:00:00 CET 2015, Event: ,Toluca v Puebla, Favorite: ,Toluca, 230914   size:14.43,Price: ,1.88,Puebla, 328956   size:9.83,Price: ,4.6,The Draw, 58805   size:17.04,Price: ,3.85,ok
1.121985852, Sport: ,Ice Hockey, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,KAC Klagenfurt v Red Bull Salzburg, Favorite: ,KAC Klagenfurt, 1348429   size:2.83,Price: ,1.03,Red Bull Salzburg, 2584427   size:2.83,Price: ,1.03,Tie, 60104   size:2.83,Price: ,1.03,x
1.121932167, Sport: ,Soccer, Time: ,Sun Nov 29 19:30:00 CET 2015, Time: ,Sun Nov 29 19:30:00 CET 2015, Event: ,Steaua Bucharest v Astra Giurgiu, Favorite: ,Steaua Bucharest, 489080   size:7.22,Price: ,2.2,Astra Giurgiu, 4991412   size:516.24,Price: ,3.85,The Draw, 58805   size:46.06,Price: ,3.45,x
1.122065991, Sport: ,Soccer, Time: ,Sun Nov 29 20:30:00 CET 2015, Time: ,Sun Nov 29 20:30:00 CET 2015, Event: ,Margarita FC v LALA FC, Favorite: ,Margarita FC, 10104476   size:2.55,Price: ,1.55,LALA FC, 10429536   size:34.87,Price: ,5.0,The Draw, 58805   size:2.55,Price: ,3.25,ok
1.122072769, Sport: ,Soccer, Time: ,Mon Nov 30 16:00:00 CET 2015, Time: ,Mon Nov 30 16:00:00 CET 2015, Event: ,Croatia (W) v Turkey (W), Favorite: ,Croatia (W), 5910510   size:11.32,Price: ,1.1,Turkey (W), 4867495   size:11.32,Price: ,1.1,The Draw, 58805   size:14.19,Price: ,3.1,ok
1.121921502, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Benfica B v Famalicao, Favorite: ,Famalicao, 5875376   size:123.45,Price: ,1.57,Benfica B, 6563318   size:5.39,Price: ,7.6,The Draw, 58805   size:2.83,Price: ,4.2,ok
1.121857091, Sport: ,American Football, Time: ,Mon Nov 30 02:30:00 CET 2015, Time: ,Mon Nov 30 02:30:00 CET 2015, Event: ,New England @ Denver, Favorite: ,New England Patriots, 50204   size:176.52,Price: ,1.74,Denver Broncos, 50211   size:113.93,Price: ,2.32,x
1.121989094, Sport: ,Basketball, Time: ,Mon Nov 30 00:00:00 CET 2015, Time: ,Mon Nov 30 00:00:00 CET 2015, Event: ,Philadelphia @ Memphis, Favorite: ,Memphis, 119812   size:6000.0,Price: ,1.11,Philadelphia, 13103   size:91.19,Price: ,7.8,ok
1.121935317, Sport: ,Soccer, Time: ,Sun Nov 29 21:00:00 CET 2015, Time: ,Sun Nov 29 21:00:00 CET 2015, Event: ,Chapecoense v Goias, Favorite: ,Chapecoense, 2909511   size:61.0,Price: ,2.08,Goias, 198131   size:309.89,Price: ,4.1,The Draw, 58805   size:128.67,Price: ,3.55,x
1.122060737, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Lebrijana v Lucena CF, Favorite: ,Lebrijana, 9315717   size:14.03,Price: ,1.05,Lucena CF, 10243077   size:14.03,Price: ,1.05,The Draw, 58805   size:14.03,Price: ,1.05,x
1.122061706, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,UD Mutilvera v CA Osasuna II, Favorite: ,UD Mutilvera, 9397043   size:14.03,Price: ,1.05,CA Osasuna II, 9310975   size:2.0,Price: ,1.11,The Draw, 58805   size:14.03,Price: ,1.05,x
1.122065508, Sport: ,Soccer, Time: ,Sun Nov 29 22:00:00 CET 2015, Time: ,Sun Nov 29 22:00:00 CET 2015, Event: ,Isidro Metapan v CD UES, Favorite: ,Isidro Metapan, 4864112   size:3.06,Price: ,1.26,CD UES, 8464811   size:7.43,Price: ,8.2,The Draw, 58805   size:3.32,Price: ,4.4,x
1.121985986, Sport: ,Ice Hockey, Time: ,Sun Nov 29 17:20:00 CET 2015, Time: ,Sun Nov 29 17:20:00 CET 2015, Event: ,Plzen v Trinec, Favorite: ,Plzen, 563267   size:2.83,Price: ,1.03,Trinec, 563259   size:111.0,Price: ,2.34,Tie, 60104   size:2.83,Price: ,1.03,x
1.122017344, Sport: ,Volleyball, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Asseco Resovia Rzeszow v Cuprum Mundo Lubin, Favorite: ,Asseco Resovia Rzeszow, 3657095   size:8.68,Price: ,1.1,Cuprum Mundo Lubin, 10410557   size:18.0,Price: ,3.4,x
1.122061260, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,SD Logrones v Club Haro Deportivo, Favorite: ,SD Logrones, 6399685   size:14.03,Price: ,1.05,Club Haro Deportivo, 7536128   size:14.03,Price: ,1.05,The Draw, 58805   size:14.03,Price: ,1.05,ok
1.121922942, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Zaragoza v Ponferradina, Favorite: ,Zaragoza, 48798   size:5.67,Price: ,1.29,Ponferradina, 2028828   size:2.83,Price: ,19.0,The Draw, 58805   size:2.83,Price: ,5.7,ok
1.122005924, Sport: ,Ice Hockey, Time: ,Sun Nov 29 20:05:00 CET 2015, Time: ,Sun Nov 29 20:05:00 CET 2015, Event: ,Florida @ Detroit, Favorite: ,Detroit, 975676   size:16.52,Price: ,2.2,Florida, 2112317   size:103.0,Price: ,3.05,Tie, 60104   size:94.0,Price: ,3.95,x
1.122044491, Sport: ,Soccer, Time: ,Sun Nov 29 22:15:00 CET 2015, Time: ,Sun Nov 29 22:15:00 CET 2015, Event: ,Independiente v Racing Club, Favorite: ,Independiente, 194512   size:16.6,Price: ,2.3,Racing Club, 198558   size:83.01,Price: ,3.9,The Draw, 58805   size:33.38,Price: ,3.1,x
1.121923231, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Albacete v Elche, Favorite: ,The Draw, 58805   size:16.67,Price: ,2.62,Albacete, 309089   size:2.83,Price: ,2.7,Elche, 309111   size:2.83,Price: ,3.95,x
1.122032716, Sport: ,Soccer, Time: ,Sun Nov 29 22:00:00 CET 2015, Time: ,Sun Nov 29 22:00:00 CET 2015, Event: ,Santa Tecla v CD Atletico Marte, Favorite: ,Santa Tecla, 10152861   size:11.32,Price: ,1.1,CD Atletico Marte, 8459079   size:11.32,Price: ,1.1,The Draw, 58805   size:5.0,Price: ,3.15,x
1.122042993, Sport: ,Soccer, Time: ,Sun Nov 29 22:00:00 CET 2015, Time: ,Sun Nov 29 22:00:00 CET 2015, Event: ,Cerro Porteno v Nacional (Par), Favorite: ,Cerro Porteno, 335852   size:37.33,Price: ,1.48,Nacional (Par), 1370433   size:8.86,Price: ,7.2,The Draw, 58805   size:32.58,Price: ,4.8,ok
1.121856988, Sport: ,American Football, Time: ,Sun Nov 29 19:00:00 CET 2015, Time: ,Sun Nov 29 19:00:00 CET 2015, Event: ,New Orleans @ Houston, Favorite: ,Houston Texans, 179823   size:106.85,Price: ,1.64,New Orleans Saints, 50196   size:4.25,Price: ,2.54,ok
1.122059610, Sport: ,Soccer, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,CD Palencia v CD Burgos Promesas, Favorite: ,CD Palencia, 9282890   size:200.0,Price: ,1.11,CD Burgos Promesas, 10293071   size:10.04,Price: ,2.12,The Draw, 58805   size:14.19,Price: ,3.0,x
1.121965908, Sport: ,Handball, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Montpellier v Pick Szeged, Favorite: ,Montpellier, 3379953   size:2.83,Price: ,1.03,Pick Szeged, 2836305   size:2.83,Price: ,1.03,Draw, 330157   size:2.83,Price: ,1.03,x
