1.121119977, Sport: ,Basketball, Time: ,Wed Oct 07 21:15:00 CEST 2015, Time: ,Wed Oct 07 21:15:00 CEST 2015, Event: ,USK Praha (W) v Ekaterinburg (W), Favorite: ,USK Praha (W), 10387993   size:2.72,Price: ,1.02,Ekaterinburg (W), 6068594   size:2.72,Price: ,1.02,ok
1.121076961, Sport: ,Tennis, Time: ,Wed Oct 07 19:03:00 CEST 2015, Time: ,Wed Oct 07 19:03:00 CEST 2015, Event: ,Klein/Statham v Behar/Gonzales, Favorite: ,Behar/Gonzales, 10248541   size:2.72,Price: ,1.03,Klein/Statham, 8176552   size:28.61,Price: ,2.08,ok
1.121106809, Sport: ,Tennis, Time: ,Wed Oct 07 19:07:00 CEST 2015, Time: ,Wed Oct 07 19:07:00 CEST 2015, Event: ,Struvay v P Kobelt, Favorite: ,Eduardo Struvay, 7431682   size:61.07,Price: ,1.25,Peter Kobelt, 8798913   size:143.75,Price: ,4.4,ok
1.120989513, Sport: ,Soccer, Time: ,Wed Oct 07 20:30:00 CEST 2015, Time: ,Wed Oct 07 20:30:00 CEST 2015, Event: ,Union St Gilloise v Lommel Utd, Favorite: ,Union St Gilloise, 892024   size:92.97,Price: ,2.42,Lommel Utd, 5741869   size:72.07,Price: ,3.25,The Draw, 58805   size:117.37,Price: ,3.4,ok
1.121005131, Sport: ,Handball, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Meshkov Brest v La Rioja, Favorite: ,Meshkov Brest, 8838614   size:2.72,Price: ,1.01,La Rioja, 4995928   size:2.72,Price: ,1.01,Draw, 330157   size:2.72,Price: ,1.01,x
1.120989439, Sport: ,Soccer, Time: ,Wed Oct 07 20:30:00 CEST 2015, Time: ,Wed Oct 07 20:30:00 CEST 2015, Event: ,Verbroedering Geel v Heist, Favorite: ,Verbroedering Geel, 505724   size:31.07,Price: ,1.74,Heist, 4910877   size:59.81,Price: ,5.2,The Draw, 58805   size:278.65,Price: ,4.1,x
1.121092185, Sport: ,Tennis, Time: ,Wed Oct 07 20:30:00 CEST 2015, Time: ,Wed Oct 07 20:30:00 CEST 2015, Event: ,Brands v Bangoura, Favorite: ,Daniel Brands, 2395076   size:266.93,Price: ,1.44,Sekou Bangoura, 7066127   size:12.26,Price: ,3.2,ok
1.121061908, Sport: ,Soccer, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,VfB Auerbach v TSG Neustrelitz, Favorite: ,TSG Neustrelitz, 2495960   size:109.7,Price: ,2.34,VfB Auerbach, 6561504   size:14.34,Price: ,3.4,The Draw, 58805   size:127.23,Price: ,3.4,x
1.120989365, Sport: ,Soccer, Time: ,Wed Oct 07 20:30:00 CEST 2015, Time: ,Wed Oct 07 20:30:00 CEST 2015, Event: ,Dessel Sport v White Star Bruxelles, Favorite: ,White Star Bruxelles, 7408886   size:41.1,Price: ,2.32,Dessel Sport, 6587029   size:101.55,Price: ,3.3,The Draw, 58805   size:224.35,Price: ,3.7,ok
1.121106903, Sport: ,Tennis, Time: ,Wed Oct 07 21:30:00 CEST 2015, Time: ,Wed Oct 07 21:30:00 CEST 2015, Event: ,Moore v Min, Favorite: ,Grace Min, 6280340   size:2.55,Price: ,1.48,Tara Moore, 4822914   size:13.62,Price: ,2.76,ok
1.121018995, Sport: ,Handball, Time: ,Wed Oct 07 20:45:00 CEST 2015, Time: ,Wed Oct 07 20:45:00 CEST 2015, Event: ,Montpellier v Aix, Favorite: ,Montpellier, 3379953   size:2.64,Price: ,1.13,Aix, 6721925   size:3.19,Price: ,8.8,Draw, 330157   size:135.26,Price: ,13.0,ok
1.121017773, Sport: ,Soccer, Time: ,Wed Oct 07 21:00:00 CEST 2015, Time: ,Wed Oct 07 21:00:00 CEST 2015, Event: ,Ballinamallard Utd v Glenavon, Favorite: ,Glenavon, 46955   size:144.01,Price: ,1.69,Ballinamallard Utd, 3611091   size:103.31,Price: ,5.0,The Draw, 58805   size:65.58,Price: ,4.1,ok
