1.119121307, Sport: ,Tennis, Time: ,Wed Jun 10 15:00:00 CEST 2015, Time: ,Wed Jun 10 15:00:00 CEST 2015, Event: ,Niculescu v Govortsova, Favorite: ,Olga Govortsova, 2415575   size:6.51,Price: ,1.73,Monica Niculescu, 2309528   size:20.04,Price: ,2.36,xx
1.119121505, Sport: ,Tennis, Time: ,Wed Jun 10 18:15:00 CEST 2015, Time: ,Wed Jun 10 18:15:00 CEST 2015, Event: ,Cabal/Farah v Lopez/Nadal, Favorite: ,Lopez/Nadal, 4581066   size:5.76,Price: ,1.84,xx
1.119066841, Sport: ,Basketball, Time: ,Wed Jun 10 14:00:00 CEST 2015, Time: ,Wed Jun 10 14:00:00 CEST 2015, Event: ,Vietnam v Singapore, Favorite: ,Singapore, 5767311   size:4.99,Price: ,1.03,okok
1.119121509, Sport: ,Tennis, Time: ,Wed Jun 10 16:30:00 CEST 2015, Time: ,Wed Jun 10 16:30:00 CEST 2015, Event: ,Janowicz v Kohlschreiber, Favorite: ,Philipp Kohlschreiber, 2257302   size:195.86,Price: ,1.32,Jerzy Janowicz, 3103303   size:4.59,Price: ,3.95,okok
1.119107446, Sport: ,Tennis, Time: ,Wed Jun 10 13:00:00 CEST 2015, Time: ,Wed Jun 10 13:00:00 CEST 2015, Event: ,Dellacqua/Jurak v Chan/Zheng, Favorite: ,Chan/Zheng, 8461906   size:2.55,Price: ,1.56,Dellacqua/Jurak, 9348119   size:3.57,Price: ,2.24,okok
1.119113915, Sport: ,Basketball, Time: ,Wed Jun 10 18:30:00 CEST 2015, Time: ,Wed Jun 10 18:30:00 CEST 2015, Event: ,Panathinaikos v Olympiacos, Favorite: ,Olympiacos, 278582   size:42.06,Price: ,1.88,Panathinaikos, 266270   size:2.55,Price: ,2.0,okok
1.119073213, Sport: ,Handball, Time: ,Wed Jun 10 17:00:00 CEST 2015, Time: ,Wed Jun 10 17:00:00 CEST 2015, Event: ,Slovakia v Slovenia, Favorite: ,Slovenia, 620380   size:2.61,Price: ,1.16,Slovakia, 624132   size:12.06,Price: ,6.8,Draw, 330157   size:7.41,Price: ,11.5,okok
1.119103564, Sport: ,Tennis, Time: ,Wed Jun 10 11:00:00 CEST 2015, Time: ,Wed Jun 10 11:00:00 CEST 2015, Event: ,Beck/Berrer v Begemann/Knowle, Favorite: ,Begemann/Knowle, 8597196   size:2.33,Price: ,1.45,Beck/Berrer, 7420853   size:67.8,Price: ,2.88,okok
1.119113679, Sport: ,Tennis, Time: ,Wed Jun 10 10:00:00 CEST 2015, Time: ,Wed Jun 10 10:00:00 CEST 2015, Event: ,D Medvedev v Munoz-De La Nava, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:6.65,Price: ,1.33,Daniil Medvedev, 7797742   size:14.13,Price: ,3.8,okok
1.119117519, Sport: ,Tennis, Time: ,Wed Jun 10 13:00:00 CEST 2015, Time: ,Wed Jun 10 13:00:00 CEST 2015, Event: ,Monfils v A Haider-Maurer, Favorite: ,Gael Monfils, 2257300   size:608.56,Price: ,1.18,Andreas Haider-Maurer, 8260128   size:4.43,Price: ,6.2,okokok
1.119121074, Sport: ,Tennis, Time: ,Wed Jun 10 16:45:00 CEST 2015, Time: ,Wed Jun 10 16:45:00 CEST 2015, Event: ,Nielsen v B Klein, Favorite: ,Brydan Klein, 2759763   size:7.61,Price: ,1.75,Frederik Nielsen, 2444574   size:6.68,Price: ,2.14,okokok
1.119107442, Sport: ,Tennis, Time: ,Wed Jun 10 14:30:00 CEST 2015, Time: ,Wed Jun 10 14:30:00 CEST 2015, Event: ,Niculescu/Parra Santonj v Chan/Kudryavtseva, Favorite: ,Chan/Kudryavtseva, 9568458   size:2.55,Price: ,1.57,Niculescu/Parra Santonj, 9568457   size:2.55,Price: ,2.24,xxx
1.119121630, Sport: ,Tennis, Time: ,Wed Jun 10 16:00:00 CEST 2015, Time: ,Wed Jun 10 16:00:00 CEST 2015, Event: ,Herbert/Mahut v Nestor/Paes, Favorite: ,Nestor/Paes, 7592382   size:4.99,Price: ,1.03,xxx
1.119121233, Sport: ,Tennis, Time: ,Wed Jun 10 12:30:00 CEST 2015, Time: ,Wed Jun 10 12:30:00 CEST 2015, Event: ,T Daniel v Ghem, Favorite: ,Taro Daniel, 8173434   size:2.0,Price: ,1.55,Andre Ghem, 5304700   size:2.55,Price: ,2.7,okokok
1.119121430, Sport: ,Tennis, Time: ,Wed Jun 10 13:00:00 CEST 2015, Time: ,Wed Jun 10 13:00:00 CEST 2015, Event: ,Karlovic v T Ito, Favorite: ,Ivo Karlovic, 2263570   size:3.68,Price: ,1.4,Tatsuma Ito, 3374118   size:109.11,Price: ,3.25,okokok
