1.122353878, Sport: ,Cricket, Time: ,Tue Dec 29 12:00:00 CET 2015, Time: ,Tue Dec 29 12:00:00 CET 2015, Event: ,Afghanistan v Zimbabwe (2nd ODI), Favorite: ,Zimbabwe, 1006   size:3.15,Price: ,1.88,Afghanistan, 3786094   size:5.0,Price: ,2.06,x
1.122370772, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,KeuPa v JYP Akatemia, Favorite: ,KeuPa, 7138769   size:2.29,Price: ,1.87,JYP Akatemia, 5847122   size:12.0,Price: ,2.66,Tie, 60104   size:54.51,Price: ,4.1,ok
1.122370776, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,LeKi v K Vantaa, Favorite: ,K Vantaa, 2597484   size:15.05,Price: ,1.59,Leki, 4196564   size:2.58,Price: ,1.94,Tie, 60104   size:54.19,Price: ,4.1,x
1.122400062, Sport: ,Basketball, Time: ,Tue Dec 29 11:00:00 CET 2015, Time: ,Tue Dec 29 11:00:00 CET 2015, Event: ,Busan Sonicboom v Seoul Thunders, Favorite: ,Seoul Thunders, 8000107   size:44.4,Price: ,1.65,Busan Sonicboom, 8941900   size:101.0,Price: ,2.48,x
1.122370777, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,Heinolan Peliitat v TuTo, Favorite: ,TuTo, 4196542   size:6.71,Price: ,1.83,Heinolan Peliitat, 6022874   size:5.1,Price: ,2.74,Tie, 60104   size:37.26,Price: ,4.5,x
1.122309687, Sport: ,Ice Hockey, Time: ,Wed Dec 30 03:05:00 CET 2015, Time: ,Wed Dec 30 03:05:00 CET 2015, Event: ,Chicago @ Arizona, Favorite: ,Chicago, 2109831   size:3.98,Price: ,1.9,Arizona, 8867880   size:10.16,Price: ,2.98,Tie, 60104   size:2.63,Price: ,3.95,ok
1.122309681, Sport: ,Ice Hockey, Time: ,Wed Dec 30 03:05:00 CET 2015, Time: ,Wed Dec 30 03:05:00 CET 2015, Event: ,Los Angeles @ Edmonton, Favorite: ,Los Angeles, 2112286   size:13.65,Price: ,1.04,Edmonton, 2109967   size:13.65,Price: ,1.04,Tie, 60104   size:27.3,Price: ,3.9,ok
1.122361021, Sport: ,Basketball, Time: ,Wed Dec 30 01:00:00 CET 2015, Time: ,Wed Dec 30 01:00:00 CET 2015, Event: ,Princeton @ Miami (FL), Favorite: ,Princeton, 677356   size:10.0,Price: ,1.04,Miami (FL), 716668   size:10.0,Price: ,1.04,x
1.122369388, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Frederikshavn v Odense, Favorite: ,Odense, 70624   size:13.0,Price: ,1.61,Frederikshavn, 70626   size:3.17,Price: ,1.63,Tie, 60104   size:30.1,Price: ,5.5,ok
1.122369385, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Esbjerg v Sonderjyske, Favorite: ,SonderjyskE, 2719119   size:24.27,Price: ,1.14,Esbjerg, 70633   size:2.0,Price: ,2.0,Tie, 60104   size:53.0,Price: ,4.0,ok
1.122370760, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Wingate and Finchley v Enfield Town, Favorite: ,Wingate and Finchley, 8901995   size:2.65,Price: ,2.12,Enfield Town, 7133935   size:6.69,Price: ,3.25,The Draw, 58805   size:4.22,Price: ,3.75,x
1.122373872, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:00:00 CET 2015, Time: ,Tue Dec 29 17:00:00 CET 2015, Event: ,Lokomotiv v Metallurg Nk, Favorite: ,Lokomotiv, 2240051   size:5.68,Price: ,1.41,Metallurg Nk, 3599244   size:75.59,Price: ,8.0,Tie, 60104   size:3.19,Price: ,5.8,ok
1.122370762, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Staines Town v Farnborough, Favorite: ,Staines Town, 2608906   size:61.74,Price: ,2.2,Farnborough, 256188   size:8.01,Price: ,3.05,The Draw, 58805   size:3.87,Price: ,3.9,ok
1.122389251, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,Pelicans v Sport, Favorite: ,Pelicans, 66425   size:65.0,Price: ,1.96,Sport, 275249   size:94.0,Price: ,3.35,Tie, 60104   size:26.0,Price: ,4.6,x
1.122401140, Sport: ,Soccer, Time: ,Tue Dec 29 17:00:00 CET 2015, Time: ,Tue Dec 29 17:00:00 CET 2015, Event: ,Al Ahly v Aswan FC, Favorite: ,Al Ahly, 1328423   size:5.0,Price: ,1.31,Aswan FC, 10438158   size:35.49,Price: ,12.5,The Draw, 58805   size:13.25,Price: ,5.2,ok
1.122373877, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,Sochi v Sibir, Favorite: ,Sochi, 8796844   size:55.0,Price: ,2.18,Sibir, 2285014   size:14.16,Price: ,2.96,Tie, 60104   size:57.0,Price: ,4.2,ok
1.122361035, Sport: ,Basketball, Time: ,Wed Dec 30 02:00:00 CET 2015, Time: ,Wed Dec 30 02:00:00 CET 2015, Event: ,Cal Poly @ Texas A&M, Favorite: ,Texas A&M, 701629   size:10.0,Price: ,1.04,Cal Poly, 5145585   size:5.91,Price: ,1.31,ok
1.122309653, Sport: ,Ice Hockey, Time: ,Wed Dec 30 01:35:00 CET 2015, Time: ,Wed Dec 30 01:35:00 CET 2015, Event: ,Montreal @ Florida, Favorite: ,Florida, 2112317   size:2.62,Price: ,2.22,Montreal, 2112345   size:4.78,Price: ,2.98,Tie, 60104   size:2.63,Price: ,3.95,ok
1.122403434, Sport: ,Darts, Time: ,Tue Dec 29 16:45:00 CET 2015, Time: ,Tue Dec 29 16:45:00 CET 2015, Event: ,James Wade v Jamie Caven, Favorite: ,James Wade, 2409762   size:1052.45,Price: ,1.18,Jamie Caven, 2676604   size:152.22,Price: ,6.0,ok
1.122361031, Sport: ,Basketball, Time: ,Wed Dec 30 01:00:00 CET 2015, Time: ,Wed Dec 30 01:00:00 CET 2015, Event: ,Purdue @ Wisconsin, Favorite: ,Purdue, 697628   size:2.55,Price: ,1.06,Wisconsin, 352166   size:2.55,Price: ,1.63,ok
1.122369397, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Rodovre v Rungsted, Favorite: ,Rungsted, 70625   size:24.69,Price: ,1.12,Rodovre, 70628   size:2.72,Price: ,1.73,Tie, 60104   size:3.98,Price: ,4.2,x
1.122370674, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Cowdenbeath v Ayr, Favorite: ,Ayr, 48005   size:2.79,Price: ,2.1,Cowdenbeath, 674745   size:5.0,Price: ,3.65,The Draw, 58805   size:82.15,Price: ,3.8,x
1.122403310, Sport: ,Darts, Time: ,Tue Dec 29 21:30:00 CET 2015, Time: ,Tue Dec 29 21:30:00 CET 2015, Event: ,Gary Anderson v Vincent van der Voort, Favorite: ,Gary Anderson, 2409760   size:13.55,Price: ,1.18,Vincent van der Voort, 8369597   size:43.54,Price: ,5.6,ok
1.122400042, Sport: ,Basketball, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Unicaja Malaga v Darussafaka, Favorite: ,Unicaja Malaga, 266279   size:3.64,Price: ,1.25,Darussafaka, 631285   size:18.64,Price: ,4.3,ok
1.122360979, Sport: ,Basketball, Time: ,Tue Dec 29 21:00:00 CET 2015, Time: ,Tue Dec 29 21:00:00 CET 2015, Event: ,Temple @ Cincinnati, Favorite: ,Cincinnati, 332214   size:10.32,Price: ,1.04,Temple, 29839   size:5.91,Price: ,1.31,x
1.122309658, Sport: ,Ice Hockey, Time: ,Wed Dec 30 02:05:00 CET 2015, Time: ,Wed Dec 30 02:05:00 CET 2015, Event: ,Nashville @ St Louis, Favorite: ,Nashville, 2109832   size:13.65,Price: ,1.04,St Louis, 2110000   size:2.0,Price: ,1.94,Tie, 60104   size:5.91,Price: ,3.95,x
1.122316187, Sport: ,Volleyball, Time: ,Wed Dec 30 09:00:00 CET 2015, Time: ,Wed Dec 30 09:00:00 CET 2015, Event: ,GS Caltex Kixx v Korea Expressway, Favorite: ,GS Caltex Kixx, 10391693   size:3.0,Price: ,1.04,Korea Expressway, 10451170   size:3.0,Price: ,1.04,ok
1.122399776, Sport: ,Basketball, Time: ,Wed Dec 30 02:05:00 CET 2015, Time: ,Wed Dec 30 02:05:00 CET 2015, Event: ,Atlanta @ Houston, Favorite: ,Houston, 13123   size:3.07,Price: ,1.63,Atlanta, 13114   size:2.82,Price: ,1.77,x
