1.122300530, Sport: ,Tennis, Time: ,Thu Dec 17 03:00:00 CET 2015, Time: ,Thu Dec 17 03:00:00 CET 2015, Event: ,Mana Ayukawa v Hanyu Guo, Favorite: ,Mana Ayukawa, 7683134   size:8.5,Price: ,1.82,Hanyu Guo, 9657551   size:8.5,Price: ,1.82,ok
1.122213940, Sport: ,Soccer, Time: ,Thu Dec 17 20:45:00 CET 2015, Time: ,Thu Dec 17 20:45:00 CET 2015, Event: ,Feyenoord v Willem II, Favorite: ,Feyenoord, 55264   size:71.23,Price: ,1.35,Willem II, 48455   size:69.64,Price: ,10.0,The Draw, 58805   size:8.12,Price: ,5.8,x
1.122300131, Sport: ,Ice Hockey, Time: ,Thu Dec 17 19:30:00 CET 2015, Time: ,Thu Dec 17 19:30:00 CET 2015, Event: ,Poland v Italy, Favorite: ,Italy, 140149   size:18.0,Price: ,1.83,Poland, 140150   size:75.6,Price: ,2.06,Tie, 60104   size:75.6,Price: ,4.2,x
1.122286384, Sport: ,Basketball, Time: ,Thu Dec 17 04:35:00 CET 2015, Time: ,Thu Dec 17 04:35:00 CET 2015, Event: ,Phoenix @ Golden State, Favorite: ,Golden State, 13126   size:9232.55,Price: ,1.11,Phoenix, 13128   size:5.26,Price: ,9.6,ok
1.122308933, Sport: ,Tennis, Time: ,Thu Dec 17 12:30:00 CET 2015, Time: ,Thu Dec 17 12:30:00 CET 2015, Event: ,Ivana Jorovic v Cindy Burger, Favorite: ,Ivana Jorovic, 8907530   size:38.02,Price: ,1.2,Cindy Burger, 8535288   size:12.82,Price: ,3.05,ok
1.122308934, Sport: ,Tennis, Time: ,Thu Dec 17 12:30:00 CET 2015, Time: ,Thu Dec 17 12:30:00 CET 2015, Event: ,Cristina Dinu v Alexandra Cadantu, Favorite: ,Alexandra Cadantu, 5892551   size:5.95,Price: ,1.54,Cristina Dinu, 7216240   size:15.95,Price: ,2.32,ok
1.122308931, Sport: ,Tennis, Time: ,Thu Dec 17 11:00:00 CET 2015, Time: ,Thu Dec 17 11:00:00 CET 2015, Event: ,Lesley Kerkhove v Cagla Buyukakcay, Favorite: ,Cagla Buyukakcay, 3051579   size:5.95,Price: ,1.57,Lesley Kerkhove, 7283298   size:5.95,Price: ,2.26,ok
1.122204160, Sport: ,Basketball, Time: ,Thu Dec 17 02:00:00 CET 2015, Time: ,Thu Dec 17 02:00:00 CET 2015, Event: ,Savannah State @ Utah, Favorite: ,Utah, 13119   size:0.0,Price: ,0.0,Savannah State, 3530624   size:5.95,Price: ,1.14,ok
1.122284800, Sport: ,Volleyball, Time: ,Thu Dec 17 18:00:00 CET 2015, Time: ,Thu Dec 17 18:00:00 CET 2015, Event: ,Budvanska Rivijera Budv v Hypo Tirol Volleyballte, Favorite: ,Hypo Tirol Volleyballte, 10381394   size:222.37,Price: ,1.34,Budvanska Rivijera Budv, 10444797   size:2.55,Price: ,3.3,ok
1.122308932, Sport: ,Tennis, Time: ,Thu Dec 17 11:00:00 CET 2015, Time: ,Thu Dec 17 11:00:00 CET 2015, Event: ,Jana Fett v Natalia Vikhlyantseva, Favorite: ,Jana Fett, 9087351   size:5.95,Price: ,1.46,Natalia Vikhlyantseva, 9042370   size:5.95,Price: ,2.0,ok
