1.120998921, Sport: ,Ice Hockey, Time: ,Sun Oct 04 16:30:00 CEST 2015, Time: ,Sun Oct 04 16:30:00 CEST 2015, Event: ,Iserlohn v Schwenninger, Favorite: ,Iserlohn, 265130   size:67.0,Price: ,1.7,Schwenninger, 348569   size:68.0,Price: ,3.85,Tie, 60104   size:56.75,Price: ,5.1,ok
1.120979549, Sport: ,Soccer, Time: ,Sun Oct 04 21:15:00 CEST 2015, Time: ,Sun Oct 04 21:15:00 CEST 2015, Event: ,Godoy Cruz v CA Temperley, Favorite: ,Godoy Cruz, 1551296   size:20.24,Price: ,2.0,CA Temperley, 8742769   size:113.72,Price: ,4.5,The Draw, 58805   size:43.22,Price: ,3.3,ok
1.121060286, Sport: ,Tennis, Time: ,Sun Oct 04 08:30:00 CEST 2015, Time: ,Sun Oct 04 08:30:00 CEST 2015, Event: ,Begemann/Sitak v Johnson/Querrey, Favorite: ,Johnson/Querrey, 6542105   size:3.22,Price: ,1.38,Begemann/Sitak, 10299764   size:4.32,Price: ,2.5,ok
1.120910876, Sport: ,Soccer, Time: ,Sun Oct 04 18:00:00 CEST 2015, Time: ,Sun Oct 04 18:00:00 CEST 2015, Event: ,Sparta Prague v Slovacko, Favorite: ,Sparta Prague, 110475   size:985.19,Price: ,1.17,Slovacko, 1533861   size:2.7,Price: ,23.0,The Draw, 58805   size:5.55,Price: ,8.4,ok
1.120983597, Sport: ,Soccer, Time: ,Sun Oct 04 12:00:00 CEST 2015, Time: ,Sun Oct 04 12:00:00 CEST 2015, Event: ,Sporting Gijon B v Racing Santander, Favorite: ,Racing Santander, 24072   size:6.11,Price: ,2.4,Sporting Gijon B, 7602485   size:7.28,Price: ,3.1,The Draw, 58805   size:7.55,Price: ,3.4,ok
1.120983599, Sport: ,Soccer, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,Pontevedra CF v Coruxo, Favorite: ,Pontevedra CF, 9414423   size:7.96,Price: ,2.4,Coruxo, 4943232   size:26.96,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.3,ok
1.120941711, Sport: ,Soccer, Time: ,Sun Oct 04 23:00:00 CEST 2015, Time: ,Sun Oct 04 23:00:00 CEST 2015, Event: ,CD UES v Alianza FC, Favorite: ,Alianza FC, 5698496   size:3.42,Price: ,1.74,CD UES, 8464811   size:7.04,Price: ,3.8,The Draw, 58805   size:8.15,Price: ,3.1,ok
1.120911172, Sport: ,Soccer, Time: ,Sun Oct 04 14:00:00 CEST 2015, Time: ,Sun Oct 04 14:00:00 CEST 2015, Event: ,KTP v HIFK, Favorite: ,KTP, 3844374   size:15.97,Price: ,2.72,HIFK, 3847575   size:15.43,Price: ,2.8,The Draw, 58805   size:15.84,Price: ,3.4,ok
1.121061780, Sport: ,Tennis, Time: ,Sun Oct 04 08:15:00 CEST 2015, Time: ,Sun Oct 04 08:15:00 CEST 2015, Event: ,K Bondarenko v Strycova, Favorite: ,Barbora Strycova, 9416669   size:45.62,Price: ,1.91,Kateryna Bondarenko, 2291864   size:278.92,Price: ,2.06,x
1.120966642, Sport: ,Soccer, Time: ,Sun Oct 04 23:00:00 CEST 2015, Time: ,Sun Oct 04 23:00:00 CEST 2015, Event: ,Deportivo Municipal v Universitario, Favorite: ,Universitario, 330229   size:7.07,Price: ,2.64,Deportivo Municipal, 7295377   size:5.28,Price: ,2.88,The Draw, 58805   size:6.19,Price: ,3.25,ok
