1.121721696, Sport: ,Soccer, Time: ,Mon Nov 09 14:00:00 CET 2015, Time: ,Mon Nov 09 14:00:00 CET 2015, Event: ,Al Dhafra v Bani Yas, Favorite: ,Al Dhafra, 3584581   size:7.43,Price: ,2.12,Bani Yas, 6057930   size:7.18,Price: ,2.36,The Draw, 58805   size:4.03,Price: ,3.4,ok
1.121721531, Sport: ,Soccer, Time: ,Mon Nov 09 18:30:00 CET 2015, Time: ,Mon Nov 09 18:30:00 CET 2015, Event: ,Almere City U23 v Jong Utrecht, Favorite: ,Almere City U23, 10140536   size:3.63,Price: ,1.52,Jong Utrecht, 5295292   size:3.02,Price: ,1.84,The Draw, 58805   size:6.99,Price: ,3.4,ok
1.121721256, Sport: ,Soccer, Time: ,Mon Nov 09 19:00:00 CET 2015, Time: ,Mon Nov 09 19:00:00 CET 2015, Event: ,Bonsucesso v Macae, Favorite: ,Bonsucesso, 6089345   size:2.05,Price: ,1.36,Macae, 2763328   size:3.52,Price: ,1.88,The Draw, 58805   size:7.95,Price: ,2.88,x
1.121587926, Sport: ,Soccer, Time: ,Mon Nov 09 19:30:00 CET 2015, Time: ,Mon Nov 09 19:30:00 CET 2015, Event: ,Petrolul Ploiesti v Concordia Chiajna, Favorite: ,Petrolul Ploiesti, 3417863   size:79.6,Price: ,2.3,Concordia Chiajna, 5367199   size:35.65,Price: ,4.1,The Draw, 58805   size:672.48,Price: ,3.1,x
1.121716582, Sport: ,Tennis, Time: ,Mon Nov 09 11:00:00 CET 2015, Time: ,Mon Nov 09 11:00:00 CET 2015, Event: ,Doi v F Liu, Favorite: ,Misaki Doi, 4729711   size:34.98,Price: ,1.17,Fangzhou Liu, 8174145   size:5.0,Price: ,6.4,x
1.121716622, Sport: ,Tennis, Time: ,Mon Nov 09 09:30:00 CET 2015, Time: ,Mon Nov 09 09:30:00 CET 2015, Event: ,X Han v Wongteanchai, Favorite: ,Xinyun Han, 3172285   size:98.38,Price: ,1.42,Varatchaya Wongteanchai, 4503064   size:43.63,Price: ,3.15,x
1.121733239, Sport: ,Tennis, Time: ,Mon Nov 09 09:00:00 CET 2015, Time: ,Mon Nov 09 09:00:00 CET 2015, Event: ,Alibalic v Koplova, Favorite: ,Nina Alibalic, 9629314   size:14.98,Price: ,1.02,Tereza Koplova, 10350206   size:13.99,Price: ,1.03,ok
1.121715297, Sport: ,Tennis, Time: ,Mon Nov 09 19:00:00 CET 2015, Time: ,Mon Nov 09 19:00:00 CET 2015, Event: ,Hesse v Vekic, Favorite: ,Donna Vekic, 6603944   size:115.39,Price: ,1.45,Amandine Hesse, 7289620   size:236.77,Price: ,2.96,ok
1.121733237, Sport: ,Tennis, Time: ,Mon Nov 09 12:15:00 CET 2015, Time: ,Mon Nov 09 12:15:00 CET 2015, Event: ,Fridman v Soylu, Favorite: ,Olga Fridman, 9629716   size:26.31,Price: ,1.6,Ipek Soylu, 8397938   size:38.78,Price: ,2.34,x
1.121664615, Sport: ,Basketball, Time: ,Mon Nov 09 18:00:00 CET 2015, Time: ,Mon Nov 09 18:00:00 CET 2015, Event: ,Lokomotiv Kuban v CSKA Moscow, Favorite: ,CSKA Moscow, 266272   size:11.58,Price: ,1.45,Lokomotiv Kuban, 5508059   size:2.55,Price: ,2.9,ok
1.121733236, Sport: ,Tennis, Time: ,Mon Nov 09 08:30:00 CET 2015, Time: ,Mon Nov 09 08:30:00 CET 2015, Event: ,Mertens v Shinikova, Favorite: ,Isabella Shinikova, 7283220   size:131.05,Price: ,1.75,Elise Mertens, 9002334   size:114.51,Price: ,2.02,x
1.121587565, Sport: ,Soccer, Time: ,Mon Nov 09 20:30:00 CET 2015, Time: ,Mon Nov 09 20:30:00 CET 2015, Event: ,Crotone v Avellino, Favorite: ,Crotone, 60300   size:23.79,Price: ,2.32,Avellino, 501202   size:142.88,Price: ,3.65,The Draw, 58805   size:1773.85,Price: ,3.3,ok
1.121589543, Sport: ,Soccer, Time: ,Mon Nov 09 20:00:00 CET 2015, Time: ,Mon Nov 09 20:00:00 CET 2015, Event: ,Colchester U21 v Bolton U21, Favorite: ,Colchester U21, 6820442   size:4.77,Price: ,1.07,Bolton U21, 6594013   size:4.77,Price: ,1.07,The Draw, 58805   size:6.99,Price: ,2.88,ok
1.121733233, Sport: ,Tennis, Time: ,Mon Nov 09 08:30:00 CET 2015, Time: ,Mon Nov 09 08:30:00 CET 2015, Event: ,Sadikovic v Ianchuk, Favorite: ,Amra Sadikovic, 4183959   size:128.12,Price: ,1.25,Olga Ianchuk, 7429432   size:128.12,Price: ,2.1,ok
1.121679713, Sport: ,Volleyball, Time: ,Mon Nov 09 11:00:00 CET 2015, Time: ,Mon Nov 09 11:00:00 CET 2015, Event: ,KB Star Insurance v Incheon Korean Air Jumb, Favorite: ,KB Star Insurance, 10411665   size:702.54,Price: ,1.01,Incheon Korean Air Jumb, 10389010   size:702.54,Price: ,1.01,x
1.121589541, Sport: ,Soccer, Time: ,Mon Nov 09 20:00:00 CET 2015, Time: ,Mon Nov 09 20:00:00 CET 2015, Event: ,Reggiana v Cuneo, Favorite: ,Reggiana, 522049   size:36.21,Price: ,1.69,Cuneo, 2012829   size:6.19,Price: ,6.0,The Draw, 58805   size:2.74,Price: ,3.75,x
1.121721090, Sport: ,Soccer, Time: ,Mon Nov 09 12:00:00 CET 2015, Time: ,Mon Nov 09 12:00:00 CET 2015, Event: ,MIKA FC II v Alashkert FC II, Favorite: ,Alashkert FC II, 7444729   size:2.73,Price: ,1.73,MIKA FC II, 10506583   size:2.71,Price: ,2.42,The Draw, 58805   size:5.52,Price: ,3.25,ok
