1.122079581, Sport: ,Soccer, Time: ,Tue Dec 01 12:00:00 CET 2015, Time: ,Tue Dec 01 12:00:00 CET 2015, Event: ,Sariyer v Kayserispor, Favorite: ,Kayserispor, 508789   size:15.87,Price: ,1.72,Sariyer, 965421   size:14.69,Price: ,3.8,The Draw, 58805   size:13.72,Price: ,3.15,ok
1.122068319, Sport: ,Basketball, Time: ,Tue Dec 01 02:00:00 CET 2015, Time: ,Tue Dec 01 02:00:00 CET 2015, Event: ,Oklahoma City @ Atlanta, Favorite: ,Oklahoma City, 3363394   size:103.65,Price: ,1.8,Atlanta, 13114   size:32.04,Price: ,2.18,x
1.122080067, Sport: ,Soccer, Time: ,Tue Dec 01 02:40:00 CET 2015, Time: ,Tue Dec 01 02:40:00 CET 2015, Event: ,Cavalier SC v Montego Bay Utd, Favorite: ,Montego Bay Utd, 10105826   size:4.99,Price: ,1.23,Cavalier SC, 7837992   size:16.45,Price: ,1.53,The Draw, 58805   size:4.99,Price: ,3.15,x
1.122042608, Sport: ,Soccer, Time: ,Mon Nov 30 20:45:00 CET 2015, Time: ,Mon Nov 30 20:45:00 CET 2015, Event: ,Farnborough v Hendon, Favorite: ,Farnborough, 256188   size:3.51,Price: ,2.28,Hendon, 1034127   size:5.32,Price: ,2.82,The Draw, 58805   size:5.39,Price: ,3.75,ok
1.121991007, Sport: ,Ice Hockey, Time: ,Tue Dec 01 12:30:00 CET 2015, Time: ,Tue Dec 01 12:30:00 CET 2015, Event: ,Barys v Dynamo Moscow, Favorite: ,Dynamo Moscow, 1252378   size:260.82,Price: ,2.2,Barys, 3328562   size:69.0,Price: ,2.78,Tie, 60104   size:69.0,Price: ,4.4,x
1.122056333, Sport: ,Cricket, Time: ,Tue Dec 01 09:00:00 CET 2015, Time: ,Tue Dec 01 09:00:00 CET 2015, Event: ,Rangpur v Chittagong, Favorite: ,Rangpur, 6965213   size:2.79,Price: ,1.87,Chittagong, 6119242   size:2.73,Price: ,2.06,ok
1.122083691, Sport: ,Snooker, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,David Grace v Jack Lisowski, Favorite: ,Jack Lisowski, 5119439   size:164.17,Price: ,1.51,David Grace, 3439626   size:8.55,Price: ,2.84,x
1.121980519, Sport: ,Soccer, Time: ,Tue Dec 01 01:00:00 CET 2015, Time: ,Tue Dec 01 01:00:00 CET 2015, Event: ,OHiggins v Cobresal, Favorite: ,OHiggins, 5129871   size:337.89,Price: ,1.59,Cobresal, 5129865   size:8.68,Price: ,6.2,The Draw, 58805   size:268.24,Price: ,4.4,ok
1.121926003, Sport: ,Soccer, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,Jong Ajax v Sparta Rotterdam, Favorite: ,Sparta Rotterdam, 111703   size:116.37,Price: ,1.69,Jong Ajax, 4184832   size:42.58,Price: ,5.1,The Draw, 58805   size:51.78,Price: ,4.5,x
1.121984318, Sport: ,Soccer, Time: ,Tue Dec 01 16:00:00 CET 2015, Time: ,Tue Dec 01 16:00:00 CET 2015, Event: ,South Africa U23 v Zambia U23, Favorite: ,South Africa U23, 10233250   size:35.93,Price: ,1.02,Zambia U23, 10559733   size:35.93,Price: ,1.02,The Draw, 58805   size:14.24,Price: ,3.1,ok
1.121937607, Sport: ,Soccer, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,Brighton U21 v Arsenal U21, Favorite: ,Arsenal U21, 6667763   size:2.55,Price: ,1.44,Brighton U21, 6865403   size:5.42,Price: ,3.6,The Draw, 58805   size:2.55,Price: ,3.55,ok
