1.122370224, Sport: ,Soccer, Time: ,Tue Dec 29 16:00:00 CET 2015, Time: ,Tue Dec 29 16:00:00 CET 2015, Event: ,Leixoes v Rio Ave, Favorite: ,Rio Ave, 495321   size:378.65,Price: ,2.16,Leixoes, 146050   size:252.0,Price: ,4.0,The Draw, 58805   size:366.3,Price: ,3.35,ok
1.122397603, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Switzerland v Canada, Favorite: ,Canada, 140140   size:200.0,Price: ,1.06,Switzerland, 140147   size:15.5,Price: ,12.0,Tie, 60104   size:15.69,Price: ,9.0,x
1.122373857, Sport: ,Ice Hockey, Time: ,Tue Dec 29 14:30:00 CET 2015, Time: ,Tue Dec 29 14:30:00 CET 2015, Event: ,Barys v CSKA, Favorite: ,CSKA, 2240050   size:70.0,Price: ,1.82,Barys, 3328562   size:10.27,Price: ,3.95,Tie, 60104   size:70.0,Price: ,4.4,x
1.122316673, Sport: ,Handball, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Aranas v Alingsas, Favorite: ,Alingsas, 2929600   size:8.53,Price: ,1.11,Aranas, 3343966   size:2.62,Price: ,1.22,Draw, 330157   size:2.62,Price: ,1.37,ok
1.122376074, Sport: ,Basketball, Time: ,Tue Dec 29 02:35:00 CET 2015, Time: ,Tue Dec 29 02:35:00 CET 2015, Event: ,Milwaukee @ Dallas, Favorite: ,Dallas, 13122   size:166.0,Price: ,1.27,Milwaukee, 13115   size:98.0,Price: ,3.55,ok
1.122404904, Sport: ,Soccer, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Maccabi Beer Sheva (W) v M Kishronot Hadera (W), Favorite: ,M Kishronot Hadera (W), 6934015   size:32.01,Price: ,1.02,Maccabi Beer Sheva (W), 6921688   size:3.52,Price: ,11.0,The Draw, 58805   size:2.6,Price: ,3.4,ok
1.122309632, Sport: ,Ice Hockey, Time: ,Wed Dec 30 01:05:00 CET 2015, Time: ,Wed Dec 30 01:05:00 CET 2015, Event: ,Ottawa @ Boston, Favorite: ,Boston, 2112316   size:3.35,Price: ,1.9,Ottawa, 2108072   size:5.91,Price: ,3.05,Tie, 60104   size:7.62,Price: ,3.7,ok
1.122403458, Sport: ,Darts, Time: ,Tue Dec 29 22:45:00 CET 2015, Time: ,Tue Dec 29 22:45:00 CET 2015, Event: ,Michael van Gerwen v Raymond van Barneveld, Favorite: ,Michael van Gerwen, 2475370   size:9627.01,Price: ,1.14,Raymond van Barneveld, 2401318   size:20.34,Price: ,8.0,x
1.122370768, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,jukurit v SaPKo, Favorite: ,Sapko, 4196539   size:9.01,Price: ,1.16,Jukurit, 272756   size:286.93,Price: ,1.26,Tie, 60104   size:13.82,Price: ,6.4,x
1.122370449, Sport: ,Soccer, Time: ,Tue Dec 29 21:00:00 CET 2015, Time: ,Tue Dec 29 21:00:00 CET 2015, Event: ,Sporting Lisbon v Pacos Ferreira, Favorite: ,Sporting Lisbon, 2506293   size:71.8,Price: ,1.48,Pacos Ferreira, 48787   size:19.95,Price: ,7.8,The Draw, 58805   size:3.79,Price: ,4.7,ok
