1.119965136, Sport: ,Soccer, Time: ,Wed Aug 12 18:00:00 CEST 2015, Time: ,Wed Aug 12 18:00:00 CEST 2015, Event: ,CF Torre Levante v Villarreal B, Favorite: ,Villarreal B, 2522842   size:140.0,Price: ,1.06,The Draw, 58805   size:4.8,Price: ,1.25,ok
1.119968327, Sport: ,Soccer, Time: ,Wed Aug 12 18:00:00 CEST 2015, Time: ,Wed Aug 12 18:00:00 CEST 2015, Event: ,Nyul SC v Haladas, Favorite: ,Haladas, 505951   size:23.12,Price: ,1.1,The Draw, 58805   size:8.14,Price: ,7.6,Nyul SC, 10143764   size:14.36,Price: ,26.0,ok
1.119867260, Sport: ,Soccer, Time: ,Wed Aug 12 18:00:00 CEST 2015, Time: ,Wed Aug 12 18:00:00 CEST 2015, Event: ,Sarpsborg v Odd, Favorite: ,Odd, 955466   size:22.69,Price: ,2.36,Sarpsborg, 778903   size:176.46,Price: ,3.1,The Draw, 58805   size:2.01,Price: ,3.7,x
1.119949304, Sport: ,Soccer, Time: ,Wed Aug 12 20:00:00 CEST 2015, Time: ,Wed Aug 12 20:00:00 CEST 2015, Event: ,Borac Cacak v Javor, Favorite: ,Borac Cacak, 2020561   size:32.01,Price: ,2.3,The Draw, 58805   size:3.78,Price: ,3.3,Javor, 3258168   size:14.29,Price: ,3.5,x
1.119864390, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Sandnes Ulf v Follo, Favorite: ,Sandnes Ulf, 778909   size:26.18,Price: ,1.83,The Draw, 58805   size:24.4,Price: ,3.95,Follo, 398301   size:19.01,Price: ,4.6,ok
1.119967877, Sport: ,Soccer, Time: ,Wed Aug 12 22:00:00 CEST 2015, Time: ,Wed Aug 12 22:00:00 CEST 2015, Event: ,Zulia v Union Atletico Falcon, Favorite: ,Zulia, 8018679   size:6.0,Price: ,1.28,The Draw, 58805   size:2.99,Price: ,2.8,Union Atletico Falcon, 9989662   size:6.0,Price: ,4.9,x
1.119985966, Sport: ,Tennis, Time: ,Wed Aug 12 20:00:00 CEST 2015, Time: ,Wed Aug 12 20:00:00 CEST 2015, Event: ,Cibulkova v Cornet, Favorite: ,Dominika Cibulkova, 2301145   size:75.16,Pricx
1.119867470, Sport: ,Soccer, Time: ,Wed Aug 12 19:45:00 CEST 2015, Time: ,Wed Aug 12 19:45:00 CEST 2015, Event: ,FC Basel v Thun, Favorite: ,FC Basel, 2939090   size:121.2,Price: ,1.43,The Draw, 58805   size:45.36,Price: ,5.2,Thun, 176184   size:6.69,Price: ,9.2,ok
1.119867751, Sport: ,Soccer, Time: ,Wed Aug 12 17:30:00 CEST 2015, Time: ,Wed Aug 12 17:30:00 CEST 2015, Event: ,HJK Helsinki v Lahti, Favorite: ,HJK Helsinki, 6390   size:36.69,Price: ,1.81,The Draw, 58805   size:105.7,Price: ,3.7,Lahti, 139506   size:11.21,Price: ,5.5,ok
1.119845916, Sport: ,Soccer, Time: ,Wed Aug 12 18:30:00 CEST 2015, Time: ,Wed Aug 12 18:30:00 CEST 2015, Event: ,IF Foroyar v Hvidovre, Favorite: ,IF Foroyar, 6649048   size:140.3,Price: ,1.06,Hvidovre, 151007   size:18.01,Price: ,1.1,The Draw, 58805   size:3.24,Price: ,1.26,x
1.119968214, Sport: ,Soccer, Time: ,Wed Aug 12 17:00:00 CEST 2015, Time: ,Wed Aug 12 17:00:00 CEST 2015, Event: ,FC Heviz v Szolnoki MAV, Favorite: ,Szolnoki Mav, 4856422   size:140.0,Price: ,1.06,The Draw, 58805   size:3.24,Price: ,1.27,ok
1.119864246, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Jerv v Hodd, Favorite: ,Jerv, 398186   size:35.92,Price: ,1.78,The Draw, 58805   size:19.53,Price: ,3.95,Hodd, 44824   size:3.33,Price: ,4.9,x
1.119864762, Sport: ,Soccer, Time: ,Wed Aug 12 20:00:00 CEST 2015, Time: ,Wed Aug 12 20:00:00 CEST 2015, Event: ,Bury FC B v Rochdale B, Favorite: ,Rochdale B, 10119403   size:11.76,Price: ,1.08,The Draw, 58805   size:3.58,Price: ,1.29,x
1.119970806, Sport: ,Tennis, Time: ,Wed Aug 12 20:30:00 CEST 2015, Time: ,Wed Aug 12 20:30:00 CEST 2015, Event: ,Nadal v Stakhovsky, Favorite: ,Rafael Nadal, 2251410   size:1443.13,Price: ,1.09,Sergiy Stakhovsky, 2284304   size:54.94,Price: ,11.5,ok
1.119949135, Sport: ,Soccer, Time: ,Wed Aug 12 17:00:00 CEST 2015, Time: ,Wed Aug 12 17:00:00 CEST 2015, Event: ,Rad v Mladost Lucani, Favorite: ,Rad, 3258167   size:35.99,Price: ,2.36,Mladost Lucani, 2503610   size:125.55,Price: ,3.25,The Draw, 58805   size:6.45,Price: ,3.3,ok
1.119968738, Sport: ,Soccer, Time: ,Wed Aug 12 20:45:00 CEST 2015, Time: ,Wed Aug 12 20:45:00 CEST 2015, Event: ,Lewes v Metropolitan Police FC, Favorite: ,Metropolitan Police FC, 6737411   size:11.93,Price: ,2.14,Lewes, 63283   size:11.38,Price: ,2.5,The Draw, 58805   size:19.71,Price: ,3.4,ok
1.119985434, Sport: ,Tennis, Time: ,Wed Aug 12 18:30:00 CEST 2015, Time: ,Wed Aug 12 18:30:00 CEST 2015, Event: ,Chardy v L Mayer, Favorite: ,Jeremy Chardy, 2304933   size:84.18,Price: ,1.94,Leonardo Mayer, 3186303   size:38.79,Price: ,2.02,ok
1.119965346, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Valladolid B v Real Madrid B, Favorite: ,Valladolid B, 2250344   size:9.41,Price: ,2.36,Real Madrid B, 6539994   size:3.18,Price: ,2.6,The Draw, 58805   size:2.69,Price: ,3.15,x
1.119985558, Sport: ,Tennis, Time: ,Wed Aug 12 17:45:00 CEST 2015, Time: ,Wed Aug 12 17:45:00 CEST 2015, Event: ,Gojowczyk v Gombos, Favorite: ,Peter Gojowczyk, 4691416   size:13.54,Price: ,1.71,Norbert Gombos, 8173023   size:74.06,Price: ,2.26,x
1.119985618, Sport: ,Tennis, Time: ,Wed Aug 12 18:30:00 CEST 2015, Time: ,Wed Aug 12 18:30:00 CEST 2015, Event: ,Govortsova v A Ivanovic, Favorite: ,Ana Ivanovic, 2249841   size:76.31,Price: ,1.41,Olga Govortsova, 2415575   size:339.49,Price: ,3.35,ok
1.119949001, Sport: ,Soccer, Time: ,Wed Aug 12 20:00:00 CEST 2015, Time: ,Wed Aug 12 20:00:00 CEST 2015, Event: ,Radnicki Nis v Vozdovac, Favorite: ,Radnicki Nis, 6555084   size:32.64,Price: ,1.69,The Draw, 58805   size:2.64,Price: ,3.5,Vozdovac, 2020583   size:6.81,Price: ,6.0,x
1.119894248, Sport: ,Handball, Time: ,Wed Aug 12 17:00:00 CEST 2015, Time: ,Wed Aug 12 17:00:00 CEST 2015, Event: ,Croatia U19 v Qatar U19, Favorite: ,Croatia U19, 7554775   size:4.54,Price: ,2.16,Qatar U19, 7554677   size:3.16,Price: ,2.3,Draw, 330157   size:3.9,Price: ,7.8,ok
1.119867400, Sport: ,Soccer, Time: ,Wed Aug 12 19:45:00 CEST 2015, Time: ,Wed Aug 12 19:45:00 CEST 2015, Event: ,FC Wil v Wohlen, Favorite: ,FC Wil, 179085   size:41.77,Price: ,2.54,Wohlen, 457844   size:4.84,Price: ,2.86,The Draw, 58805   size:91.12,Price: ,3.6,x
1.119973651, Sport: ,Tennis, Time: ,Wed Aug 12 16:00:00 CEST 2015, Time: ,Wed Aug 12 16:00:00 CEST 2015, Event: ,Mi Basic v Ilkel, Favorite: ,Mirza Basic, 5499167   size:156.95,Price: ,1.22,Cem Ilkel, 8444055   size:19.85,Price: ,4.5,ok
1.119973695, Sport: ,Baseball, Time: ,Wed Aug 12 21:40:00 CEST 2015, Time: ,Wed Aug 12 21:40:00 CEST 2015, Event: ,PHI @ ARI, Favorite: ,Arizona (C Anderson), 8522020   size:5.94,Price: ,1.67,Philadelphia (A Nola), 10036247   size:3.99,Price: ,2.46,x
