1.122180671, Sport: ,Handball, Time: ,Tue Dec 08 18:15:00 CET 2015, Time: ,Tue Dec 08 18:15:00 CET 2015, Event: ,Spain v Romania, Favorite: ,Draw, 330157   size:18.0,Price: ,1.18,Spain, 620381   size:17.0,Price: ,1.3,Romania, 620376   size:18.0,Price: ,1.85,x
1.122177547, Sport: ,Basketball, Time: ,Tue Dec 08 11:00:00 CET 2015, Time: ,Tue Dec 08 11:00:00 CET 2015, Event: ,Busan Sonicboom v Anyang KGC Pro, Favorite: ,Busan Sonicboom, 8941900   size:381.64,Price: ,1.07,Anyang KGC Pro, 10276570   size:1315.93,Price: ,1.07,x
1.121988152, Sport: ,Ice Hockey, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Frolunda v Lulea, Favorite: ,Frolunda, 60808   size:16.43,Price: ,1.65,Lulea, 337769   size:5.99,Price: ,3.05,Tie, 60104   size:66.0,Price: ,5.0,ok
1.122098695, Sport: ,Soccer, Time: ,Tue Dec 08 17:00:00 CET 2015, Time: ,Tue Dec 08 17:00:00 CET 2015, Event: ,CD Cristo Atletico v CD Mirandes II, Favorite: ,CD Mirandes II, 8859060   size:2.55,Price: ,1.13,CD Cristo Atletico, 8278815   size:8.58,Price: ,2.06,The Draw, 58805   size:18.04,Price: ,3.1,x
1.122094372, Sport: ,Soccer, Time: ,Tue Dec 08 15:00:00 CET 2015, Time: ,Tue Dec 08 15:00:00 CET 2015, Event: ,Cesena v Trapani, Favorite: ,Cesena, 501219   size:27.75,Price: ,1.97,Trapani, 4893594   size:46.23,Price: ,4.6,The Draw, 58805   size:71.39,Price: ,3.5,x
1.122187271, Sport: ,Soccer, Time: ,Tue Dec 08 15:00:00 CET 2015, Time: ,Tue Dec 08 15:00:00 CET 2015, Event: ,Shabab Al Amari v Shabab Al Khaleel, Favorite: ,Shabab Al Khaleel, 8270303   size:12.82,Price: ,1.71,Shabab Al Amari, 8249728   size:11.97,Price: ,1.76,The Draw, 58805   size:12.49,Price: ,3.15,ok
1.122194642, Sport: ,Soccer, Time: ,Tue Dec 08 13:00:00 CET 2015, Time: ,Tue Dec 08 13:00:00 CET 2015, Event: ,Arucas CF v Atletico Granadilla, Favorite: ,Arucas CF, 9053708   size:9.22,Price: ,1.06,Atletico Granadilla, 9315702   size:9.22,Price: ,1.06,The Draw, 58805   size:15.26,Price: ,3.1,x
1.122166372, Sport: ,Basketball, Time: ,Tue Dec 08 02:05:00 CET 2015, Time: ,Tue Dec 08 02:05:00 CET 2015, Event: ,LA Clippers @ Minnesota, Favorite: ,Minnesota, 13118   size:2.0,Price: ,1.96,LA Clippers, 237489   size:111.95,Price: ,1.99,x
1.122186186, Sport: ,Soccer, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Partick U20 v Dundee Utd U20, Favorite: ,Partick U20, 9001451   size:3.68,Price: ,1.11,Dundee Utd U20, 6868316   size:3.68,Price: ,1.11,The Draw, 58805   size:16.65,Price: ,3.1,x
1.122191530, Sport: ,Basketball, Time: ,Tue Dec 08 20:30:00 CET 2015, Time: ,Tue Dec 08 20:30:00 CET 2015, Event: ,Mithra Castors Braine W v Nadezhda (W), Favorite: ,Nadezhda (W), 5290907   size:1315.93,Price: ,1.04,Castors Braine (W), 10324072   size:381.64,Price: ,1.05,ok
1.122097826, Sport: ,Soccer, Time: ,Tue Dec 08 12:00:00 CET 2015, Time: ,Tue Dec 08 12:00:00 CET 2015, Event: ,UE Rubi v Sabadell, Favorite: ,Sabadell, 565026   size:50.0,Price: ,1.28,UE Rubi, 6929307   size:2.74,Price: ,2.02,The Draw, 58805   size:16.65,Price: ,3.1,x
1.122166412, Sport: ,Basketball, Time: ,Tue Dec 08 01:05:00 CET 2015, Time: ,Tue Dec 08 01:05:00 CET 2015, Event: ,San Antonio @ Philadelphia, Favorite: ,San Antonio, 13121   size:12270.96,Price: ,1.13,Philadelphia, 13103   size:153.17,Price: ,8.0,ok
1.122183989, Sport: ,Tennis, Time: ,Tue Dec 08 09:30:00 CET 2015, Time: ,Tue Dec 08 09:30:00 CET 2015, Event: ,Shivika Burman v Ulrikke Eikeri, Favorite: ,Ulrikke Eikeri, 8679187   size:5.08,Price: ,1.05,Shivika Burman, 9626259   size:13.87,Price: ,11.0,ok
1.122184957, Sport: ,Soccer, Time: ,Tue Dec 08 16:30:00 CET 2015, Time: ,Tue Dec 08 16:30:00 CET 2015, Event: ,CD Quintanar del Rey v CD Pedroneras, Favorite: ,CD Quintanar del Rey, 8357614   size:3.68,Price: ,1.11,CD Pedroneras, 8517232   size:8.91,Price: ,2.02,The Draw, 58805   size:15.26,Price: ,3.1,ok
1.122184569, Sport: ,Soccer, Time: ,Tue Dec 08 22:00:00 CET 2015, Time: ,Tue Dec 08 22:00:00 CET 2015, Event: ,Bahia Salvador U20 v Coritiba U20, Favorite: ,Bahia Salvador U20, 6846709   size:770.48,Price: ,1.51,Coritiba U20, 5181414   size:770.48,Price: ,1.51,The Draw, 58805   size:210.67,Price: ,3.25,x
1.122098401, Sport: ,Soccer, Time: ,Tue Dec 08 11:30:00 CET 2015, Time: ,Tue Dec 08 11:30:00 CET 2015, Event: ,CD Illescas v CP Villarrobledo, Favorite: ,CD Illescas, 6962248   size:3.68,Price: ,1.11,CP Villarrobledo, 9414421   size:8.74,Price: ,2.04,The Draw, 58805   size:10.0,Price: ,3.2,ok
1.122097277, Sport: ,Ice Hockey, Time: ,Tue Dec 08 19:45:00 CET 2015, Time: ,Tue Dec 08 19:45:00 CET 2015, Event: ,Rungsted v Gentofte, Favorite: ,Gentofte, 8834861   size:18.0,Price: ,1.38,Rungsted, 70625   size:65.26,Price: ,1.63,Tie, 60104   size:33.04,Price: ,5.2,x
1.122186739, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Spennymoor Town v Ossett Town FC, Favorite: ,Spennymoor Town, 7536171   size:3.68,Price: ,1.11,Ossett Town FC, 7885844   size:3.68,Price: ,1.11,The Draw, 58805   size:16.65,Price: ,3.1,x
1.122180641, Sport: ,Handball, Time: ,Tue Dec 08 18:30:00 CET 2015, Time: ,Tue Dec 08 18:30:00 CET 2015, Event: ,Poland v China, Favorite: ,Poland, 624114   size:2.77,Price: ,1.03,China, 620391   size:18.0,Price: ,1.04,Draw, 330157   size:18.0,Price: ,1.04,ok
1.122094564, Sport: ,Soccer, Time: ,Tue Dec 08 15:00:00 CET 2015, Time: ,Tue Dec 08 15:00:00 CET 2015, Event: ,Perugia v Novara, Favorite: ,Perugia, 215828   size:9.01,Price: ,2.44,Novara, 522045   size:8.72,Price: ,3.65,The Draw, 58805   size:587.27,Price: ,3.1,x
1.122183993, Sport: ,Tennis, Time: ,Tue Dec 08 09:30:00 CET 2015, Time: ,Tue Dec 08 09:30:00 CET 2015, Event: ,Margarita Lazareva v Ines Murta, Favorite: ,Margarita Lazareva, 7168429   size:26.54,Price: ,1.38,Ines Murta, 8490637   size:35.03,Price: ,2.56,x
1.122185012, Sport: ,Soccer, Time: ,Tue Dec 08 13:00:00 CET 2015, Time: ,Tue Dec 08 13:00:00 CET 2015, Event: ,CD Tenerife II v V de Santa Brigida, Favorite: ,CD Tenerife II, 9320413   size:26.74,Price: ,1.34,V de Santa Brigida, 2522836   size:26.74,Price: ,1.34,The Draw, 58805   size:11.1,Price: ,3.15,x
1.122097270, Sport: ,Ice Hockey, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Sonderjyske v Herning, Favorite: ,Tie, 60104   size:5.99,Price: ,1.17,SonderjyskE, 2719119   size:38.11,Price: ,1.91,Herning, 70631   size:5.99,Price: ,1.24,x
1.122184680, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Berwick U20 v Stenhousemuir U20, Favorite: ,Berwick U20, 9131077   size:3.68,Price: ,1.12,Stenhousemuir U20, 9001453   size:3.68,Price: ,1.12,The Draw, 58805   size:12.49,Price: ,3.15,x
