1.121331066, Sport: ,Tennis, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Krajinovic v Soderlund, Favorite: ,Filip Krajinovic, 3509265   size:417.02,Price: ,1.02,Carl Soderlund, 8679743   size:9.1,Price: ,14.5,ok
1.121334331, Sport: ,Tennis, Time: ,Sun Oct 18 16:00:00 CEST 2015, Time: ,Sun Oct 18 16:00:00 CEST 2015, Event: ,Bahamonde v Arreche, Favorite: ,Francisco Bahamonde, 8460149   size:6.16,Price: ,1.04,Nicolas Alberto Arreche, 9630635   size:6.16,Price: ,1.04,ok
1.121164097, Sport: ,Soccer, Time: ,Sun Oct 18 15:15:00 CEST 2015, Time: ,Sun Oct 18 15:15:00 CEST 2015, Event: ,Montana v Litex Lovech, Favorite: ,Litex Lovech, 927230   size:13.33,Price: ,1.89,Montana, 3475110   size:3.1,Price: ,4.6,The Draw, 58805   size:6.29,Price: ,3.45,ok
1.121315466, Sport: ,Soccer, Time: ,Sun Oct 18 14:00:00 CEST 2015, Time: ,Sun Oct 18 14:00:00 CEST 2015, Event: ,Rio Branco SP v Paulista, Favorite: ,Rio Branco SP, 6987861   size:3.52,Price: ,1.07,Paulista, 1039202   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,3.05,ok
1.121333492, Sport: ,Tennis, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Myneni v Jor Thompson, Favorite: ,Jordan Thompson, 8145584   size:2.37,Price: ,1.72,Saketh Myneni, 7445661   size:100.56,Price: ,2.34,x
1.121329550, Sport: ,Tennis, Time: ,Mon Oct 19 06:00:00 CEST 2015, Time: ,Mon Oct 19 06:00:00 CEST 2015, Event: ,Yua Li v Mektic, Favorite: ,Nikola Mektic, 3658467   size:6.16,Price: ,1.04,Yuanfeng Li, 8475993   size:3.08,Price: ,1.08,ok
1.121329551, Sport: ,Tennis, Time: ,Mon Oct 19 06:00:00 CEST 2015, Time: ,Mon Oct 19 06:00:00 CEST 2015, Event: ,Langer v Lamasine, Favorite: ,Nils Langer, 7066939   size:3.08,Price: ,1.08,Tristan Lamasine, 8428332   size:3.08,Price: ,1.08,ok
1.121320379, Sport: ,Soccer, Time: ,Sun Oct 18 14:15:00 CEST 2015, Time: ,Sun Oct 18 14:15:00 CEST 2015, Event: ,Nairobi City Stars v KCB, Favorite: ,KCB, 9675637   size:4.99,Price: ,1.87,Nairobi City Stars, 9675653   size:4.99,Price: ,2.04,The Draw, 58805   size:4.99,Price: ,3.15,x
1.121324973, Sport: ,Basketball, Time: ,Sun Oct 18 17:00:00 CEST 2015, Time: ,Sun Oct 18 17:00:00 CEST 2015, Event: ,Juventus v Zalgiris, Favorite: ,Zalgiris, 1305967   size:8.22,Price: ,1.03,Juventus, 5244996   size:7.59,Price: ,1.26,ok
1.121165038, Sport: ,Soccer, Time: ,Sun Oct 18 14:00:00 CEST 2015, Time: ,Sun Oct 18 14:00:00 CEST 2015, Event: ,Naestved v HB Koge, Favorite: ,HB Koge, 3981030   size:80.12,Price: ,2.52,Naestved, 125163   size:3.83,Price: ,3.1,The Draw, 58805   size:45.65,Price: ,3.3,x
1.121315580, Sport: ,Soccer, Time: ,Sun Oct 18 17:00:00 CEST 2015, Time: ,Sun Oct 18 17:00:00 CEST 2015, Event: ,Siroki Brijeg v Olimpik Sarajevo, Favorite: ,Siroki Brijeg, 198684   size:3.95,Price: ,1.57,Olimpik Sarajevo, 7747919   size:9.54,Price: ,5.3,The Draw, 58805   size:18.63,Price: ,3.35,ok
