1.122099665, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,Augsburger Panther v Dusseldorfer, Favorite: ,Augsburger Panther, 233922   size:62.0,Price: ,2.26,Dusseldorfer, 6671675   size:62.0,Price: ,2.62,Tie, 60104   size:21.0,Price: ,4.7,x
1.122099704, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,Straubing v Schwenninger, Favorite: ,Straubing, 2056823   size:93.0,Price: ,1.98,Schwenninger, 348569   size:62.0,Price: ,2.9,Tie, 60104   size:66.0,Price: ,4.8,x
1.122099668, Sport: ,Basketball, Time: ,Fri Dec 04 01:00:00 CET 2015, Time: ,Fri Dec 04 01:00:00 CET 2015, Event: ,Universo/Salvador v Flamengo, Favorite: ,Flamengo, 6775296   size:15.22,Price: ,1.2,Universo/Salvador, 10484581   size:30.74,Price: ,5.5,ok
1.122007764, Sport: ,Soccer, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,CFR Cluj v Concordia Chiajna, Favorite: ,CFR Cluj, 1193695   size:112.52,Price: ,1.84,Concordia Chiajna, 5367199   size:5.01,Price: ,4.9,The Draw, 58805   size:4.95,Price: ,3.65,x
1.122115797, Sport: ,Soccer, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,St Georges Cospicua v San Gwann FC, Favorite: ,St Georges Cospicua, 10288418   size:6.0,Price: ,1.15,San Gwann FC, 10445440   size:6.0,Price: ,2.14,The Draw, 58805   size:12.0,Price: ,3.2,x
1.122007245, Sport: ,Soccer, Time: ,Fri Dec 04 14:00:00 CET 2015, Time: ,Fri Dec 04 14:00:00 CET 2015, Event: ,Ironi Kiryat Gat v Maccabi Herzliya, Favorite: ,Maccabi Herzliya, 5195923   size:2.55,Price: ,1.68,Ironi Kiryat Gat, 6955790   size:3.14,Price: ,4.5,The Draw, 58805   size:2.55,Price: ,3.85,x
1.122057180, Sport: ,Cricket, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Dolphins v Cape Cobras, Favorite: ,Cape Cobras, 3809606   size:5.96,Price: ,1.92,Dolphins, 4294273   size:5.75,Price: ,1.99,x
1.122116405, Sport: ,Soccer, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Al-Ittihad v Al-Shabab (KSA), Favorite: ,Al-Ittihad, 3727829   size:8.0,Price: ,1.79,Al-Shabab (KSA), 5344868   size:8.0,Price: ,2.08,The Draw, 58805   size:16.0,Price: ,3.15,ok
1.122076166, Sport: ,Basketball, Time: ,Thu Dec 03 20:30:00 CET 2015, Time: ,Thu Dec 03 20:30:00 CET 2015, Event: ,Laboral Kutxa v Limoges, Favorite: ,Laboral Kutxa, 7735599   size:7425.44,Price: ,1.01,Limoges, 3817200   size:4.0,Price: ,24.0,ok
1.122114861, Sport: ,Soccer, Time: ,Fri Dec 04 14:00:00 CET 2015, Time: ,Fri Dec 04 14:00:00 CET 2015, Event: ,Lokomotiva Zagreb U19 v Dinamo Zagreb U19, Favorite: ,Lokomotiva Zagreb U19, 7304534   size:3.66,Price: ,1.11,Dinamo Zagreb U19, 10262071   size:3.66,Price: ,1.11,The Draw, 58805   size:17.98,Price: ,3.15,x
1.122007394, Sport: ,Soccer, Time: ,Fri Dec 04 14:00:00 CET 2015, Time: ,Fri Dec 04 14:00:00 CET 2015, Event: ,FC Ashdod v Maccabi Ahi Nazareth, Favorite: ,FC Ashdod, 6145706   size:14.08,Price: ,1.79,Maccabi Ahi Nazareth, 5188358   size:12.55,Price: ,4.6,The Draw, 58805   size:2.55,Price: ,3.55,ok
1.122116350, Sport: ,Soccer, Time: ,Fri Dec 04 15:45:00 CET 2015, Time: ,Fri Dec 04 15:45:00 CET 2015, Event: ,Al-Faisaly (KSA) v Al-Khaleej, Favorite: ,Al-Faisaly (KSA), 7899434   size:10.55,Price: ,1.91,Al-Khaleej, 8838647   size:10.55,Price: ,2.34,The Draw, 58805   size:2.55,Price: ,3.35,x
1.122009053, Sport: ,Soccer, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,AGF v FC Midtjylland, Favorite: ,FC Midtjylland, 28206   size:344.97,Price: ,2.22,AGF, 28214   size:4.01,Price: ,3.55,The Draw, 58805   size:152.97,Price: ,3.55,x
1.122092899, Sport: ,Basketball, Time: ,Thu Dec 03 23:00:00 CET 2015, Time: ,Thu Dec 03 23:00:00 CET 2015, Event: ,Rio Claro v Franca, Favorite: ,Rio Claro, 8948847   size:99.0,Price: ,1.76,Franca, 8948836   size:68.0,Price: ,2.1,ok
1.122102986, Sport: ,Volleyball, Time: ,Thu Dec 03 20:25:00 CET 2015, Time: ,Thu Dec 03 20:25:00 CET 2015, Event: ,Hypo Tirol Volleyballte v Budvanska Rivijera Budv, Favorite: ,Hypo Tirol Volleyballte, 10381394   size:2.76,Price: ,1.03,Budvanska Rivijera Budv, 10444797   size:30.84,Price: ,4.5,ok
1.122102989, Sport: ,Volleyball, Time: ,Thu Dec 03 20:30:00 CET 2015, Time: ,Thu Dec 03 20:30:00 CET 2015, Event: ,Modena Volley v Vojvodina NS Seme Novi , Favorite: ,Modena Volley, 8152103   size:0.0,Price: ,0.0,Vojvodina Ns Seme Novi, 10472896   size:2627.83,Price: ,2.0,ok
1.122116074, Sport: ,Soccer, Time: ,Fri Dec 04 14:00:00 CET 2015, Time: ,Fri Dec 04 14:00:00 CET 2015, Event: ,Al Sadd (QAT) v Al Sailiya, Favorite: ,Al Sadd (QAT), 4525676   size:2.55,Price: ,1.32,Al Sailiya, 5183548   size:2.76,Price: ,7.8,The Draw, 58805   size:17.55,Price: ,4.7,x
