1.119677116, Sport: ,Soccer, Time: ,Sun Jul 26 17:00:00 CEST 2015, Time: ,Sun Jul 26 17:00:00 CEST 2015, Event: ,Santiago Morning v Deportes Copiapo, Favorite: ,Santiago Morning, 5129870   size:7.33,Price: ,1.71,The Draw, 58805   size:3.62,Price: ,3.4,Deportes Copiapo, 5663001   size:3.32,Price: ,3.7,ok
1.119679899, Sport: ,Soccer, Time: ,Sun Jul 26 15:00:00 CEST 2015, Time: ,Sun Jul 26 15:00:00 CEST 2015, Event: ,Irtysh Pavlodar v FC Ordabasy, Favorite: ,Irtysh Pavlodar, 455401   size:12.99,Price: ,1.26,The Draw, 58805   size:24.64,Price: ,5.3,FC Ordabasy, 6476069   size:15.98,Price: ,9.4,ok
1.119608918, Sport: ,Soccer, Time: ,Sun Jul 26 19:00:00 CEST 2015, Time: ,Sun Jul 26 19:00:00 CEST 2015, Event: ,Dundalk v Cork City, Favorite: ,Dundalk, 198746   size:6.89,Price: ,1.89,The Draw, 58805   size:109.32,Price: ,3.6,Cork City, 298594   size:13.58,Price: ,4.8,x
1.119691320, Sport: ,Tennis, Time: ,Sun Jul 26 16:00:00 CEST 2015, Time: ,Sun Jul 26 16:00:00 CEST 2015, Event: ,Crepaldi v Austin Smith, Favorite: ,Erik Crepaldi, 7839753   size:2.55,Price: ,1.14,Austin Smith, 8659695   size:10.6,Price: ,4.8,ok
1.119645666, Sport: ,Soccer, Time: ,Sun Jul 26 21:30:00 CEST 2015, Time: ,Sun Jul 26 21:30:00 CEST 2015, Event: ,Portuguesa (Ven) v Metropolitanos, Favorite: ,Portuguesa (Ven), 8780076   size:2.55,Price: ,2.48,The Draw, 58805   size:13.14,Price: ,3.15,Metropolitanos, 8761113   size:2.15,Price: ,3.2,ok
1.119698506, Sport: ,Soccer, Time: ,Sun Jul 26 15:00:00 CEST 2015, Time: ,Sun Jul 26 15:00:00 CEST 2015, Event: ,Vasas Budapest SC U19 v Swansea City AFC U19, Favorite: ,Swansea City AFC U19, 10050236   size:18.43,Price: ,1.02,The Draw, 58805   size:2.82,Price: ,1.25,ok
1.119683381, Sport: ,Soccer, Time: ,Sun Jul 26 19:05:00 CEST 2015, Time: ,Sun Jul 26 19:05:00 CEST 2015, Event: ,Uruguay U22 v Mexico U22, Favorite: ,Mexico U22, 5894404   size:12.0,Price: ,1.02,The Draw, 58805   size:12.0,Price: ,1.26,x
1.119557228, Sport: ,Soccer, Time: ,Sun Jul 26 19:00:00 CEST 2015, Time: ,Sun Jul 26 19:00:00 CEST 2015, Event: ,FK Krasnodar v Spartak Moscow, Favorite: ,FK Krasnodar, 4020902   size:500.0,Price: ,2.06,The Draw, 58805   size:103.07,Price: ,3.8,Spartak Moscow, 5517   size:271.66,Price: ,3.95,x
1.119594411, Sport: ,Soccer, Time: ,Mon Jul 27 00:30:00 CEST 2015, Time: ,Mon Jul 27 00:30:00 CEST 2015, Event: ,Junior v Cortulua, Favorite: ,Junior, 363629   size:17.09,Price: ,1.61,The Draw, 58805   size:2.82,Price: ,4.0,Cortulua, 9188271   size:2.81,Price: ,6.6,x
1.119607385, Sport: ,Soccer, Time: ,Sun Jul 26 20:30:00 CEST 2015, Time: ,Sun Jul 26 20:30:00 CEST 2015, Event: ,Douglas Haig v Gimnasia Jujuy, Favorite: ,Douglas Haig, 6570644   size:12.99,Price: ,2.08,The Draw, 58805   size:9.0,Price: ,3.15,Gimnasia Jujuy, 1213580   size:25.22,Price: ,4.5,ok
1.119680671, Sport: ,Soccer, Time: ,Sun Jul 26 20:00:00 CEST 2015, Time: ,Sun Jul 26 20:00:00 CEST 2015, Event: ,CSYD San Jorge Tucuman v CA Sarmiento, Favorite: ,CA Sarmiento, 6246279   size:245.67,Price: ,1.01,The Draw, 58805   size:5.65,Price: ,1.25,x
1.119682057, Sport: ,Soccer, Time: ,Sun Jul 26 15:00:00 CEST 2015, Time: ,Sun Jul 26 15:00:00 CEST 2015, Event: ,Anzhi Makhachkala (Y) v Lokomotiv Moscow (Y), Favorite: ,Lokomotiv Moscow (Y), 5246808   size:7.99,Price: ,1.86,Anzhi Makhachkala (Y), 5460247   size:7.99,Price: ,1.93,The Draw, 58805   size:16.0,Price: ,2.46,x
1.119691406, Sport: ,Tennis, Time: ,Sun Jul 26 17:30:00 CEST 2015, Time: ,Sun Jul 26 17:30:00 CEST 2015, Event: ,Reyes-Varela v Bortolotti, Favorite: ,Marco Bortolotti, 8574172   size:48.71,Price: ,1.03,ok
1.119608447, Sport: ,Soccer, Time: ,Sun Jul 26 18:00:00 CEST 2015, Time: ,Sun Jul 26 18:00:00 CEST 2015, Event: ,Ferencvaros v Diosgyori, Favorite: ,Ferencvaros, 198748   size:70.39,Price: ,1.43,The Draw, 58805   size:46.57,Price: ,4.7,Diosgyori, 2018266   size:4.25,Price: ,10.0,ok
1.119692978, Sport: ,Tennis, Time: ,Sun Jul 26 17:45:00 CEST 2015, Time: ,Sun Jul 26 17:45:00 CEST 2015, Event: ,R Shane v Pecotic, Favorite: ,Matija Pecotic, 8713732   size:2.55,Price: ,1.13,Ryan Shane, 8700267   size:3.4,Price: ,4.8,ok
1.119695692, Sport: ,Tennis, Time: ,Sun Jul 26 16:00:00 CEST 2015, Time: ,Sun Jul 26 16:00:00 CEST 2015, Event: ,Tsurenko v U Radwanska, Favorite: ,Lesia Tsurenko, 5300861   size:118.97,Price: ,1.75,Urszula Radwanska, 2395156   size:107.05,Price: ,2.32,ok
1.119676611, Sport: ,Soccer, Time: ,Sun Jul 26 14:00:00 CEST 2015, Time: ,Sun Jul 26 14:00:00 CEST 2015, Event: ,FK Isloch Minsk v Khimik Svetlogorsk, Favorite: ,FK Isloch Minsk, 7328081   size:16.85,Price: ,1.13,The Draw, 58805   size:2.66,Price: ,4.6,Khimik Svetlogorsk, 5796702   size:150.56,Price: ,7.0,ok
1.119560854, Sport: ,Soccer, Time: ,Sun Jul 26 17:00:00 CEST 2015, Time: ,Sun Jul 26 17:00:00 CEST 2015, Event: ,Bohemians 1905 v Zlin, Favorite: ,Bohemians 1905, 2467701   size:2.82,Price: ,2.12,The Draw, 58805   size:68.64,Price: ,3.4,Zlin, 367580   size:103.76,Price: ,4.1,x
1.119695333, Sport: ,Tennis, Time: ,Sun Jul 26 18:00:00 CEST 2015, Time: ,Sun Jul 26 18:00:00 CEST 2015, Event: ,Pous-Tio v Puig Caballero, Favorite: ,Laura Pous-Tio, 8443238   size:39.46,Price: ,1.07, Blanca Puig Caballero , 10074569   size:10.33,Price: ,8.2,ok
1.119586007, Sport: ,Rugby League, Time: ,Sun Jul 26 16:30:00 CEST 2015, Time: ,Sun Jul 26 16:30:00 CEST 2015, Event: ,Castleford v Warrington, Favorite: ,Castleford, 121729   size:78.54,Price: ,1.78,Warrington, 25400   size:3.19,Price: ,2.34,Draw, 11126   size:3.19,Price: ,18.0,x
1.119602901, Sport: ,Handball, Time: ,Sun Jul 26 23:30:00 CEST 2015, Time: ,Sun Jul 26 23:30:00 CEST 2015, Event: ,Germany U21 v Brazil U21, Favorite: ,Germany U21, 7437025   size:2.8,Price: ,1.44,Brazil U21, 7437037   size:6.99,Price: ,3.7,Draw, 330157   size:71.1,Price: ,8.6,x
1.119692971, Sport: ,Tennis, Time: ,Sun Jul 26 16:30:00 CEST 2015, Time: ,Sun Jul 26 16:30:00 CEST 2015, Event: ,A Krajicek v E Korolev, Favorite: ,Austin Krajicek, 3288367   size:181.25,Price: ,1.27,Evgeny Korolev, 2249836   size:38.05,Price: ,3.5,ok
1.119562125, Sport: ,Soccer, Time: ,Sun Jul 26 19:00:00 CEST 2015, Time: ,Sun Jul 26 19:00:00 CEST 2015, Event: ,Pumas UNAM v Monterrey, Favorite: ,Pumas UNAM, 328955   size:9.0,Price: ,2.34,The Draw, 58805   size:105.07,Price: ,3.4,ok
1.119595519, Sport: ,Soccer, Time: ,Sun Jul 26 18:30:00 CEST 2015, Time: ,Sun Jul 26 18:30:00 CEST 2015, Event: ,Dnipro v Chernomorets Odesa, Favorite: ,Dnipro, 50345   size:32.36,Price: ,1.2,The Draw, 58805   size:5.63,Price: ,7.4,Chernomorets Odesa, 7430526   size:2.69,Price: ,17.5,ok
1.119586012, Sport: ,Rugby League, Time: ,Sun Jul 26 16:00:00 CEST 2015, Time: ,Sun Jul 26 16:00:00 CEST 2015, Event: ,Huddersfield v Wakefield, Favorite: ,Huddersfield, 43689   size:261.57,Price: ,1.07,Wakefield, 39515   size:7.18,Price: ,11.5,Draw, 11126   size:6.9,Price: ,38.0,ok
1.119555279, Sport: ,Soccer, Time: ,Sun Jul 26 15:00:00 CEST 2015, Time: ,Sun Jul 26 15:00:00 CEST 2015, Event: ,Lyon v Villarreal, Favorite: ,Villarreal, 28191   size:102.11,Price: ,2.32,Lyon, 55271   size:3.92,Price: ,3.2,The Draw, 58805   size:29.55,Price: ,3.8,ok
1.119559636, Sport: ,Soccer, Time: ,Sun Jul 26 14:00:00 CEST 2015, Time: ,Sun Jul 26 14:00:00 CEST 2015, Event: ,Naestved v AC Horsens, Favorite: ,AC Horsens, 195583   size:10.04,Price: ,2.58,Naestved, 125163   size:118.32,Price: ,2.98,The Draw, 58805   size:2.82,Price: ,3.45,x
1.119681296, Sport: ,Soccer, Time: ,Sun Jul 26 17:00:00 CEST 2015, Time: ,Sun Jul 26 17:00:00 CEST 2015, Event: ,SC Kafertal v Waldhof Mannheim, Favorite: ,Waldhof Mannheim, 346909   size:260.32,Price: ,1.01,The Draw, 58805   size:70.65,Price: ,3.15,ok
1.119574458, Sport: ,Baseball, Time: ,Sun Jul 26 22:10:00 CEST 2015, Time: ,Sun Jul 26 22:10:00 CEST 2015, Event: ,CIN @ COL, Favorite: ,Colorado (K Kendrick), 9378789   size:329.0,Price: ,1.9,Cincinnati (M Lorenzen), 9444109   size:105.0,Price: ,2.04,ok
1.119607245, Sport: ,Soccer, Time: ,Sun Jul 26 22:30:00 CEST 2015, Time: ,Sun Jul 26 22:30:00 CEST 2015, Event: ,Atl Tucuman v Atletico Parana, Favorite: ,Atl Tucuman, 5181445   size:147.47,Price: ,1.54,The Draw, 58805   size:66.0,Price: ,4.0,Atletico Parana, 5985269   size:14.55,Price: ,8.4,ok
