1.121369429, Sport: ,Tennis, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,Millman v G Muller, Favorite: ,Gilles Muller, 2248579   size:70.0,Price: ,1.45,John Millman, 4415206   size:100.18,Price: ,2.98,ok
1.121350321, Sport: ,Tennis, Time: ,Wed Oct 21 09:30:00 CEST 2015, Time: ,Wed Oct 21 09:30:00 CEST 2015, Event: ,Ignatik/Nishioka v Pecotic/Vorster, Favorite: ,Pecotic/Vorster, 10433863   size:2.55,Price: ,1.84,Ignatik/Nishioka, 10433861   size:2.55,Price: ,2.02,x
1.121329907, Sport: ,Basketball, Time: ,Wed Oct 21 02:00:00 CEST 2015, Time: ,Wed Oct 21 02:00:00 CEST 2015, Event: ,Penarol v Argentino, Favorite: ,Penarol, 6719113   size:2.72,Price: ,1.02,Argentino, 6719106   size:2.72,Price: ,1.02,ok
1.121334777, Sport: ,Tennis, Time: ,Wed Oct 21 10:00:00 CEST 2015, Time: ,Wed Oct 21 10:00:00 CEST 2015, Event: ,Flipkens v Brengle, Favorite: ,Madison Brengle, 2263603   size:5.0,Price: ,1.97,Kirsten Flipkens, 2264530   size:95.42,Price: ,1.98,x
1.121350325, Sport: ,Tennis, Time: ,Wed Oct 21 07:30:00 CEST 2015, Time: ,Wed Oct 21 07:30:00 CEST 2015, Event: ,De Greef v Ti Chen, Favorite: ,Ti Chen, 2559490   size:21.76,Price: ,1.87,Arthur De Greef, 7287672   size:9.05,Price: ,2.06,x
1.121362210, Sport: ,Tennis, Time: ,Wed Oct 21 04:30:00 CEST 2015, Time: ,Wed Oct 21 04:30:00 CEST 2015, Event: ,S Lee v Kucova, Favorite: ,Kristina Kucova, 3990441   size:10.69,Price: ,1.51,So Ra Lee, 6670618   size:2.55,Price: ,2.54,ok
1.121362212, Sport: ,Tennis, Time: ,Wed Oct 21 05:45:00 CEST 2015, Time: ,Wed Oct 21 05:45:00 CEST 2015, Event: ,Khromacheva v Bychkova, Favorite: ,Ekaterina Bychkova, 2263611   size:5.72,Price: ,1.8,Irina Khromacheva, 6092292   size:4.08,Price: ,2.12,ok
1.121234213, Sport: ,Soccer, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,Army Utd v Buriram Utd, Favorite: ,Buriram Utd, 7039295   size:10.57,Price: ,1.22,Army Utd, 9233643   size:10.82,Price: ,2.1,The Draw, 58805   size:4.08,Price: ,2.88,x
1.121314853, Sport: ,Soccer, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,FC Pyunik v Gandzasar Kapan, Favorite: ,FC Pyunik, 1526911   size:5.0,Price: ,1.37,Gandzasar Kapan, 4043809   size:5.0,Price: ,2.38,The Draw, 58805   size:12.5,Price: ,2.9,x
1.121235144, Sport: ,Soccer, Time: ,Wed Oct 21 04:00:00 CEST 2015, Time: ,Wed Oct 21 04:00:00 CEST 2015, Event: ,CD Motagua v CF America, Favorite: ,CF America, 328952   size:11.95,Price: ,1.8,CD Motagua, 2888928   size:98.67,Price: ,4.7,The Draw, 58805   size:28.46,Price: ,4.0,x
1.121340429, Sport: ,Tennis, Time: ,Wed Oct 21 12:30:00 CEST 2015, Time: ,Wed Oct 21 12:30:00 CEST 2015, Event: ,Gerasimov/Ivashka v Myneni/Singh, Favorite: ,Myneni/Singh, 8274250   size:2.55,Price: ,1.52,Gerasimov/Ivashka, 10433993   size:5.21,Price: ,2.32,ok
1.121362217, Sport: ,Tennis, Time: ,Wed Oct 21 05:45:00 CEST 2015, Time: ,Wed Oct 21 05:45:00 CEST 2015, Event: ,Z Wei v Y Duan, Favorite: ,Ying-Ying Duan, 8243878   size:106.69,Price: ,1.12,Zhanlan Wei, 10279165   size:4.51,Price: ,8.2,ok
1.121362459, Sport: ,Tennis, Time: ,Wed Oct 21 10:00:00 CEST 2015, Time: ,Wed Oct 21 10:00:00 CEST 2015, Event: ,Tsurenko v A Schmiedlova, Favorite: ,Anna Karolina Schmiedlo, 9379842   size:27.63,Price: ,1.72,Lesia Tsurenko, 5300861   size:13.21,Price: ,2.3,x
1.121375050, Sport: ,Tennis, Time: ,Wed Oct 21 13:15:00 CEST 2015, Time: ,Wed Oct 21 13:15:00 CEST 2015, Event: ,Begu v Kasatkina, Favorite: ,Irina-Camelia Begu, 7642289   size:98.0,Price: ,1.65,Daria Kasatkina, 7795290   size:53.66,Price: ,2.32,x
1.121369643, Sport: ,Tennis, Time: ,Wed Oct 21 13:45:00 CEST 2015, Time: ,Wed Oct 21 13:45:00 CEST 2015, Event: ,B Tomic v M Baghdatis, Favorite: ,Bernard Tomic, 3588868   size:4.86,Price: ,1.76,Marcos Baghdatis, 2256469   size:5.0,Price: ,2.18,x
1.121234617, Sport: ,Soccer, Time: ,Wed Oct 21 01:45:00 CEST 2015, Time: ,Wed Oct 21 01:45:00 CEST 2015, Event: ,Huracan v Defensor Sporting, Favorite: ,Huracan, 194507   size:69.41,Price: ,1.98,Defensor Sporting, 1222679   size:177.23,Price: ,5.9,The Draw, 58805   size:124.29,Price: ,3.0,ok
1.121237446, Sport: ,Ice Hockey, Time: ,Wed Oct 21 15:30:00 CEST 2015, Time: ,Wed Oct 21 15:30:00 CEST 2015, Event: ,Sibir v CSKA, Favorite: ,CSKA, 2240050   size:171.37,Price: ,2.2,Sibir, 2285014   size:58.0,Price: ,2.94,Tie, 60104   size:52.22,Price: ,4.0,x
1.121362213, Sport: ,Tennis, Time: ,Wed Oct 21 07:30:00 CEST 2015, Time: ,Wed Oct 21 07:30:00 CEST 2015, Event: ,Nagal v Y Mertens, Favorite: ,Yannick Mertens, 4521608   size:90.75,Price: ,1.42,Sumit Nagal, 8173039   size:10.88,Price: ,3.25,ok
1.121233769, Sport: ,Soccer, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,Zimbru Chisinau U19 v FK Pribram U19, Favorite: ,Zimbru Chisinau U19, 10317750   size:18.0,Price: ,1.08,FK Pribram U19, 7451165   size:2.73,Price: ,1.09,The Draw, 58805   size:18.0,Price: ,2.9,x
1.121236117, Sport: ,Soccer, Time: ,Wed Oct 21 13:30:00 CEST 2015, Time: ,Wed Oct 21 13:30:00 CEST 2015, Event: ,Home Utd v Warriors FC, Favorite: ,Home Utd, 4852330   size:2.55,Price: ,2.34,Warriors FC, 7120994   size:6.97,Price: ,2.92,The Draw, 58805   size:3.87,Price: ,3.5,ok
1.121343930, Sport: ,Baseball, Time: ,Wed Oct 21 02:07:00 CEST 2015, Time: ,Wed Oct 21 02:07:00 CEST 2015, Event: ,NYM @ CHC, Favorite: ,NY Mets (J deGrom), 8530475   size:154.54,Price: ,1.57,Chicago Cubs (K Hendricks), 8688427   size:62.92,Price: ,2.4,ok
1.121323961, Sport: ,Cricket, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,Titans v Dolphins, Favorite: ,Titans, 1254317   size:10.62,Price: ,1.71,Dolphins, 4294273   size:7.54,Price: ,2.22,ok
1.121232557, Sport: ,Soccer, Time: ,Wed Oct 21 15:00:00 CEST 2015, Time: ,Wed Oct 21 15:00:00 CEST 2015, Event: ,FC Helsingor v Randers, Favorite: ,Randers, 342868   size:4.34,Price: ,1.46,FC Helsingor, 6542368   size:14.55,Price: ,4.7,The Draw, 58805   size:52.21,Price: ,3.55,ok
1.121375695, Sport: ,Tennis, Time: ,Wed Oct 21 13:30:00 CEST 2015, Time: ,Wed Oct 21 13:30:00 CEST 2015, Event: ,Jurak/Melichar v Dabrowski/Olaru, Favorite: ,Dabrowski/Olaru, 10434335   size:52.85,Price: ,1.79,Jurak/Melichar, 10407833   size:52.85,Price: ,1.82,x
1.121236194, Sport: ,Soccer, Time: ,Wed Oct 21 04:00:00 CEST 2015, Time: ,Wed Oct 21 04:00:00 CEST 2015, Event: ,Real Salt Lake v CSD Municipal, Favorite: ,Real Salt Lake, 1101610   size:56.32,Price: ,1.45,CSD Municipal, 2888930   size:28.12,Price: ,9.0,The Draw, 58805   size:124.82,Price: ,4.7,ok
1.121332403, Sport: ,Tennis, Time: ,Wed Oct 21 13:45:00 CEST 2015, Time: ,Wed Oct 21 13:45:00 CEST 2015, Event: ,Chardy/Lindstedt v Becker/Zverev, Favorite: ,Chardy/Lindstedt, 8734024   size:2.55,Price: ,1.34,Becker/Zverev, 10431497   size:61.12,Price: ,3.1,ok
1.121356619, Sport: ,Tennis, Time: ,Wed Oct 21 12:30:00 CEST 2015, Time: ,Wed Oct 21 12:30:00 CEST 2015, Event: ,Dodin v Tatishvili, Favorite: ,Anna Tatishvili, 2311979   size:41.71,Price: ,1.49,Oceane Dodin, 7289631   size:5.0,Price: ,2.92,ok
1.121375858, Sport: ,Soccer, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,MTK Budapest U19 v Diosgyori VTK SE U19, Favorite: ,MTK Budapest U19, 6302534   size:4.1,Price: ,1.22,Diosgyori VTK SE U19, 10237445   size:11.22,Price: ,4.0,The Draw, 58805   size:11.22,Price: ,4.0,ok
1.121355243, Sport: ,Soccer, Time: ,Wed Oct 21 14:30:00 CEST 2015, Time: ,Wed Oct 21 14:30:00 CEST 2015, Event: ,Mansheyat Bani Hasan v Al Teeba, Favorite: ,Mansheyat Bani Hasan, 6600043   size:2.73,Price: ,1.09,Al Teeba, 8875656   size:3.0,Price: ,3.35,The Draw, 58805   size:4.08,Price: ,2.88,ok
1.121354155, Sport: ,Soccer, Time: ,Wed Oct 21 02:00:00 CEST 2015, Time: ,Wed Oct 21 02:00:00 CEST 2015, Event: ,America de Cali v Llaneros (Col), Favorite: ,America de Cali, 330236   size:65.73,Price: ,1.2,Llaneros (Col), 9935791   size:88.08,Price: ,2.0,The Draw, 58805   size:61.22,Price: ,3.4,ok
1.121355072, Sport: ,Soccer, Time: ,Wed Oct 21 11:30:00 CEST 2015, Time: ,Wed Oct 21 11:30:00 CEST 2015, Event: ,Kenkre FC v Karnataka, Favorite: ,Kenkre FC, 8415913   size:2.73,Price: ,1.09,Karnataka, 3943270   size:10.57,Price: ,1.75,The Draw, 58805   size:10.0,Price: ,3.3,ok
1.121234103, Sport: ,Soccer, Time: ,Wed Oct 21 02:00:00 CEST 2015, Time: ,Wed Oct 21 02:00:00 CEST 2015, Event: ,Toluca v Alebrijes de Oaxaca, Favorite: ,Toluca, 230914   size:35.4,Price: ,1.31,Alebrijes de Oaxaca, 9988722   size:6.8,Price: ,4.3,The Draw, 58805   size:8.32,Price: ,3.05,ok
1.121233494, Sport: ,Soccer, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,Servette U19 v Villarreal U19, Favorite: ,Villarreal U19, 7564017   size:12.0,Price: ,1.51,Servette U19, 10317886   size:16.98,Price: ,3.55,The Draw, 58805   size:55.82,Price: ,4.3,ok
1.121340319, Sport: ,Tennis, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,Sela/Weintraub v Wu/Zhang, Favorite: ,Sela/Weintraub, 10407971   size:5.72,Price: ,1.82,Wu/Zhang, 8329872   size:5.72,Price: ,1.82,ok
1.120939219, Sport: ,Cricket, Time: ,Wed Oct 21 06:30:00 CEST 2015, Time: ,Wed Oct 21 06:30:00 CEST 2015, Event: ,Sri Lanka U19 v Pakistan U19 (3rd ODI), Favorite: ,Sri Lanka U19, 1210408   size:5.72,Price: ,1.14,Pakistan U19, 737326   size:5.72,Price: ,1.16,ok
1.121331602, Sport: ,Tennis, Time: ,Wed Oct 21 16:15:00 CEST 2015, Time: ,Wed Oct 21 16:15:00 CEST 2015, Event: ,Rublev/Tursunov v Kukushkin/Kuznetsov, Favorite: ,Rublev/Tursunov, 10431009   size:8.27,Price: ,1.76,Kukushkin/Kuznetsov, 10431010   size:2.55,Price: ,2.14,x
1.121356449, Sport: ,Soccer, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,Neftchi Fargona v Andijan, Favorite: ,Neftchi Fargona, 4170422   size:2.55,Price: ,1.15,Andijan, 8244867   size:10.57,Price: ,2.2,The Draw, 58805   size:10.57,Price: ,3.0,x
1.121372074, Sport: ,Tennis, Time: ,Wed Oct 21 15:00:00 CEST 2015, Time: ,Wed Oct 21 15:00:00 CEST 2015, Event: ,Gulbis v Isner, Favorite: ,John Isner, 2474763   size:511.46,Price: ,1.28,Ernests Gulbis, 2257536   size:35.11,Price: ,4.4,x
1.121330074, Sport: ,Tennis, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,Gombos v Roger-Vasselin, Favorite: ,Edouard Roger-Vasselin, 8259187   size:5.1,Price: ,1.51,Norbert Gombos, 8173023   size:2.33,Price: ,2.64,ok
1.121331624, Sport: ,Tennis, Time: ,Wed Oct 21 11:30:00 CEST 2015, Time: ,Wed Oct 21 11:30:00 CEST 2015, Event: ,Davydenko/Vatutin v Betov/Elgin, Favorite: ,Betov/Elgin, 8908427   size:2.55,Price: ,1.15,Davydenko/Vatutin, 9568070   size:2.0,Price: ,6.0,ok
1.121341502, Sport: ,Tennis, Time: ,Wed Oct 21 15:30:00 CEST 2015, Time: ,Wed Oct 21 15:30:00 CEST 2015, Event: ,Maria/Watson v Klemenschits/Witthoeft, Favorite: ,Maria/Watson, 10434455   size:2.55,Price: ,1.39,Klemenschits/Witthoeft, 10027018   size:2.24,Price: ,2.74,ok
1.121362151, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Foretz v Honcova, Favorite: ,Stephanie Foretz, 9152710   size:7.14,Price: ,1.34,Michaela Honcova, 7049176   size:2.55,Price: ,3.45,ok
1.121334702, Sport: ,Tennis, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,Friedsam v Ann Beck, Favorite: ,Annika Beck, 4174996   size:99.77,Price: ,1.56,Anna-Lena Friedsam, 7593369   size:14.32,Price: ,2.64,x
1.121332616, Sport: ,Tennis, Time: ,Wed Oct 21 16:15:00 CEST 2015, Time: ,Wed Oct 21 16:15:00 CEST 2015, Event: ,Matkowski/Zimonjic v Garcia-Lopez/Thiem, Favorite: ,Matkowski/Zimonjic, 9312205   size:2.55,Price: ,1.24,Garcia-Lopez/Thiem, 10431512   size:36.42,Price: ,3.75,ok
1.121362570, Sport: ,Cricket, Time: ,Wed Oct 21 05:30:00 CEST 2015, Time: ,Wed Oct 21 05:30:00 CEST 2015, Event: ,India v Australia, Favorite: ,India, 414464   size:144.57,Price: ,1.03,Australia, 16606   size:144.57,Price: ,1.03,ok
1.121060476, Sport: ,Cricket, Time: ,Wed Oct 21 03:30:00 CEST 2015, Time: ,Wed Oct 21 03:30:00 CEST 2015, Event: ,Ireland U19 v Nepal U19, Favorite: ,Ireland U19, 10380956   size:2.83,Price: ,1.37,Nepal U19, 8149307   size:2.43,Price: ,2.06,x
1.121354265, Sport: ,Soccer, Time: ,Wed Oct 21 12:30:00 CEST 2015, Time: ,Wed Oct 21 12:30:00 CEST 2015, Event: ,HK Rangers FC (Res) v Yokohama FC HK (Res), Favorite: ,HK Rangers FC (Res), 7204871   size:2.55,Price: ,1.14,Yokohama FC HK (Res), 7204912   size:3.0,Price: ,7.0,The Draw, 58805   size:11.09,Price: ,4.5,ok
1.121375810, Sport: ,Tennis, Time: ,Wed Oct 21 14:45:00 CEST 2015, Time: ,Wed Oct 21 14:45:00 CEST 2015, Event: ,Sevastova v Ka Pliskova, Favorite: ,Karolina Pliskova, 6199453   size:5.0,Price: ,1.33,Anastasija Sevastova, 2422070   size:172.65,Price: ,3.55,x
1.121235516, Sport: ,Soccer, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,Aves v Porto B, Favorite: ,Aves, 505958   size:30.29,Price: ,2.74,Porto B, 6563315   size:4.48,Price: ,2.94,The Draw, 58805   size:28.38,Price: ,3.3,x
1.121331630, Sport: ,Tennis, Time: ,Wed Oct 21 14:30:00 CEST 2015, Time: ,Wed Oct 21 14:30:00 CEST 2015, Event: ,P Mathieu v Fognini, Favorite: ,Fabio Fognini, 2319544   size:56.8,Price: ,1.6,Paul-Henri Mathieu, 8259186   size:66.0,Price: ,2.56,ok
1.121341522, Sport: ,Tennis, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,Medina Garr/Parra Santo v Cepelova/Voegele, Favorite: ,Medina Garr/Parra Santo, 9220633   size:2.55,Price: ,1.31,Cepelova/Voegele, 8553899   size:10.2,Price: ,3.15,ok
