1.121529086, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Tokyo v Aomori, Favorite: ,Tokyo, 6736966   size:2.8,Price: ,1.02,Aomori, 7759170   size:2.8,Price: ,1.02,x
1.121507051, Sport: ,Soccer, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,Liverpool U21 v Southampton U21, Favorite: ,Liverpool U21, 6614442   size:4.15,Price: ,1.07,Southampton U21, 6728422   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121592201, Sport: ,Soccer, Time: ,Sun Nov 01 13:00:00 CET 2015, Time: ,Sun Nov 01 13:00:00 CET 2015, Event: ,Penapolense v Independente SP, Favorite: ,Penapolense, 6973282   size:4.15,Price: ,1.07,Independente SP, 7446091   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121445968, Sport: ,Soccer, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,Trelleborgs v FC Hollviken, Favorite: ,Trelleborgs, 767907   size:4.15,Price: ,1.07,FC Hollviken, 8438629   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121450190, Sport: ,Soccer, Time: ,Sun Nov 01 14:30:00 CET 2015, Time: ,Sun Nov 01 14:30:00 CET 2015, Event: ,Utrecht v Twente, Favorite: ,Utrecht, 48449   size:358.48,Price: ,2.0,Twente, 48446   size:23.52,Price: ,3.9,The Draw, 58805   size:133.33,Price: ,3.85,ok
1.121572871, Sport: ,Basketball, Time: ,Sun Nov 01 12:35:00 CET 2015, Time: ,Sun Nov 01 12:35:00 CET 2015, Event: ,Liaoning v Qingdao, Favorite: ,Qingdao, 8926915   size:9.69,Price: ,1.03,Liaoning, 8926912   size:12.9,Price: ,1.1,x
1.121572870, Sport: ,Basketball, Time: ,Sun Nov 01 12:35:00 CET 2015, Time: ,Sun Nov 01 12:35:00 CET 2015, Event: ,Jiangsu Dragons v Fujian, Favorite: ,Jiangsu Dragons, 8926904   size:69.95,Price: ,1.58,Fujian, 8926905   size:3.01,Price: ,2.64,x
1.121594741, Sport: ,Soccer, Time: ,Sun Nov 01 14:00:00 CET 2015, Time: ,Sun Nov 01 14:00:00 CET 2015, Event: ,Ergotelis v Panelefsiniakos, Favorite: ,Ergotelis, 531199   size:5.9,Price: ,1.14,Panelefsiniakos, 10309707   size:16.99,Price: ,10.5,The Draw, 58805   size:37.84,Price: ,4.6,ok
1.121596124, Sport: ,Soccer, Time: ,Sun Nov 01 10:00:00 CET 2015, Time: ,Sun Nov 01 10:00:00 CET 2015, Event: ,FK Kyzylzhar v FK Kaspyi Aktau, Favorite: ,FK Kyzylzhar, 7397668   size:4.15,Price: ,1.07,FK Kaspyi Aktau, 7431762   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121608002, Sport: ,Soccer, Time: ,Sun Nov 01 09:30:00 CET 2015, Time: ,Sun Nov 01 09:30:00 CET 2015, Event: ,Hung Vuong An Giang U21 v Ha Noi T&T U21, Favorite: ,Hung Vuong An Giang U21, 8773425   size:5.0,Price: ,1.03,Ha Noi T&T U21, 7650226   size:5.0,Price: ,1.03,The Draw, 58805   size:2.8,Price: ,1.25,x
