1.122255854, Sport: ,Soccer, Time: ,Sun Dec 20 02:00:00 CET 2015, Time: ,Sun Dec 20 02:00:00 CET 2015, Event: ,UNAN Managua v Diriangen FC, Favorite: ,UNAN Managua, 9198508   size:10.0,Price: ,1.13,Diriangen FC, 9038383   size:10.0,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.05,ok
1.122233845, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Northampton v Portsmouth, Favorite: ,Portsmouth, 58344   size:201.36,Price: ,2.28,Northampton, 5034   size:133.98,Price: ,3.55,The Draw, 58805   size:106.82,Price: ,3.5,ok
1.122232994, Sport: ,Soccer, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Guingamp v Rennes, Favorite: ,Guingamp, 44801   size:364.73,Price: ,2.5,Rennes, 44799   size:6.0,Price: ,3.4,The Draw, 58805   size:1418.0,Price: ,3.1,x
1.122230451, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Bristol City v QPR, Favorite: ,QPR, 62684   size:197.02,Price: ,2.7,Bristol City, 69745   size:79.51,Price: ,2.86,The Draw, 58805   size:989.04,Price: ,3.45,x
1.122300752, Sport: ,Basketball, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Cholet v Antibes, Favorite: ,Cholet, 678099   size:753.72,Price: ,1.04,Antibes, 5467755   size:1713.0,Price: ,1.04,ok
1.122322402, Sport: ,Soccer, Time: ,Sat Dec 19 17:30:00 CET 2015, Time: ,Sat Dec 19 17:30:00 CET 2015, Event: ,Club Atletico Saguntino v UD Alzira, Favorite: ,Club Atletico Saguntino, 7906133   size:3.54,Price: ,1.49,UD Alzira, 5688358   size:35.19,Price: ,5.5,The Draw, 58805   size:35.76,Price: ,3.45,ok
1.122324709, Sport: ,Soccer, Time: ,Sat Dec 19 14:15:00 CET 2015, Time: ,Sat Dec 19 14:15:00 CET 2015, Event: ,ASM Oran v NR Dely Brahim, Favorite: ,ASM Oran, 8954905   size:5.47,Price: ,1.13,NR Dely Brahim, 10640453   size:7.0,Price: ,12.5,The Draw, 58805   size:3.04,Price: ,11.0,ok
1.122229466, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Barnet v Crawley Town, Favorite: ,Barnet, 1165   size:439.5,Price: ,2.26,Crawley Town, 266068   size:321.0,Price: ,3.4,The Draw, 58805   size:68.13,Price: ,3.65,ok
1.122328292, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,Subiza v CD River Ega, Favorite: ,Subiza, 9366737   size:10.06,Price: ,1.13,CD River Ega, 10238409   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.1,ok
1.122275036, Sport: ,Rugby Union, Time: ,Sat Dec 19 18:15:00 CET 2015, Time: ,Sat Dec 19 18:15:00 CET 2015, Event: ,Leinster v Toulon, Favorite: ,Toulon, 1242213   size:42.34,Price: ,1.57,Leinster, 8875   size:300.0,Price: ,2.98,Draw, 246289   size:30.0,Price: ,29.0,ok
1.122253127, Sport: ,Soccer, Time: ,Sun Dec 20 02:00:00 CET 2015, Time: ,Sun Dec 20 02:00:00 CET 2015, Event: ,Honduras Progreso v CD Motagua, Favorite: ,Honduras Progreso, 9216461   size:5.0,Price: ,1.9,CD Motagua, 2888928   size:3.9,Price: ,3.65,The Draw, 58805   size:4.08,Price: ,3.2,x
1.122233639, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Millwall v Gillingham, Favorite: ,Millwall, 56036   size:375.58,Price: ,2.18,Gillingham, 56298   size:14.68,Price: ,3.5,The Draw, 58805   size:46.36,Price: ,3.75,x
1.122275030, Sport: ,Rugby Union, Time: ,Sat Dec 19 16:15:00 CET 2015, Time: ,Sat Dec 19 16:15:00 CET 2015, Event: ,Stade Francais v Treviso, Favorite: ,Stade Francais, 233949   size:0.0,Price: ,0.0,Treviso, 52263   size:9.53,Price: ,17.0,Draw, 246289   size:13.7,Price: ,150.0,ok
1.122319458, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,Al-Quadisiya (KSA) v Hajer (KSA), Favorite: ,Al-Quadisiya (KSA), 10201607   size:11.02,Price: ,1.67,Hajer (KSA), 6617052   size:3.53,Price: ,5.0,The Draw, 58805   size:5.29,Price: ,3.95,x
1.122328298, Sport: ,Soccer, Time: ,Sat Dec 19 15:45:00 CET 2015, Time: ,Sat Dec 19 15:45:00 CET 2015, Event: ,CE Esporles v UE Alcudia, Favorite: ,CE Esporles, 10238429   size:10.06,Price: ,1.13,UE Alcudia, 7292328   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.05,x
1.122328296, Sport: ,Soccer, Time: ,Sat Dec 19 15:45:00 CET 2015, Time: ,Sat Dec 19 15:45:00 CET 2015, Event: ,CD Tineo v UP Langreo, Favorite: ,CD Tineo, 10505024   size:10.06,Price: ,1.13,UP Langreo, 6399742   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.0,x
1.122232780, Sport: ,Soccer, Time: ,Sat Dec 19 21:45:00 CET 2015, Time: ,Sat Dec 19 21:45:00 CET 2015, Event: ,Estoril v Guimaraes, Favorite: ,Estoril, 505980   size:373.37,Price: ,2.38,Guimaraes, 50085   size:251.53,Price: ,3.35,The Draw, 58805   size:63.75,Price: ,3.35,x
1.122345230, Sport: ,Soccer, Time: ,Sat Dec 19 23:00:00 CET 2015, Time: ,Sat Dec 19 23:00:00 CET 2015, Event: ,CD Trasandino v Deportes Ovalle, Favorite: ,CD Trasandino, 6615201   size:36.55,Price: ,1.02,Deportes Ovalle, 8826362   size:36.55,Price: ,1.02,The Draw, 58805   size:4.11,Price: ,3.1,ok
1.122253486, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,DHJ El Jadida v Chabab Rif Hoceima, Favorite: ,DHJ El Jadida, 6845213   size:2.55,Price: ,2.08,Chabab Rif Hoceima, 6666954   size:43.96,Price: ,4.0,The Draw, 58805   size:2.0,Price: ,2.92,ok
1.122300721, Sport: ,Basketball, Time: ,Sat Dec 19 18:30:00 CET 2015, Time: ,Sat Dec 19 18:30:00 CET 2015, Event: ,Alba Berlin v Tubingen, Favorite: ,Alba Berlin, 266284   size:2.55,Price: ,1.05,Tubingen, 1371897   size:27.86,Price: ,1.87,ok
1.122222867, Sport: ,Soccer, Time: ,Sat Dec 19 15:00:00 CET 2015, Time: ,Sat Dec 19 15:00:00 CET 2015, Event: ,Dinamo Zagreb v Inter Zapresic, Favorite: ,Dinamo Zagreb, 50344   size:466.92,Price: ,1.15,Inter Zapresic, 729701   size:3.91,Price: ,18.5,The Draw, 58805   size:5.47,Price: ,7.2,ok
1.122322630, Sport: ,Soccer, Time: ,Sat Dec 19 17:00:00 CET 2015, Time: ,Sat Dec 19 17:00:00 CET 2015, Event: ,Mallorca B v SCR Pena Deportiva, Favorite: ,Mallorca B, 4144563   size:2.33,Price: ,2.26,SCR Pena Deportiva, 6773932   size:41.28,Price: ,2.74,The Draw, 58805   size:5.84,Price: ,3.0,ok
1.122322516, Sport: ,Soccer, Time: ,Sat Dec 19 17:00:00 CET 2015, Time: ,Sat Dec 19 17:00:00 CET 2015, Event: ,Crevillente Deportivo v UD Beniganim, Favorite: ,Crevillente Deportivo, 5260593   size:3.57,Price: ,1.39,UD Beniganim, 8811936   size:35.09,Price: ,5.9,The Draw, 58805   size:35.57,Price: ,3.75,x
1.122315096, Sport: ,Basketball, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Boulogne sur Mer v Nantes, Favorite: ,Boulogne sur Mer, 6719012   size:2.74,Price: ,1.03,Nantes, 6719007   size:2.74,Price: ,1.03,ok
1.122315097, Sport: ,Basketball, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Saint Quentin v Orchies, Favorite: ,Saint Quentin, 6719006   size:2.74,Price: ,1.03,Orchies, 7615255   size:2.74,Price: ,1.03,x
1.122301814, Sport: ,Ice Hockey, Time: ,Sun Dec 20 01:05:00 CET 2015, Time: ,Sun Dec 20 01:05:00 CET 2015, Event: ,Philadelphia @ Columbus, Favorite: ,Columbus, 2114347   size:15.2,Price: ,2.28,Philadelphia, 2109791   size:15.09,Price: ,2.44,Tie, 60104   size:7.0,Price: ,3.7,x
1.122315094, Sport: ,Basketball, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Boulazac v Souffelweyersheim, Favorite: ,Boulazac, 6718787   size:2.55,Price: ,1.24,Souffelweyersheim, 7615256   size:4.89,Price: ,4.9,ok
1.122300602, Sport: ,Basketball, Time: ,Sat Dec 19 23:05:00 CET 2015, Time: ,Sat Dec 19 23:05:00 CET 2015, Event: ,LA Lakers @ Oklahoma City, Favorite: ,Oklahoma City, 3363394   size:6859.25,Price: ,1.06,LA Lakers, 2120881   size:13.0,Price: ,8.2,ok
1.122275024, Sport: ,Rugby Union, Time: ,Sat Dec 19 16:15:00 CET 2015, Time: ,Sat Dec 19 16:15:00 CET 2015, Event: ,Bath v Wasps, Favorite: ,Bath, 8887   size:13.05,Price: ,1.5,Wasps, 8878   size:12.92,Price: ,2.98,Draw, 246289   size:2.46,Price: ,24.0,x
1.122328288, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,UD Samano v SD Textil Escudo, Favorite: ,UD Samano, 10263134   size:10.06,Price: ,1.13,SD Textil Escudo, 8900487   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.05,x
1.122328286, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,CD Guarnizo v CD Laredo, Favorite: ,CD Guarnizo, 6670872   size:10.06,Price: ,1.13,CD Laredo, 6737451   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.05,ok
1.122345483, Sport: ,Handball, Time: ,Sat Dec 19 19:00:00 CET 2015, Time: ,Sat Dec 19 19:00:00 CET 2015, Event: ,TBV Lemgo v THW Kiel, Favorite: ,THW Kiel, 536477   size:572.97,Price: ,1.12,TBV Lemgo, 536475   size:16.61,Price: ,2.02,Draw, 330157   size:4.65,Price: ,16.5,ok
1.122328284, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,CA Osasuna II v CD Pamplona, Favorite: ,CA Osasuna II, 9310975   size:10.06,Price: ,1.13,CD Pamplona, 8368995   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.1,ok
1.122300732, Sport: ,Basketball, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Strasbourg v Paris Levallois, Favorite: ,Strasbourg, 1193143   size:2.55,Price: ,1.17,Paris Levallois, 2638786   size:5.98,Price: ,1.73,ok
1.122319341, Sport: ,Soccer, Time: ,Sat Dec 19 14:30:00 CET 2015, Time: ,Sat Dec 19 14:30:00 CET 2015, Event: ,Excelsior Maassluis v Barendrecht, Favorite: ,Barendrecht, 4186853   size:2.42,Price: ,2.18,Excelsior Maassluis, 1259870   size:2.23,Price: ,2.36,The Draw, 58805   size:52.18,Price: ,3.3,x
1.122345003, Sport: ,Basketball, Time: ,Sun Dec 20 01:35:00 CET 2015, Time: ,Sun Dec 20 01:35:00 CET 2015, Event: ,Chicago @ New York, Favorite: ,Chicago, 13117   size:2.55,Price: ,1.43,New York, 13106   size:16.49,Price: ,1.6,x
1.122322740, Sport: ,Soccer, Time: ,Sat Dec 19 17:00:00 CET 2015, Time: ,Sat Dec 19 17:00:00 CET 2015, Event: ,Pena Balsamaiso CF v CA Vianes, Favorite: ,Pena Balsamaiso CF, 8826852   size:2.56,Price: ,2.06,CA Vianes, 8838649   size:39.08,Price: ,2.84,The Draw, 58805   size:35.86,Price: ,3.25,ok
1.122228390, Sport: ,Soccer, Time: ,Sat Dec 19 15:00:00 CET 2015, Time: ,Sat Dec 19 15:00:00 CET 2015, Event: ,Como v Avellino, Favorite: ,Como, 60298   size:59.93,Price: ,2.58,Avellino, 501202   size:48.03,Price: ,3.25,The Draw, 58805   size:148.89,Price: ,3.2,x
1.122349608, Sport: ,Snooker, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Anthony Hamilton v Stuart Bingham, Favorite: ,Anthony Hamilton, 2278810   size:4.74,Price: ,1.01,Stuart Bingham, 2278800   size:4.74,Price: ,1.01,x
1.122322625, Sport: ,Handball, Time: ,Sat Dec 19 19:00:00 CET 2015, Time: ,Sat Dec 19 19:00:00 CET 2015, Event: ,Bergischer v Goppingen, Favorite: ,Bergischer, 4500054   size:2.74,Price: ,1.03,Goppingen, 2046558   size:8.04,Price: ,1.39,Draw, 330157   size:202.0,Price: ,1.04,x
1.122324928, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,ES Setif v WR MSila, Favorite: ,ES Setif, 5201569   size:5.56,Price: ,1.1,WR MSila, 10640477   size:3.6,Price: ,20.0,The Draw, 58805   size:14.44,Price: ,5.9,ok
1.122247811, Sport: ,Soccer, Time: ,Sat Dec 19 19:30:00 CET 2015, Time: ,Sat Dec 19 19:30:00 CET 2015, Event: ,Verbroedering Geel v Roeselare, Favorite: ,Roeselare, 505719   size:2.55,Price: ,2.04,Verbroedering Geel, 505724   size:96.72,Price: ,3.8,The Draw, 58805   size:108.16,Price: ,3.65,x
1.122228033, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Peterhead v Ayr, Favorite: ,Peterhead, 729810   size:5.0,Price: ,2.4,Ayr, 48005   size:14.66,Price: ,2.9,The Draw, 58805   size:3.64,Price: ,3.75,ok
1.122328391, Sport: ,Soccer, Time: ,Sat Dec 19 16:30:00 CET 2015, Time: ,Sat Dec 19 16:30:00 CET 2015, Event: ,Fuente de Cantos v Atl Club Pueblonuevo, Favorite: ,Fuente de Cantos, 10622039   size:27.6,Price: ,1.02,Atl Club Pueblonuevo, 10621550   size:27.6,Price: ,1.02,The Draw, 58805   size:4.11,Price: ,3.05,ok
