1.121421435, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Sao Paulo v Sport Recife, Favorite: ,Sao Paulo, 198126   size:891.16,Price: ,1.55,Sport Recife, 2405306   size:66.86,Price: ,7.2,The Draw, 58805   size:41.47,Price: ,4.3,ok
1.121418942, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,SC Bastia v Caen, Favorite: ,Caen, 310510   size:542.59,Price: ,2.66,SC Bastia, 7534982   size:639.05,Price: ,3.05,The Draw, 58805   size:2735.18,Price: ,3.25,x
1.121493724, Sport: ,American Football, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Saskatchewan @ Calgary, Favorite: ,Calgary, 2026163   size:2.55,Price: ,1.09,Saskatchewan, 2026227   size:70.89,Price: ,7.6,ok
1.121607946, Sport: ,Tennis, Time: ,Sat Oct 31 19:30:00 CET 2015, Time: ,Sat Oct 31 19:30:00 CET 2015, Event: ,M Linzer v M Cuevas, Favorite: ,Michael Linzer, 7216260   size:179.87,Price: ,1.07,Martin Cuevas, 8326736   size:63.59,Price: ,1.07,ok
1.121603530, Sport: ,Tennis, Time: ,Sat Oct 31 18:45:00 CET 2015, Time: ,Sat Oct 31 18:45:00 CET 2015, Event: ,Halys v M Granollers, Favorite: ,Marcel Granollers, 3035263   size:5.9,Price: ,1.71,Quentin Halys, 7287690   size:26.72,Price: ,2.28,ok
1.121564578, Sport: ,Soccer, Time: ,Sat Oct 31 17:30:00 CET 2015, Time: ,Sat Oct 31 17:30:00 CET 2015, Event: ,CF Platges de Calvia v UE Alcudia, Favorite: ,CF Platges de Calvia, 7708961   size:9.39,Price: ,2.32,UE Alcudia, 7292328   size:7.9,Price: ,2.76,The Draw, 58805   size:7.36,Price: ,2.96,x
1.121507067, Sport: ,Soccer, Time: ,Sat Oct 31 16:30:00 CET 2015, Time: ,Sat Oct 31 16:30:00 CET 2015, Event: ,Celta Vigo B v CD Izarra, Favorite: ,Celta Vigo B, 7583222   size:5.74,Price: ,2.32,CD Izarra, 9320407   size:4.63,Price: ,3.2,The Draw, 58805   size:2.73,Price: ,3.3,ok
1.121555866, Sport: ,Basketball, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Komarno v Nova Ves, Favorite: ,Komarno, 6719595   size:386.05,Price: ,1.01,Nova Ves, 6719643   size:40.64,Price: ,2.4,ok
1.121555867, Sport: ,Basketball, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Svit v Levice, Favorite: ,Svit, 6719642   size:2.8,Price: ,1.02,Levice, 6719593   size:2.8,Price: ,1.02,x
1.121555865, Sport: ,Basketball, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Inter Bratislava  v Karlovka Bratislava, Favorite: ,Inter Bratislava, 6719594   size:2.55,Price: ,1.09,Karlovka Braitslava, 8931065   size:2.55,Price: ,2.02,ok
