1.122360827, Sport: ,Basketball, Time: ,Tue Dec 29 01:00:00 CET 2015, Time: ,Tue Dec 29 01:00:00 CET 2015, Event: ,Penn @ Villanova, Favorite: ,Villanova, 675919   size:0.0,Price: ,0.0,Penn, 10650293   size:5.92,Price: ,1.14,ok
1.122340636, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Notts Co v Morecambe, Favorite: ,Notts Co, 486328   size:66.5,Price: ,1.98,Morecambe, 51311   size:45.05,Price: ,4.0,The Draw, 58805   size:37.74,Price: ,3.95,x
1.122309431, Sport: ,Handball, Time: ,Mon Dec 28 20:00:00 CET 2015, Time: ,Mon Dec 28 20:00:00 CET 2015, Event: ,Aalborg v Skanderborg, Favorite: ,Aalborg, 1065783   size:444.0,Price: ,1.06,Skanderborg, 2467576   size:12.87,Price: ,1.69,Draw, 330157   size:3.0,Price: ,1.67,ok
1.122388216, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Orebro v Modo, Favorite: ,Orebro, 247111   size:103.14,Price: ,1.8,MODO, 60824   size:3.19,Price: ,3.8,Tie, 60104   size:94.0,Price: ,4.8,ok
1.122376074, Sport: ,Basketball, Time: ,Tue Dec 29 02:35:00 CET 2015, Time: ,Tue Dec 29 02:35:00 CET 2015, Event: ,Milwaukee @ Dallas, Favorite: ,Dallas, 13122   size:65.06,Price: ,1.39,Milwaukee, 13115   size:25.63,Price: ,3.3,ok
1.122309435, Sport: ,Handball, Time: ,Mon Dec 28 20:00:00 CET 2015, Time: ,Mon Dec 28 20:00:00 CET 2015, Event: ,SonderjyskE v Midtjylland, Favorite: ,Draw, 330157   size:7.22,Price: ,1.21,SonderjyskE, 4155763   size:2.86,Price: ,1.75,Midtjylland, 4306322   size:6.93,Price: ,2.88,x
1.122309433, Sport: ,Handball, Time: ,Mon Dec 28 20:00:00 CET 2015, Time: ,Mon Dec 28 20:00:00 CET 2015, Event: ,Team Tvis Holstebro v Mors Thy, Favorite: ,Team Tvis Holstebro, 359681   size:444.0,Price: ,1.06,Mors Thy, 5207545   size:29.92,Price: ,1.89,Draw, 330157   size:5.92,Price: ,1.17,x
1.122335688, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Boston Utd v Gainsborough, Favorite: ,Boston Utd, 256306   size:3.88,Price: ,2.06,Gainsborough, 597721   size:2.72,Price: ,3.55,The Draw, 58805   size:4.73,Price: ,3.4,ok
1.122341048, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Yeovil v Oxford Utd, Favorite: ,Oxford Utd, 256171   size:424.04,Price: ,1.77,Yeovil, 132555   size:167.94,Price: ,5.2,The Draw, 58805   size:61.96,Price: ,3.95,x
1.122341563, Sport: ,Soccer, Time: ,Mon Dec 28 18:15:00 CET 2015, Time: ,Mon Dec 28 18:15:00 CET 2015, Event: ,Middlesbrough v Sheff Wed, Favorite: ,Middlesbrough, 63907   size:856.46,Price: ,1.72,Sheff Wed, 47992   size:593.82,Price: ,6.0,The Draw, 58805   size:584.11,Price: ,3.85,ok
1.122388211, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Skelleftea v Frolunda, Favorite: ,Skelleftea, 247106   size:94.07,Price: ,2.08,Frolunda, 60808   size:109.0,Price: ,2.94,Tie, 60104   size:92.44,Price: ,4.4,x
1.122279015, Sport: ,Soccer, Time: ,Mon Dec 28 18:30:00 CET 2015, Time: ,Mon Dec 28 18:30:00 CET 2015, Event: ,West Ham v Southampton, Favorite: ,Southampton, 58943   size:1851.69,Price: ,2.38,West Ham, 48756   size:405.67,Price: ,3.4,The Draw, 58805   size:847.27,Price: ,3.45,x
1.122399833, Sport: ,Basketball, Time: ,Mon Dec 28 17:30:00 CET 2015, Time: ,Mon Dec 28 17:30:00 CET 2015, Event: ,Kataja v Helsinki, Favorite: ,Kataja, 1364981   size:5.18,Price: ,1.23,Helsinki, 9042443   size:7.31,Price: ,4.8,ok
1.122399835, Sport: ,Basketball, Time: ,Mon Dec 28 17:30:00 CET 2015, Time: ,Mon Dec 28 17:30:00 CET 2015, Event: ,Pyrinto Tampere v BC Nokia, Favorite: ,Pyrinto Tampere, 7749531   size:2.55,Price: ,1.5,BC Nokia, 10291895   size:25.65,Price: ,2.8,x
1.122372158, Sport: ,Ice Hockey, Time: ,Mon Dec 28 17:00:00 CET 2015, Time: ,Mon Dec 28 17:00:00 CET 2015, Event: ,Trinec v Vitkovice Steel, Favorite: ,Trinec, 563259   size:2.98,Price: ,1.68,Vitkovice Steel, 2878390   size:7.25,Price: ,2.64,Tie, 60104   size:18.45,Price: ,4.9,ok
1.122399834, Sport: ,Basketball, Time: ,Mon Dec 28 17:30:00 CET 2015, Time: ,Mon Dec 28 17:30:00 CET 2015, Event: ,KTP Basket v Kouvot Kouvola, Favorite: ,Kouvot Kouvola, 7749353   size:57.37,Price: ,1.75,KTP Basket, 7976086   size:51.14,Price: ,2.14,x
1.122399836, Sport: ,Basketball, Time: ,Mon Dec 28 17:30:00 CET 2015, Time: ,Mon Dec 28 17:30:00 CET 2015, Event: ,AO Faros Keratsiniou BC v PAOK, Favorite: ,PAOK, 281533   size:305.92,Price: ,1.17,AO Faros Keratsiniou BC, 10309595   size:2.55,Price: ,5.5,x
1.122339001, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Sheff Utd v Bradford, Favorite: ,Sheff Utd, 48470   size:47.24,Price: ,2.4,Bradford, 48444   size:780.57,Price: ,3.3,The Draw, 58805   size:201.85,Price: ,3.4,ok
1.122399792, Sport: ,Basketball, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Galatasaray v Besiktas, Favorite: ,Galatasaray, 631281   size:4.49,Price: ,1.25,Besiktas, 631288   size:26.31,Price: ,4.2,ok
1.122285504, Sport: ,American Football, Time: ,Tue Dec 29 02:30:00 CET 2015, Time: ,Tue Dec 29 02:30:00 CET 2015, Event: ,Cincinnati @ Denver, Favorite: ,Denver Broncos, 50211   size:11.42,Price: ,1.58,Cincinnati Bengals, 50210   size:80.1,Price: ,2.7,ok
1.122376114, Sport: ,Basketball, Time: ,Tue Dec 29 04:35:00 CET 2015, Time: ,Tue Dec 29 04:35:00 CET 2015, Event: ,Sacramento @ Golden State, Favorite: ,Golden State, 13126   size:2505.0,Price: ,1.09,Sacramento, 13127   size:12.48,Price: ,7.8,ok
1.122338273, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Crewe v Shrewsbury, Favorite: ,Shrewsbury, 148735   size:14.7,Price: ,2.46,Crewe, 47991   size:514.26,Price: ,3.1,The Draw, 58805   size:12.65,Price: ,3.55,ok
1.122337066, Sport: ,Soccer, Time: ,Mon Dec 28 17:00:00 CET 2015, Time: ,Mon Dec 28 17:00:00 CET 2015, Event: ,Hapoel Ashkelon v Hapoel Afula, Favorite: ,Hapoel Ashkelon, 5221516   size:2.7,Price: ,2.44,Hapoel Afula, 5546999   size:6.21,Price: ,2.8,The Draw, 58805   size:3.2,Price: ,3.3,ok
1.122337341, Sport: ,Soccer, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Portimonense v Arouca, Favorite: ,Arouca, 3413603   size:29.84,Price: ,2.76,Portimonense, 505982   size:155.35,Price: ,2.96,The Draw, 58805   size:100.34,Price: ,3.2,x
