1.122204066, Sport: ,Basketball, Time: ,Mon Dec 14 17:00:00 CET 2015, Time: ,Mon Dec 14 17:00:00 CET 2015, Event: ,Krasny Oktyabr v Avtodor, Favorite: ,Avtodor, 8801689   size:519.36,Price: ,1.08,Krasny Oktyabr, 7774804   size:10.8,Price: ,5.2,ok
1.122280225, Sport: ,Tennis, Time: ,Mon Dec 14 17:30:00 CET 2015, Time: ,Mon Dec 14 17:30:00 CET 2015, Event: ,Jaume PLA Malfeito v Nick Chappell, Favorite: ,Jaume Pla Malfeito, 10608516   size:6.9,Price: ,1.08,Nick Chappell, 8258578   size:6.9,Price: ,1.08,ok
1.122280228, Sport: ,Tennis, Time: ,Mon Dec 14 16:00:00 CET 2015, Time: ,Mon Dec 14 16:00:00 CET 2015, Event: ,Tim Kopinski v Alexios Halebian, Favorite: ,Alexios Halebian, 8258588   size:13.74,Price: ,1.04,Tim Kopinski, 8661121   size:6.9,Price: ,1.08,ok
1.122280226, Sport: ,Tennis, Time: ,Mon Dec 14 17:30:00 CET 2015, Time: ,Mon Dec 14 17:30:00 CET 2015, Event: ,Mateo Nicolas Martinez v Luis Patino, Favorite: ,Mateo Nicolas Martinez, 8244705   size:6.9,Price: ,1.08,Luis Patino, 7083127   size:6.9,Price: ,1.08,x
1.122280227, Sport: ,Tennis, Time: ,Mon Dec 14 17:30:00 CET 2015, Time: ,Mon Dec 14 17:30:00 CET 2015, Event: ,Nick Hardt v Raleigh Smith, Favorite: ,Nick Hardt, 10583361   size:13.74,Price: ,1.04,Raleigh Smith, 9626363   size:13.74,Price: ,1.04,x
1.122166158, Sport: ,Soccer, Time: ,Mon Dec 14 20:30:00 CET 2015, Time: ,Mon Dec 14 20:30:00 CET 2015, Event: ,Nancy v Valenciennes, Favorite: ,Nancy, 70468   size:600.54,Price: ,1.42,Valenciennes, 669343   size:21.66,Price: ,11.0,The Draw, 58805   size:179.44,Price: ,4.7,ok
1.122217391, Sport: ,Basketball, Time: ,Mon Dec 14 17:30:00 CET 2015, Time: ,Mon Dec 14 17:30:00 CET 2015, Event: ,Khimki v VEF Riga, Favorite: ,Khimki, 2154546   size:1038.7,Price: ,1.04,VEF Riga, 4276692   size:7.65,Price: ,6.4,ok
1.122194465, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,Zulte-Waregem (Y) v Club Brugge (Y), Favorite: ,Club Brugge (Y), 7159209   size:3.16,Price: ,1.58,Zulte-Waregem (Y), 7159226   size:5.07,Price: ,3.2,The Draw, 58805   size:2.26,Price: ,3.1,x
1.122268461, Sport: ,Handball, Time: ,Mon Dec 14 20:30:00 CET 2015, Time: ,Mon Dec 14 20:30:00 CET 2015, Event: ,Russia v South Korea, Favorite: ,Russia, 602689   size:18.06,Price: ,1.24,South Korea, 620382   size:3.79,Price: ,5.9,Draw, 330157   size:3.18,Price: ,12.0,ok
1.122161024, Sport: ,Soccer, Time: ,Mon Dec 14 21:00:00 CET 2015, Time: ,Mon Dec 14 21:00:00 CET 2015, Event: ,Academica v Belenenses, Favorite: ,Academica, 203143   size:4.56,Price: ,2.58,Belenenses, 48786   size:215.15,Price: ,3.35,The Draw, 58805   size:967.12,Price: ,3.1,ok
