1.122450292, Sport: ,Ice Hockey, Time: ,Sat Jan 02 11:00:00 CET 2016, Time: ,Sat Jan 02 11:00:00 CET 2016, Event: ,Switzerland v Belarus, Favorite: ,Switzerland, 140147   size:13.84,Price: ,1.04,Belarus, 253801   size:18.0,Price: ,1.39,Tie, 60104   size:18.0,Price: ,1.39,ok
1.122426373, Sport: ,Soccer, Time: ,Sat Jan 02 20:00:00 CET 2016, Time: ,Sat Jan 02 20:00:00 CET 2016, Event: ,CA Penapolense U20 v Mirassol FC U20, Favorite: ,Mirassol FC U20, 9732882   size:2.55,Price: ,1.6,CA Penapolense U20, 9534522   size:24.66,Price: ,3.95,The Draw, 58805   size:26.43,Price: ,3.75,ok
1.122450295, Sport: ,Ice Hockey, Time: ,Sat Jan 02 19:00:00 CET 2016, Time: ,Sat Jan 02 19:00:00 CET 2016, Event: ,USA v Czech Republic, Favorite: ,USA, 140144   size:13.84,Price: ,1.04,Czech Republic, 140138   size:18.0,Price: ,1.15,Tie, 60104   size:18.0,Price: ,1.15,ok
1.122450055, Sport: ,Tennis, Time: ,Sat Jan 02 10:45:00 CET 2016, Time: ,Sat Jan 02 10:45:00 CET 2016, Event: ,Bemelmans v Karatsev, Favorite: ,Ruben Bemelmans, 2831873   size:3.69,Price: ,1.15,Aslan Karatsev, 7659748   size:2.55,Price: ,1.33,x
1.122439854, Sport: ,Tennis, Time: ,Sat Jan 02 09:15:00 CET 2016, Time: ,Sat Jan 02 09:15:00 CET 2016, Event: ,Popko v Garanganga, Favorite: ,Dmitry Popko, 8284522   size:5.99,Price: ,1.69,Takanyi Garanganga, 7048673   size:5.99,Price: ,1.97,ok
1.122450059, Sport: ,Tennis, Time: ,Sat Jan 02 10:45:00 CET 2016, Time: ,Sat Jan 02 10:45:00 CET 2016, Event: ,Zayed v Albot, Favorite: ,Radu Albot, 6603898   size:2.16,Price: ,1.03,Mousa Shanan Zayed, 6948128   size:6.92,Price: ,1.08,ok
1.122391399, Sport: ,Soccer, Time: ,Sat Jan 02 19:00:00 CET 2016, Time: ,Sat Jan 02 19:00:00 CET 2016, Event: ,Pacos Ferreira v Belenenses, Favorite: ,Pacos Ferreira, 48787   size:123.11,Price: ,1.9,Belenenses, 48786   size:68.58,Price: ,4.9,The Draw, 58805   size:171.82,Price: ,3.5,x
1.122383717, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Hibernian v Raith, Favorite: ,Hibernian, 9166   size:32.78,Price: ,1.32,Raith, 674747   size:7.15,Price: ,10.5,The Draw, 58805   size:5.0,Price: ,5.9,ok
1.122439858, Sport: ,Tennis, Time: ,Sat Jan 02 11:00:00 CET 2016, Time: ,Sat Jan 02 11:00:00 CET 2016, Event: ,Neuchrist v F Silva, Favorite: ,Maximilian Neuchrist, 7797896   size:9.29,Price: ,1.06,Frederico Ferreira Silv, 9437339   size:9.29,Price: ,1.06,ok
1.122430921, Sport: ,Volleyball, Time: ,Sat Jan 02 06:07:00 CET 2016, Time: ,Sat Jan 02 06:07:00 CET 2016, Event: ,Seoul Woori Card Hansae v Cheonan Hyundai Capital, Favorite: ,Cheonan Hyundai Capital, 10391679   size:2.72,Price: ,1.03,Seoul Woori Card Hansae, 10391680   size:2.55,Price: ,5.9,ok
