1.122490069, Sport: ,Ice Hockey, Time: ,Sat Jan 16 01:05:00 CET 2016, Time: ,Sat Jan 16 01:05:00 CET 2016, Event: ,Chicago @ Toronto, Favorite: ,Chicago, 2109831   size:2.25,Price: ,2.04,Toronto, 2108073   size:7.29,Price: ,2.86,Tie, 60104   size:3.74,Price: ,4.1,ok
1.122571077, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,SKA St. Petersburg v Amur Khabarovsk, Favorite: ,SKA St. Petersburg, 8986371   size:1474.56,Price: ,1.36,Amur Khabarovsk, 2056879   size:102.56,Price: ,6.2,Tie, 60104   size:105.9,Price: ,6.0,x
1.122490064, Sport: ,Ice Hockey, Time: ,Sat Jan 16 01:05:00 CET 2016, Time: ,Sat Jan 16 01:05:00 CET 2016, Event: ,Boston @ Buffalo, Favorite: ,Boston, 2112316   size:2.54,Price: ,2.04,Buffalo, 4427593   size:2.54,Price: ,2.64,Tie, 60104   size:2.64,Price: ,4.0,ok
1.122613671, Sport: ,Tennis, Time: ,Fri Jan 15 17:00:00 CET 2016, Time: ,Fri Jan 15 17:00:00 CET 2016, Event: ,Natalia Vikhlyantseva v Ons Jabeur, Favorite: ,Natalia Vikhlyantseva, 9042370   size:2.67,Price: ,1.72,Ons Jabeur, 6161111   size:2.34,Price: ,1.96,x
1.122613672, Sport: ,Tennis, Time: ,Fri Jan 15 17:00:00 CET 2016, Time: ,Fri Jan 15 17:00:00 CET 2016, Event: ,Olga Fridman v Elitsa Kostova, Favorite: ,Olga Fridman, 9629716   size:3.0,Price: ,1.53,Elitsa Kostova, 6196031   size:13.96,Price: ,2.32,ok
1.122613430, Sport: ,Tennis, Time: ,Fri Jan 15 14:00:00 CET 2016, Time: ,Fri Jan 15 14:00:00 CET 2016, Event: ,Petr Michnev v Cem Ilkel, Favorite: ,Petr Michnev, 8224989   size:2.49,Price: ,1.84,Cem Ilkel, 8444055   size:2.49,Price: ,1.84,ok
1.122613673, Sport: ,Tennis, Time: ,Sat Jan 16 05:45:00 CET 2016, Time: ,Sat Jan 16 05:45:00 CET 2016, Event: ,Youzhny v Ja Jung, Favorite: ,Mikhail Youzhny, 2263536   size:6.89,Price: ,1.08,Jason Jung, 7048850   size:6.89,Price: ,1.08,ok
1.122581324, Sport: ,Soccer, Time: ,Fri Jan 15 10:30:00 CET 2016, Time: ,Fri Jan 15 10:30:00 CET 2016, Event: ,Hapoel Ramat Israel v Bnei Yaffo Orthodoksim, Favorite: ,Bnei Yaffo Orthodoksim, 10688712   size:4.0,Price: ,1.86,Hapoel Ramat Israel, 10396709   size:4.0,Price: ,2.0,The Draw, 58805   size:2.54,Price: ,3.6,ok
1.122613432, Sport: ,Tennis, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,De Greef v Ma Gonzalez, Favorite: ,Maximo Gonzalez, 2489416   size:3.73,Price: ,1.23,Arthur De Greef, 7287672   size:39.95,Price: ,3.3,x
1.122581202, Sport: ,Soccer, Time: ,Fri Jan 15 11:00:00 CET 2016, Time: ,Fri Jan 15 11:00:00 CET 2016, Event: ,Beitar Petah Tikva v MS Roch TLV, Favorite: ,MS Roch TLV, 10715481   size:2.54,Price: ,1.58,Beitar Petah Tikva, 10292486   size:2.54,Price: ,1.73,The Draw, 58805   size:6.32,Price: ,3.25,x
1.122583506, Sport: ,Tennis, Time: ,Fri Jan 15 08:10:00 CET 2016, Time: ,Fri Jan 15 08:10:00 CET 2016, Event: ,Kretschmer/Satschko v Bhupathi/Raja, Favorite: ,Kretschmer/Satschko, 7810209   size:41.33,Price: ,1.45,Bhupathi/Raja, 10706508   size:10.76,Price: ,2.0,ok
1.122566845, Sport: ,Basketball, Time: ,Sat Jan 16 02:05:00 CET 2016, Time: ,Sat Jan 16 02:05:00 CET 2016, Event: ,Dallas @ Chicago, Favorite: ,Chicago, 13117   size:3.27,Price: ,1.53,Dallas, 13122   size:3.25,Price: ,1.54,x
