1.121480940, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Needham Market FC v Billericay Town, Favorite: ,Needham Market FC, 7804115   size:2.42,Price: ,1.06,Billericay Town, 1034114   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121480995, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Harrow v Farnborough, Favorite: ,Harrow, 8944009   size:2.42,Price: ,1.06,Farnborough, 256188   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121479343, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Cheltenham v Havant and W, Favorite: ,Havant and W, 5114005   size:305.59,Price: ,1.04,Cheltenham, 18559   size:38.84,Price: ,1.42,The Draw, 58805   size:6.93,Price: ,2.2
1.120878564, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Everton v Norwich, Favorite: ,Everton, 56343   size:781.0,Price: ,1.71,Norwich, 47998   size:12.29,Price: ,5.3,The Draw, 58805   size:693.8,Price: ,4.2
1.121363563, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Basingstoke v Whitehawk, Favorite: ,Whitehawk, 4597875   size:26.35,Price: ,2.08,Basingstoke, 2159190   size:43.03,Price: ,3.5,The Draw, 58805   size:4.46,Price: ,3.85
1.121481756, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Spalding United FC v Shaw Lane Aquaforce FC, Favorite: ,Spalding United FC, 9131073   size:3.0,Price: ,1.03,Shaw Lane Aquaforce FC, 10459367   size:3.0,Price: ,1.03,The Draw, 58805   size:2.42,Price: ,1.06
1.120879079, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Sheff Wed v Arsenal, Favorite: ,Arsenal, 1096   size:6575.47,Price: ,1.53,Sheff Wed, 47992   size:319.93,Price: ,7.4,The Draw, 58805   size:126.51,Price: ,4.5
1.121369091, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Bologna v Inter, Favorite: ,Inter, 63347   size:130.55,Price: ,1.82,Bologna, 199545   size:13.37,Price: ,5.4,The Draw, 58805   size:445.87,Price: ,3.65
1.121481977, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Mangotsfield United v Evesham Utd, Favorite: ,Mangotsfield United, 8084874   size:3.0,Price: ,1.03,Evesham Utd, 2608899   size:3.0,Price: ,1.03,The Draw, 58805   size:2.42,Price: ,1.06
1.121485207, Sport: ,Tennis, Time: ,Tue Oct 27 22:15:00 CET 2015, Time: ,Tue Oct 27 22:15:00 CET 2015, Event: ,Lorenzi/Romboli v Gomez Diaz/Hank, Favorite: ,Lorenzi/Romboli, 10459507   size:2.55,Price: ,1.13,Gomez Diaz/Hank, 10459508   size:5.02,Price: ,5.3
1.121485219, Sport: ,Tennis, Time: ,Tue Oct 27 22:15:00 CET 2015, Time: ,Tue Oct 27 22:15:00 CET 2015, Event: ,Lapentti/Moser v O'Brien/Roelofse, Favorite: ,O'Brien/Roelofse, 9545182   size:3.0,Price: ,1.33,Lapentti/Moser, 10459511   size:4.63,Price: ,2.94
1.121366354, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,ACS Poli Timisoara v Petrolul Ploiesti, Favorite: ,ACS Poli Timisoara, 6809287   size:2.42,Price: ,1.06,Petrolul Ploiesti, 3417863   size:2.42,Price: ,1.06,The Draw, 58805   size:2.42,Price: ,1.06
1.121365355, Sport: ,Soccer, Time: ,Tue Oct 27 20:00:00 CET 2015, Time: ,Tue Oct 27 20:00:00 CET 2015, Event: ,Achilles 29 v Spakenburg, Favorite: ,Achilles 29, 4189472   size:200.0,Price: ,1.31,Spakenburg, 2553164   size:108.72,Price: ,6.0,The Draw, 58805   size:10.22,Price: ,3.75
