1.121696009, Sport: ,Ice Hockey, Time: ,Wed Nov 11 02:30:00 CET 2015, Time: ,Wed Nov 11 02:30:00 CET 2015, Event: ,Toronto @ Dallas, Favorite: ,Dallas, 2108116   size:117.35,Price: ,1.86,Toronto, 2108073   size:6.07,Price: ,4.0,Tie, 60104   size:78.92,Price: ,4.5,x
1.121727821, Sport: ,Tennis, Time: ,Tue Nov 10 21:51:00 CET 2015, Time: ,Tue Nov 10 21:51:00 CET 2015, Event: ,Duran/Molteni v Capalbo/Espin Busleiman, Favorite: ,Duran/Molteni, 8910784   size:44.1,Price: ,1.16,Capalbo/Espin Busleiman, 10409106   size:3.02,Price: ,5.0,ok
1.121748748, Sport: ,Tennis, Time: ,Wed Nov 11 08:30:00 CET 2015, Time: ,Wed Nov 11 08:30:00 CET 2015, Event: ,Okuda v Kennel, Favorite: ,Akiko Okuda, 10116462   size:8.4,Price: ,1.04,Karin Kennel, 9246669   size:8.4,Price: ,1.04,x
1.121638219, Sport: ,Soccer, Time: ,Tue Nov 10 22:00:00 CET 2015, Time: ,Tue Nov 10 22:00:00 CET 2015, Event: ,Mogi Mirim v Paysandu, Favorite: ,Paysandu, 189951   size:109.82,Price: ,1.49,Mogi Mirim, 1039199   size:183.64,Price: ,7.8,The Draw, 58805   size:196.95,Price: ,4.8,x
1.121743242, Sport: ,American Football, Time: ,Wed Nov 11 02:00:00 CET 2015, Time: ,Wed Nov 11 02:00:00 CET 2015, Event: ,Kent State @ Ohio, Favorite: ,Ohio, 2205296   size:2.77,Price: ,1.41,Kent State, 2174196   size:5.54,Price: ,3.2,ok
1.121720000, Sport: ,Tennis, Time: ,Wed Nov 11 00:45:00 CET 2015, Time: ,Wed Nov 11 00:45:00 CET 2015, Event: ,Delbonis v G Elias, Favorite: ,Federico Delbonis, 6181532   size:57.63,Price: ,1.52,Gastao Elias, 2923174   size:27.08,Price: ,2.74,x
1.121733917, Sport: ,Basketball, Time: ,Wed Nov 11 02:00:00 CET 2015, Time: ,Wed Nov 11 02:00:00 CET 2015, Event: ,Charlotte @ Minnesota, Favorite: ,Charlotte, 13110   size:136.79,Price: ,1.81,Minnesota, 13118   size:69.0,Price: ,2.16,ok
1.121695955, Sport: ,Ice Hockey, Time: ,Wed Nov 11 01:30:00 CET 2015, Time: ,Wed Nov 11 01:30:00 CET 2015, Event: ,Washington @ Detroit, Favorite: ,Washington, 2109756   size:117.65,Price: ,2.34,Detroit, 975676   size:5.06,Price: ,2.86,Tie, 60104   size:107.78,Price: ,4.1,x
1.121726705, Sport: ,Tennis, Time: ,Wed Nov 11 10:00:00 CET 2015, Time: ,Wed Nov 11 10:00:00 CET 2015, Event: ,Friedsam/Piter v Kuncikova/Stuchla, Favorite: ,Friedsam/Piter, 10343288   size:3.18,Price: ,1.57,Kuncikova/Stuchla, 9493903   size:2.12,Price: ,2.36,x
1.121695997, Sport: ,Ice Hockey, Time: ,Wed Nov 11 02:00:00 CET 2015, Time: ,Wed Nov 11 02:00:00 CET 2015, Event: ,Ottawa @ Nashville, Favorite: ,Nashville, 2109832   size:300.97,Price: ,1.97,Ottawa, 2108072   size:5.0,Price: ,3.6,Tie, 60104   size:322.23,Price: ,4.3,ok
1.121719899, Sport: ,Tennis, Time: ,Tue Nov 10 21:13:00 CET 2015, Time: ,Tue Nov 10 21:13:00 CET 2015, Event: ,Paire v Lestienne, Favorite: ,Benoit Paire, 3911345   size:13687.51,Price: ,1.05,Constant Lestienne, 7797931   size:4.14,Price: ,7.0,ok
1.121604233, Sport: ,Cricket, Time: ,Wed Nov 11 07:00:00 CET 2015, Time: ,Wed Nov 11 07:00:00 CET 2015, Event: ,UAE v Hong Kong, Favorite: ,UAE, 871131   size:20.0,Price: ,1.05,Hong Kong, 247649   size:6.07,Price: ,1.12,The Draw, 60443   size:6.07,Price: ,1.12,x
