1.121888075, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Concord Rangers v Sutton Utd, Favorite: ,Concord Rangers, 2870971   size:6.66,Price: ,2.36,Sutton Utd, 1034133   size:2.55,Price: ,3.1,The Draw, 58805   size:8.65,Price: ,3.6,ok
1.122017350, Sport: ,Volleyball, Time: ,Sat Nov 28 19:00:00 CET 2015, Time: ,Sat Nov 28 19:00:00 CET 2015, Event: ,Ace Gran Canaria v UBE Lilla-Grau, Favorite: ,ACE Gran Canaria, 10256873   size:655.5,Price: ,1.04,UBE Lilla-Grau, 10256879   size:655.5,Price: ,1.04,ok
1.121888077, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Hungerford v Thamesmead Town, Favorite: ,Hungerford, 4317868   size:2.43,Price: ,1.52,Thamesmead Town, 10525345   size:2.82,Price: ,5.6,The Draw, 58805   size:5.77,Price: ,4.8,ok
1.122006103, Sport: ,Snooker, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Ross Muir v Ben Woollaston, Favorite: ,Ben Woollaston, 2293306   size:5.0,Price: ,1.28,Ross Muir, 7303690   size:4.35,Price: ,4.3,ok
1.122006108, Sport: ,Snooker, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Jamie Burnett v Alan McManus, Favorite: ,Alan McManus, 2281438   size:14.19,Price: ,1.66,Jamie Burnett, 2280126   size:20.55,Price: ,2.46,x
1.121932967, Sport: ,Soccer, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Suwon Bluewings v Jeonbuk Motors, Favorite: ,Suwon Bluewings, 5339134   size:248.8,Price: ,2.22,Jeonbuk Motors, 2224159   size:10.21,Price: ,3.55,The Draw, 58805   size:34.92,Price: ,3.45,ok
1.121967386, Sport: ,Handball, Time: ,Sat Nov 28 19:00:00 CET 2015, Time: ,Sat Nov 28 19:00:00 CET 2015, Event: ,Bergischer v Stuttgart, Favorite: ,Stuttgart, 10174885   size:19.04,Price: ,1.04,Bergischer, 4500054   size:2.44,Price: ,1.51,Draw, 330157   size:18.42,Price: ,1.25,x
1.121935718, Sport: ,Soccer, Time: ,Sun Nov 29 01:00:00 CET 2015, Time: ,Sun Nov 29 01:00:00 CET 2015, Event: ,River Plate (Ecu) v Aucas, Favorite: ,River Plate (Ecu), 9180231   size:3.18,Price: ,2.22,Aucas, 897347   size:3.54,Price: ,3.4,The Draw, 58805   size:2.55,Price: ,3.5,ok
1.121985970, Sport: ,Basketball, Time: ,Sat Nov 28 18:30:00 CET 2015, Time: ,Sat Nov 28 18:30:00 CET 2015, Event: ,Phoenix Hagen v Oldenburg, Favorite: ,Oldenburg, 1285952   size:674.36,Price: ,1.34,Phoenix Hagen, 4228376   size:4.35,Price: ,3.7,x
1.121937223, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Chojniczanka Chojnice v GKS Belchatow, Favorite: ,GKS Belchatow, 1209554   size:11.03,Price: ,1.05,Chojniczanka Chojnice, 7453567   size:3.0,Price: ,1.09,The Draw, 58805   size:5.67,Price: ,9.6,x
