1.122192500, Sport: ,Soccer, Time: ,Wed Dec 09 22:15:00 CET 2015, Time: ,Wed Dec 09 22:15:00 CET 2015, Event: ,Canada (W) v Mexico (W), Favorite: ,Canada (W), 541840   size:7.54,Price: ,1.81,Mexico (W), 899139   size:7.54,Price: ,3.2,The Draw, 58805   size:2.55,Price: ,3.4,ok
1.122195576, Sport: ,Soccer, Time: ,Wed Dec 09 20:00:00 CET 2015, Time: ,Wed Dec 09 20:00:00 CET 2015, Event: ,Ponte Preta U20 v Atletico-PR U20, Favorite: ,Atletico-PR U20, 7642309   size:3.07,Price: ,1.63,Ponte Preta U20, 6713388   size:4.37,Price: ,2.88,The Draw, 58805   size:4.09,Price: ,3.5,ok
1.122160152, Sport: ,Ice Hockey, Time: ,Thu Dec 10 01:35:00 CET 2015, Time: ,Thu Dec 10 01:35:00 CET 2015, Event: ,Boston @ Montreal, Favorite: ,Montreal, 2112345   size:2.86,Price: ,2.24,Boston, 2112316   size:2.56,Price: ,2.5,Tie, 60104   size:19.96,Price: ,3.9,x
1.122128972, Sport: ,Handball, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Ademar Leon v Aragon, Favorite: ,Ademar Leon, 1235180   size:5.96,Price: ,1.11,Aragon, 3749683   size:19.03,Price: ,1.2,Draw, 330157   size:18.87,Price: ,1.25,ok
1.122167229, Sport: ,Ice Hockey, Time: ,Wed Dec 09 19:00:00 CET 2015, Time: ,Wed Dec 09 19:00:00 CET 2015, Event: ,Pantern v Leksand, Favorite: ,Pantern, 9322154   size:10.08,Price: ,1.04,Leksand, 2358271   size:4.61,Price: ,2.66,Tie, 60104   size:5.96,Price: ,1.15,x
1.122183477, Sport: ,Basketball, Time: ,Wed Dec 09 17:00:00 CET 2015, Time: ,Wed Dec 09 17:00:00 CET 2015, Event: ,UNICS Kazan v Buducnost, Favorite: ,Unics Kazan, 5134712   size:2.55,Price: ,1.17,Buducnost, 266288   size:33.83,Price: ,5.4,ok
1.122183473, Sport: ,Basketball, Time: ,Wed Dec 09 19:00:00 CET 2015, Time: ,Wed Dec 09 19:00:00 CET 2015, Event: ,Union Olimpija v Bilbao, Favorite: ,Bilbao, 1321584   size:2.55,Price: ,1.92,Union Olimpija, 266278   size:2.55,Price: ,1.95,ok
1.122196679, Sport: ,Soccer, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Crusaders FC (Res) v Dungannon Swifts (Res), Favorite: ,Crusaders FC (Res), 8397765   size:3.66,Price: ,1.13,Dungannon Swifts (Res), 8296942   size:3.66,Price: ,1.13,The Draw, 58805   size:12.38,Price: ,3.15,ok
1.122107809, Sport: ,Soccer, Time: ,Wed Dec 09 06:00:00 CET 2015, Time: ,Wed Dec 09 06:00:00 CET 2015, Event: ,UPHSD Altas (students) v EAC Generals (students), Favorite: ,UPHSD Altas (students), 10211359   size:6.08,Price: ,1.05,EAC Generals (students), 10215800   size:3.66,Price: ,1.13,The Draw, 58805   size:10.0,Price: ,4.0,ok
1.122204744, Sport: ,Soccer, Time: ,Thu Dec 10 02:00:00 CET 2015, Time: ,Thu Dec 10 02:00:00 CET 2015, Event: ,FAS v Isidro Metapan, Favorite: ,Fas, 4867481   size:4.99,Price: ,1.11,Isidro Metapan, 4864112   size:4.99,Price: ,1.11,The Draw, 58805   size:11.0,Price: ,3.15,ok
