1.121989816, Sport: ,Ice Hockey, Time: ,Thu Dec 03 19:00:00 CET 2015, Time: ,Thu Dec 03 19:00:00 CET 2015, Event: ,Orebro v Linkoping, Favorite: ,Orebro, 247111   size:4.16,Price: ,2.28,Linkoping, 260829   size:6.49,Price: ,2.86,Tie, 60104   size:91.0,Price: ,4.2,x
1.122092899, Sport: ,Basketball, Time: ,Thu Dec 03 23:00:00 CET 2015, Time: ,Thu Dec 03 23:00:00 CET 2015, Event: ,Rio Claro v Franca, Favorite: ,Rio Claro, 8948847   size:2.82,Price: ,1.03,Franca, 8948836   size:2.82,Price: ,1.03,ok
1.122102986, Sport: ,Volleyball, Time: ,Thu Dec 03 20:25:00 CET 2015, Time: ,Thu Dec 03 20:25:00 CET 2015, Event: ,Hypo Tirol Volleyballte v Budvanska Rivijera Budv, Favorite: ,Hypo Tirol Volleyballte, 10381394   size:3.97,Price: ,1.26,Budvanska Rivijera Budv, 10444797   size:187.7,Price: ,2.52,ok
1.122092897, Sport: ,Basketball, Time: ,Fri Dec 04 00:00:00 CET 2015, Time: ,Fri Dec 04 00:00:00 CET 2015, Event: ,Uberlandia v Flamengo, Favorite: ,Uberlandia, 8948841   size:2.82,Price: ,1.03,Flamengo, 6775296   size:2.82,Price: ,1.03,x
1.122101778, Sport: ,Soccer, Time: ,Thu Dec 03 12:00:00 CET 2015, Time: ,Thu Dec 03 12:00:00 CET 2015, Event: ,Dinamo Moscow (Y) v Anzhi (Y), Favorite: ,Dinamo Moscow (Y), 7188762   size:3.76,Price: ,1.14,Anzhi (Y), 10319700   size:7.73,Price: ,36.0,The Draw, 58805   size:34.18,Price: ,9.2,x
1.122102108, Sport: ,Soccer, Time: ,Thu Dec 03 18:00:00 CET 2015, Time: ,Thu Dec 03 18:00:00 CET 2015, Event: ,Al Ahli v Hajer (KSA), Favorite: ,Al Ahli, 1252792   size:514.65,Price: ,1.23,Hajer (KSA), 6617052   size:57.11,Price: ,13.0,The Draw, 58805   size:2.82,Price: ,7.0,ok
1.122102983, Sport: ,Volleyball, Time: ,Thu Dec 03 18:00:00 CET 2015, Time: ,Thu Dec 03 18:00:00 CET 2015, Event: ,Dukla Liberec v Cucine Lube Civitanova, Favorite: ,Cucine Lube Civitanova, 10463803   size:2.82,Price: ,1.03,Dukla Liberec, 8076708   size:2.55,Price: ,2.14,ok
1.121990484, Sport: ,Soccer, Time: ,Thu Dec 03 14:00:00 CET 2015, Time: ,Thu Dec 03 14:00:00 CET 2015, Event: ,AEL Kalloni v Panserraikos, Favorite: ,Panserraikos, 1210411   size:49.0,Price: ,1.78,AEL Kalloni, 7449102   size:6.71,Price: ,4.0,The Draw, 58805   size:34.75,Price: ,4.3,x
1.121991456, Sport: ,Soccer, Time: ,Thu Dec 03 19:30:00 CET 2015, Time: ,Thu Dec 03 19:30:00 CET 2015, Event: ,Dinamo Bucharest v CSMS Iasi, Favorite: ,Dinamo Bucharest, 46937   size:33.51,Price: ,1.79,CSMS Iasi, 5806015   size:86.14,Price: ,5.7,The Draw, 58805   size:354.77,Price: ,3.55,x
1.122100169, Sport: ,Basketball, Time: ,Thu Dec 03 16:30:00 CET 2015, Time: ,Thu Dec 03 16:30:00 CET 2015, Event: ,Energiya Ivanovo Women v Lulea BBK Women, Favorite: ,Energiya Ivanovo Women, 9061179   size:2.82,Price: ,1.03,Lulea BBK Women, 10262451   size:2.82,Price: ,1.03,x
