1.122304029, Sport: ,Ice Hockey, Time: ,Tue Dec 22 03:05:00 CET 2015, Time: ,Tue Dec 22 03:05:00 CET 2015, Event: ,Toronto @ Colorado, Favorite: ,Colorado, 2108117   size:11.7,Price: ,1.92,Toronto, 2108073   size:5.98,Price: ,3.15,Tie, 60104   size:4.39,Price: ,3.8,x
1.122355134, Sport: ,Tennis, Time: ,Mon Dec 21 07:00:00 CET 2015, Time: ,Mon Dec 21 07:00:00 CET 2015, Event: ,Ji-Hee Choi v Victoria Kan, Favorite: ,Victoria Kan, 7753932   size:2.88,Price: ,1.44,Ji-Hee Choi, 8839153   size:8.53,Price: ,2.94,x
1.122355132, Sport: ,Tennis, Time: ,Mon Dec 21 05:30:00 CET 2015, Time: ,Mon Dec 21 05:30:00 CET 2015, Event: ,Ching Wen Hsu v Ran Tian, Favorite: ,Ran Tian, 7657185   size:296.74,Price: ,1.22,Ching Wen Hsu, 7920996   size:78.39,Price: ,4.5,ok
1.122254006, Sport: ,Soccer, Time: ,Mon Dec 21 14:00:00 CET 2015, Time: ,Mon Dec 21 14:00:00 CET 2015, Event: ,Charlton U21 v Colchester U21, Favorite: ,Charlton U21, 6808104   size:3.7,Price: ,1.17,Colchester U21, 6820442   size:3.7,Price: ,1.17,The Draw, 58805   size:4.11,Price: ,3.05,ok
1.122359861, Sport: ,Tennis, Time: ,Mon Dec 21 06:30:00 CET 2015, Time: ,Mon Dec 21 06:30:00 CET 2015, Event: ,Anastasiya Vasylyeva v Ana Veselinovic, Favorite: ,Anastasiya Vasylyeva, 7446090   size:2.55,Price: ,1.36,Ana Veselinovic, 9626408   size:127.93,Price: ,3.25,x
1.122355141, Sport: ,Tennis, Time: ,Mon Dec 21 04:00:00 CET 2015, Time: ,Mon Dec 21 04:00:00 CET 2015, Event: ,Nicha Lertpitaksinchai v Hiroko Kuwata, Favorite: ,Hiroko Kuwata, 8732124   size:27.64,Price: ,1.11,Nicha Lertpitaksinchai, 3673415   size:65.14,Price: ,3.5,ok
1.122254008, Sport: ,Soccer, Time: ,Mon Dec 21 20:05:00 CET 2015, Time: ,Mon Dec 21 20:05:00 CET 2015, Event: ,Chelsea U21 v Middlesbrough U21, Favorite: ,Chelsea U21, 6689721   size:2.55,Price: ,1.62,Middlesbrough U21, 6601837   size:2.55,Price: ,3.7,The Draw, 58805   size:2.55,Price: ,3.6,ok
1.122316139, Sport: ,Volleyball, Time: ,Mon Dec 21 11:00:00 CET 2015, Time: ,Mon Dec 21 11:00:00 CET 2015, Event: ,Incheon Korean Air Jumb v Seoul Woori Card Hansae, Favorite: ,Incheon Korean Air Jumb, 10389010   size:3.77,Price: ,1.11,Seoul Woori Card Hansae, 10391680   size:72.41,Price: ,5.0,ok
1.122254000, Sport: ,Soccer, Time: ,Mon Dec 21 14:30:00 CET 2015, Time: ,Mon Dec 21 14:30:00 CET 2015, Event: ,Bristol City U21 v Watford U21, Favorite: ,Bristol City U21, 6597941   size:3.7,Price: ,1.17,Watford U21, 10123520   size:3.7,Price: ,1.17,The Draw, 58805   size:4.11,Price: ,3.1,ok
1.122254002, Sport: ,Soccer, Time: ,Mon Dec 21 14:00:00 CET 2015, Time: ,Mon Dec 21 14:00:00 CET 2015, Event: ,C Palace U21 v QPR U21, Favorite: ,C Palace U21, 6614440   size:3.7,Price: ,1.17,QPR U21, 6808103   size:3.7,Price: ,1.17,The Draw, 58805   size:4.11,Price: ,3.05,x
